index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
1,0.9,0.1,0.017,8.072e-05,-4.0744542539,-9.4245335499
2,0.9011458298,0.0988541702,0.01722,8.156e-05,-4.0614801406,-9.4141139204
3,0.9022785303,0.0977214697,0.01745,8.241e-05,-4.0486723951,-9.4038324937
4,0.903398252,0.096601748,0.01767,8.325e-05,-4.0360286633,-9.3936872091
5,0.9045051436,0.0954948564,0.01789,8.409e-05,-4.0235466297,-9.3836760421
6,0.9055993521,0.0944006479,0.01811,8.492e-05,-4.0112240168,-9.3737970038
7,0.9066810228,0.0933189772,0.01833,8.575e-05,-3.9990585846,-9.3640481401
8,0.9077502995,0.0922497005,0.01855,8.658e-05,-3.9870481296,-9.3544275309
9,0.908807324,0.091192676,0.01878,8.741e-05,-3.9751904841,-9.3449332893
10,0.9098522369,0.0901477631,0.019,8.823e-05,-3.9634835158,-9.3355635611
11,0.9108851768,0.0891148232,0.01922,8.905e-05,-3.9519251264,-9.3263165241
12,0.911906281,0.088093719,0.01944,8.987e-05,-3.9405132517,-9.3171903874
13,0.912915685,0.087084315,0.01966,9.068e-05,-3.9292458607,-9.3081833906
14,0.913913523,0.086086477,0.01988,9.149e-05,-3.9181209545,-9.2992938033
15,0.9148999275,0.0851000725,0.0201,9.23e-05,-3.9071365664,-9.2905199245
16,0.9158750295,0.0841249705,0.02032,9.31e-05,-3.8962907608,-9.2818600822
17,0.9168389585,0.0831610415,0.02054,9.39e-05,-3.8855816327,-9.2733126322
18,0.9177918424,0.0822081576,0.02075,9.469e-05,-3.8750073072,-9.2648759582
19,0.918733808,0.081266192,0.02097,9.548e-05,-3.864565939,-9.2565484709
20,0.9196649802,0.0803350198,0.02119,9.627e-05,-3.8542557116,-9.2483286074
21,0.9205854828,0.0794145172,0.02141,9.706e-05,-3.8440748368,-9.240214831
22,0.921495438,0.078504562,0.02162,9.784e-05,-3.8340215545,-9.2322056302
23,0.9223949666,0.0776050334,0.02184,9.861e-05,-3.8240941318,-9.2242995187
24,0.9232841882,0.0767158118,0.02205,9.939e-05,-3.8142908625,-9.2164950346
25,0.9241632209,0.0758367791,0.02227,0.0001002,-3.804610067,-9.2087907399
26,0.9250321813,0.0749678187,0.02248,0.0001009,-3.7950500914,-9.2011852201
27,0.9258911848,0.0741088152,0.0227,0.0001017,-3.7856093071,-9.1936770839
28,0.9267403457,0.0732596543,0.02291,0.0001024,-3.7762861106,-9.1862649625
29,0.9275797767,0.0724202233,0.02312,0.0001032,-3.7670789226,-9.1789475094
30,0.9284095891,0.0715904109,0.02333,0.0001039,-3.7579861881,-9.1717233995
31,0.9292298934,0.0707701066,0.02354,0.0001047,-3.7490063754,-9.1645913295
32,0.9300407983,0.0699592017,0.02375,0.0001054,-3.7401379761,-9.1575500165
33,0.9308424117,0.0691575883,0.02396,0.0001062,-3.7313795046,-9.1505981986
34,0.93163484,0.06836516,0.02417,0.0001069,-3.7227294974,-9.1437346336
35,0.9324181883,0.0675818117,0.02438,0.0001076,-3.7141865133,-9.1369580993
36,0.9331925608,0.0668074392,0.02458,0.0001083,-3.7057491323,-9.1302673927
37,0.9339580604,0.0660419396,0.02479,0.0001091,-3.6974159557,-9.1236613301
38,0.9347147886,0.0652852114,0.02499,0.0001098,-3.6891856057,-9.117138746
39,0.935462846,0.064537154,0.0252,0.0001105,-3.6810567246,-9.1106984935
40,0.9362023319,0.0637976681,0.0254,0.0001112,-3.6730279752,-9.1043394436
41,0.9369333446,0.0630666554,0.0256,0.0001119,-3.6650980398,-9.0980604849
42,0.9376559811,0.0623440189,0.0258,0.0001126,-3.6572656199,-9.0918605233
43,0.9383703374,0.0616296626,0.026,0.0001133,-3.6495294365,-9.0857384817
44,0.9390765085,0.0609234915,0.0262,0.000114,-3.641888229,-9.0796932996
45,0.939774588,0.060225412,0.0264,0.0001146,-3.6343407552,-9.0737239329
46,0.9404646687,0.0595353313,0.0266,0.0001153,-3.626885791,-9.0678293536
47,0.9411468422,0.0588531578,0.0268,0.000116,-3.6195221303,-9.0620085495
48,0.9418211993,0.0581788007,0.02699,0.0001167,-3.6122485842,-9.0562605237
49,0.9424878293,0.0575121707,0.02719,0.0001173,-3.6050639811,-9.0505842948
50,0.9431468209,0.0568531791,0.02738,0.000118,-3.5979671663,-9.0449788962
51,0.9437982615,0.0562017385,0.02757,0.0001186,-3.5909570017,-9.0394433758
52,0.9444422378,0.0555577622,0.02776,0.0001193,-3.5840323654,-9.0339767961
53,0.9450788352,0.0549211648,0.02795,0.0001199,-3.5771921518,-9.0285782337
54,0.9457081382,0.0542918618,0.02814,0.0001206,-3.570435271,-9.0232467792
55,0.9463302305,0.0536697695,0.02833,0.0001212,-3.5637606484,-9.0179815368
56,0.9469451947,0.0530548053,0.02852,0.0001218,-3.5571672251,-9.012781624
57,0.9475531125,0.0524468875,0.02871,0.0001225,-3.5506539568,-9.0076461715
58,0.9481540646,0.0518459354,0.02889,0.0001231,-3.5442198142,-9.0025743231
59,0.9487481307,0.0512518693,0.02908,0.0001237,-3.5378637826,-8.9975652353
60,0.9493353899,0.0506646101,0.02926,0.0001243,-3.5315848614,-8.992618077
61,0.9499159201,0.0500840799,0.02944,0.0001249,-3.5253820642,-8.9877320294
62,0.9504897984,0.0495102016,0.02962,0.0001255,-3.5192544183,-8.9829062859
63,0.951057101,0.048942899,0.0298,0.0001261,-3.5132009649,-8.9781400516
64,0.9516179034,0.0483820966,0.02998,0.0001267,-3.5072207584,-8.9734325434
65,0.9521722798,0.0478277202,0.03016,0.0001273,-3.5013128662,-8.9687829897
66,0.9527203041,0.0472796959,0.03033,0.0001279,-3.495476369,-8.9641906299
67,0.9532620489,0.0467379511,0.03051,0.0001285,-3.4897103601,-8.9596547148
68,0.9537975863,0.0462024137,0.03068,0.0001291,-3.4840139454,-8.955174506
69,0.9543269873,0.0456730127,0.03086,0.0001296,-3.4783862431,-8.9507492757
70,0.9548503223,0.0451496777,0.03103,0.0001302,-3.4728263836,-8.9463783068
71,0.9553676607,0.0446323393,0.0312,0.0001308,-3.4673335094,-8.9420608924
72,0.9558790714,0.0441209286,0.03137,0.0001313,-3.4619067747,-8.9377963358
73,0.9563846221,0.0436153779,0.03154,0.0001319,-3.4565453451,-8.9335839505
74,0.9568843801,0.0431156199,0.03171,0.0001324,-3.4512483979,-8.9294230597
75,0.9573784117,0.0426215883,0.03187,0.000133,-3.4460151215,-8.9253129962
76,0.9578667826,0.0421332174,0.03204,0.0001335,-3.4408447155,-8.9212531024
77,0.9583495575,0.0416504425,0.0322,0.0001341,-3.4357363902,-8.9172427302
78,0.9588268007,0.0411731993,0.03236,0.0001346,-3.4306893669,-8.9132812406
79,0.9592985755,0.0407014245,0.03253,0.0001351,-3.4257028772,-8.9093680035
80,0.9597649445,0.0402350555,0.03269,0.0001356,-3.4207761632,-8.9055023981
81,0.9602259698,0.0397740302,0.03285,0.0001362,-3.4159084773,-8.901683812
82,0.9606817124,0.0393182876,0.033,0.0001367,-3.4110990819,-8.8979116417
83,0.9611322331,0.0388677669,0.03316,0.0001372,-3.4063472494,-8.894185292
84,0.9615775915,0.0384224085,0.03332,0.0001377,-3.4016522619,-8.8905041761
85,0.9620178469,0.0379821531,0.03347,0.0001382,-3.3970134113,-8.8868677155
86,0.9624530578,0.0375469422,0.03363,0.0001387,-3.3924299989,-8.8832753398
87,0.9628832818,0.0371167182,0.03378,0.0001392,-3.3879013352,-8.8797264864
88,0.9633085762,0.0366914238,0.03393,0.0001397,-3.38342674,-8.8762206006
89,0.9637289975,0.0362710025,0.03408,0.0001402,-3.3790055424,-8.8727571356
90,0.9641446014,0.0358553986,0.03423,0.0001406,-3.3746370801,-8.8693355519
91,0.9645554433,0.0354445567,0.03438,0.0001411,-3.3703206998,-8.8659553176
92,0.9649615775,0.0350384225,0.03453,0.0001416,-3.3660557568,-8.8626159082
93,0.9653630582,0.0346369418,0.03467,0.0001421,-3.3618416148,-8.8593168064
94,0.9657599386,0.0342400614,0.03482,0.0001425,-3.3576776463,-8.8560575019
95,0.9661522714,0.0338477286,0.03496,0.000143,-3.3535632317,-8.8528374915
96,0.9665401088,0.0334598912,0.0351,0.0001434,-3.3494977597,-8.8496562791
97,0.9669235022,0.0330764978,0.03524,0.0001439,-3.3454806271,-8.846513375
98,0.9673025026,0.0326974974,0.03538,0.0001443,-3.3415112387,-8.8434082964
99,0.9676771602,0.0323228398,0.03552,0.0001448,-3.3375890069,-8.8403405672
100,0.9680475249,0.0319524751,0.03566,0.0001452,-3.3337133518,-8.8373097177
101,0.9684136459,0.0315863541,0.0358,0.0001456,-3.3298837015,-8.8343152843
102,0.9687755718,0.0312244282,0.03593,0.0001461,-3.326099491,-8.8313568102
103,0.9691333506,0.0308666494,0.03607,0.0001465,-3.322360163,-8.8284338444
104,0.9694870298,0.0305129702,0.0362,0.0001469,-3.3186651676,-8.8255459421
105,0.9698366565,0.0301633435,0.03633,0.0001474,-3.3150139616,-8.8226926646
106,0.9701822771,0.0298177229,0.03646,0.0001478,-3.3114060093,-8.819873579
107,0.9705239374,0.0294760626,0.0366,0.0001482,-3.3078407818,-8.8170882583
108,0.970861683,0.029138317,0.03672,0.0001486,-3.3043177569,-8.8143362811
109,0.9711955585,0.0288044415,0.03685,0.000149,-3.3008364193,-8.8116172319
110,0.9715256083,0.0284743917,0.03698,0.0001494,-3.2973962605,-8.8089307004
111,0.9718518764,0.0281481236,0.03711,0.0001498,-3.2939967783,-8.8062762822
112,0.972174406,0.027825594,0.03723,0.0001502,-3.2906374772,-8.803653578
113,0.9724932399,0.0275067601,0.03735,0.0001506,-3.2873178678,-8.8010621939
114,0.9728084206,0.0271915794,0.03748,0.000151,-3.2840374673,-8.7985017413
115,0.9731199898,0.0268800102,0.0376,0.0001513,-3.2807957989,-8.7959718367
116,0.9734279889,0.0265720111,0.03772,0.0001517,-3.277592392,-8.7934721016
117,0.973732459,0.026267541,0.03784,0.0001521,-3.274426782,-8.7910021627
118,0.9740334403,0.0259665597,0.03796,0.0001525,-3.2712985104,-8.7885616516
119,0.9743309728,0.0256690272,0.03807,0.0001528,-3.2682071242,-8.7861502046
120,0.9746250962,0.0253749038,0.03819,0.0001532,-3.2651521765,-8.783767463
121,0.9749158494,0.0250841506,0.03831,0.0001536,-3.262133226,-8.7814130727
122,0.9752032711,0.0247967289,0.03842,0.0001539,-3.259149837,-8.7790866842
123,0.9754873994,0.0245126006,0.03853,0.0001543,-3.2562015793,-8.7767879527
124,0.9757682721,0.0242317279,0.03865,0.0001546,-3.2532880284,-8.774516538
125,0.9760459264,0.0239540736,0.03876,0.000155,-3.2504087648,-8.7722721041
126,0.9763203993,0.0236796007,0.03887,0.0001553,-3.2475633747,-8.7700543196
127,0.9765917272,0.0234082728,0.03898,0.0001557,-3.2447514493,-8.7678628574
128,0.9768599462,0.0231400538,0.03909,0.000156,-3.241972585,-8.7656973945
129,0.9771250918,0.0228749082,0.03919,0.0001563,-3.2392263834,-8.7635576123
130,0.9773871993,0.0226128007,0.0393,0.0001567,-3.2365124511,-8.7614431962
131,0.9776463035,0.0223536965,0.03941,0.000157,-3.2338303995,-8.7593538359
132,0.9779024389,0.0220975611,0.03951,0.0001573,-3.2311798452,-8.7572892248
133,0.9781556393,0.0218443607,0.03961,0.0001576,-3.2285604093,-8.7552490605
134,0.9784059385,0.0215940615,0.03972,0.0001579,-3.2259717178,-8.7532330446
135,0.9786533697,0.0213466303,0.03982,0.0001583,-3.2234134016,-8.7512408822
136,0.9788979657,0.0211020343,0.03992,0.0001586,-3.2208850958,-8.7492722825
137,0.9791397591,0.0208602409,0.04002,0.0001589,-3.2183864405,-8.7473269583
138,0.979378782,0.020621218,0.04012,0.0001592,-3.21591708,-8.7454046263
139,0.979615066,0.020384934,0.04022,0.0001595,-3.2134766632,-8.7435050065
140,0.9798486427,0.0201513573,0.04031,0.0001598,-3.2110648433,-8.7416278228
141,0.9800795429,0.0199204571,0.04041,0.0001601,-3.208681278,-8.7397728025
142,0.9803077974,0.0196922026,0.04051,0.0001604,-3.206325629,-8.7379396765
143,0.9805334366,0.0194665634,0.0406,0.0001607,-3.2039975624,-8.7361281789
144,0.9807564902,0.0192435098,0.04069,0.000161,-3.2016967485,-8.7343380475
145,0.9809769881,0.0190230119,0.04079,0.0001612,-3.1994228616,-8.7325690232
146,0.9811949594,0.0188050406,0.04088,0.0001615,-3.19717558,-8.7308208503
147,0.9814104332,0.0185895668,0.04097,0.0001618,-3.1949545862,-8.7290932765
148,0.981623438,0.018376562,0.04106,0.0001621,-3.1927595663,-8.7273860524
149,0.9818340021,0.0181659979,0.04115,0.0001624,-3.1905902105,-8.725698932
150,0.9820421535,0.0179578465,0.04124,0.0001626,-3.188446213,-8.7240316724
151,0.9822479199,0.0177520801,0.04132,0.0001629,-3.1863272715,-8.7223840337
152,0.9824513285,0.0175486715,0.04141,0.0001632,-3.1842330875,-8.720755779
153,0.9826524064,0.0173475936,0.0415,0.0001634,-3.1821633663,-8.7191466746
154,0.9828511803,0.0171488197,0.04158,0.0001637,-3.1801178168,-8.7175564895
155,0.9830476766,0.0169523234,0.04166,0.0001639,-3.1780961513,-8.7159849958
156,0.9832419214,0.0167580786,0.04175,0.0001642,-3.1760980859,-8.7144319684
157,0.9834339404,0.0165660596,0.04183,0.0001645,-3.1741233401,-8.712897185
158,0.9836237593,0.0163762407,0.04191,0.0001647,-3.1721716368,-8.7113804263
159,0.9838114031,0.0161885969,0.04199,0.0001649,-3.1702427024,-8.7098814753
160,0.9839968969,0.0160031031,0.04207,0.0001652,-3.1683362666,-8.7084001183
161,0.9841802652,0.0158197348,0.04215,0.0001654,-3.1664520624,-8.7069361439
162,0.9843615324,0.0156384676,0.04223,0.0001657,-3.1645898261,-8.7054893434
163,0.9845407226,0.0154592774,0.04231,0.0001659,-3.1627492972,-8.7040595109
164,0.9847178596,0.0152821404,0.04239,0.0001661,-3.1609302184,-8.7026464427
165,0.984892967,0.015107033,0.04246,0.0001664,-3.1591323357,-8.7012499381
166,0.9850660678,0.0149339322,0.04254,0.0001666,-3.1573553979,-8.6998697987
167,0.9852371853,0.0147628147,0.04261,0.0001668,-3.1555991572,-8.6985058284
168,0.985406342,0.014593658,0.04269,0.0001671,-3.1538633685,-8.6971578338
169,0.9855735605,0.0144264395,0.04276,0.0001673,-3.15214779,-8.6958256238
170,0.9857388629,0.0142611371,0.04283,0.0001675,-3.1504521827,-8.6945090098
171,0.9859022713,0.0140977287,0.0429,0.0001677,-3.1487763104,-8.6932078052
172,0.9860638073,0.0139361927,0.04298,0.0001679,-3.1471199399,-8.6919218262
173,0.9862234923,0.0137765077,0.04305,0.0001682,-3.1454828409,-8.6906508909
174,0.9863813476,0.0136186524,0.04312,0.0001684,-3.1438647859,-8.6893948198
175,0.9865373942,0.0134626058,0.04318,0.0001686,-3.1422655499,-8.6881534356
176,0.9866916528,0.0133083472,0.04325,0.0001688,-3.1406849109,-8.6869265633
177,0.9868441438,0.0131558562,0.04332,0.000169,-3.1391226495,-8.6857140298
