index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.001945,yes
2,-0.799,0.001932,no
3,-0.798,0.001918,no
4,-0.797,0.001905,no
5,-0.796,0.001892,no
6,-0.795,0.001879,no
7,-0.794,0.001866,no
8,-0.793,0.001853,no
9,-0.792,0.00184,no
10,-0.791,0.001828,no
11,-0.79,0.001815,no
12,-0.789,0.001802,no
13,-0.788,0.00179,no
14,-0.787,0.001777,no
15,-0.786,0.001765,no
16,-0.785,0.001752,no
17,-0.784,0.00174,no
18,-0.783,0.001728,no
19,-0.782,0.001716,no
20,-0.781,0.001703,no
21,-0.78,0.001691,no
22,-0.779,0.001679,no
23,-0.778,0.001667,no
24,-0.777,0.001656,no
25,-0.776,0.001644,no
26,-0.775,0.001632,no
27,-0.774,0.00162,no
28,-0.773,0.001609,no
29,-0.772,0.001597,no
30,-0.771,0.001586,no
31,-0.77,0.001574,no
32,-0.769,0.001563,no
33,-0.768,0.001552,no
34,-0.767,0.00154,no
35,-0.766,0.001529,no
36,-0.765,0.001518,no
37,-0.764,0.001507,no
38,-0.763,0.001496,no
39,-0.762,0.001485,no
40,-0.761,0.001474,no
41,-0.76,0.001464,no
42,-0.759,0.001453,no
43,-0.758,0.001442,no
44,-0.757,0.001431,no
45,-0.756,0.001421,no
46,-0.755,0.00141,no
47,-0.754,0.0014,no
48,-0.753,0.00139,no
49,-0.752,0.001379,no
50,-0.751,0.001369,no
51,-0.75,0.001359,no
52,-0.749,0.001349,no
53,-0.748,0.001338,no
54,-0.747,0.001328,no
55,-0.746,0.001318,no
56,-0.745,0.001308,no
57,-0.744,0.001299,no
58,-0.743,0.001289,no
59,-0.742,0.001279,no
60,-0.741,0.001269,no
61,-0.74,0.00126,no
62,-0.739,0.00125,no
63,-0.738,0.001241,no
64,-0.737,0.001231,no
65,-0.736,0.001222,no
66,-0.735,0.001212,no
67,-0.734,0.001203,no
68,-0.733,0.001194,no
69,-0.732,0.001185,no
70,-0.731,0.001175,no
71,-0.73,0.001166,no
72,-0.729,0.001157,no
73,-0.728,0.001148,no
74,-0.727,0.001139,no
75,-0.726,0.00113,no
76,-0.725,0.001122,no
77,-0.724,0.001113,no
78,-0.723,0.001104,no
79,-0.722,0.001095,no
80,-0.721,0.001087,no
81,-0.72,0.001078,no
82,-0.719,0.00107,no
83,-0.718,0.001061,no
84,-0.717,0.001053,no
85,-0.716,0.001044,no
86,-0.715,0.001036,no
87,-0.714,0.001028,no
88,-0.713,0.00102,no
89,-0.712,0.001012,no
90,-0.711,0.001003,no
91,-0.71,0.0009954,no
92,-0.709,0.0009874,no
93,-0.708,0.0009794,no
94,-0.707,0.0009715,no
95,-0.706,0.0009637,no
96,-0.705,0.0009558,no
97,-0.704,0.0009481,no
98,-0.703,0.0009404,no
99,-0.702,0.0009327,no
100,-0.701,0.0009251,no
101,-0.7,0.0009175,no
102,-0.699,0.00091,no
103,-0.698,0.0009025,no
104,-0.697,0.0008951,no
105,-0.696,0.0008877,no
106,-0.695,0.0008804,no
107,-0.694,0.0008731,no
108,-0.693,0.0008659,no
109,-0.692,0.0008587,no
110,-0.691,0.0008515,no
111,-0.69,0.0008444,no
112,-0.689,0.0008374,no
113,-0.688,0.0008304,no
114,-0.687,0.0008234,no
115,-0.686,0.0008165,no
116,-0.685,0.0008096,no
117,-0.684,0.0008028,no
118,-0.683,0.000796,no
119,-0.682,0.0007893,no
120,-0.681,0.0007826,no
121,-0.68,0.0007759,no
122,-0.679,0.0007693,no
123,-0.678,0.0007627,no
124,-0.677,0.0007562,no
125,-0.676,0.0007497,no
126,-0.675,0.0007433,no
127,-0.674,0.0007369,no
128,-0.673,0.0007306,no
129,-0.672,0.0007243,no
130,-0.671,0.000718,no
131,-0.67,0.0007118,no
132,-0.669,0.0007056,no
133,-0.668,0.0006995,no
134,-0.667,0.0006934,no
135,-0.666,0.0006873,no
136,-0.665,0.0006813,no
137,-0.664,0.0006753,no
138,-0.663,0.0006694,no
139,-0.662,0.0006635,no
140,-0.661,0.0006577,no
141,-0.66,0.0006519,no
142,-0.659,0.0006461,no
143,-0.658,0.0006404,no
144,-0.657,0.0006347,no
145,-0.656,0.000629,no
146,-0.655,0.0006234,no
147,-0.654,0.0006178,no
148,-0.653,0.0006123,no
149,-0.652,0.0006068,no
150,-0.651,0.0006013,no
151,-0.65,0.0005959,no
152,-0.649,0.0005905,no
153,-0.648,0.0005852,no
154,-0.647,0.0005799,no
155,-0.646,0.0005746,no
156,-0.645,0.0005694,no
157,-0.644,0.0005642,no
158,-0.643,0.0005591,no
159,-0.642,0.0005539,no
160,-0.641,0.0005489,no
161,-0.64,0.0005438,no
162,-0.639,0.0005388,no
163,-0.638,0.0005338,no
164,-0.637,0.0005289,no
165,-0.636,0.000524,no
166,-0.635,0.0005191,no
167,-0.634,0.0005143,no
168,-0.633,0.0005095,no
169,-0.632,0.0005048,no
170,-0.631,0.0005,no
171,-0.63,0.0004953,no
172,-0.629,0.0004907,no
173,-0.628,0.0004861,no
174,-0.627,0.0004815,no
175,-0.626,0.0004769,no
176,-0.625,0.0004724,no
177,-0.624,0.0004679,no
178,-0.623,0.0004635,no
179,-0.622,0.0004591,no
180,-0.621,0.0004547,no
181,-0.62,0.0004503,no
182,-0.619,0.000446,no
183,-0.618,0.0004417,no
184,-0.617,0.0004375,no
185,-0.616,0.0004333,no
186,-0.615,0.0004291,no
187,-0.614,0.0004249,no
188,-0.613,0.0004208,no
189,-0.612,0.0004167,no
190,-0.611,0.0004126,no
191,-0.61,0.0004086,no
192,-0.609,0.0004046,no
193,-0.608,0.0004006,no
194,-0.607,0.0003967,no
195,-0.606,0.0003928,no
196,-0.605,0.0003889,no
197,-0.604,0.0003851,no
198,-0.603,0.0003812,no
199,-0.602,0.0003775,no
200,-0.601,0.0003737,no
201,-0.6,0.00037,no
202,-0.599,0.0003663,no
203,-0.598,0.0003626,no
204,-0.597,0.000359,no
205,-0.596,0.0003554,no
206,-0.595,0.0003518,no
207,-0.594,0.0003482,no
208,-0.593,0.0003447,no
209,-0.592,0.0003412,no
210,-0.591,0.0003377,no
211,-0.59,0.0003343,no
212,-0.589,0.0003309,no
213,-0.588,0.0003275,no
214,-0.587,0.0003241,no
215,-0.586,0.0003208,no
216,-0.585,0.0003175,no
217,-0.584,0.0003142,no
218,-0.583,0.000311,no
219,-0.582,0.0003078,no
220,-0.581,0.0003046,no
221,-0.58,0.0003014,no
222,-0.579,0.0002983,no
223,-0.578,0.0002951,no
224,-0.577,0.0002921,no
225,-0.576,0.000289,no
226,-0.575,0.000286,no
227,-0.574,0.0002829,no
228,-0.573,0.00028,no
229,-0.572,0.000277,no
230,-0.571,0.0002741,no
231,-0.57,0.0002711,no
232,-0.569,0.0002682,no
233,-0.568,0.0002654,no
234,-0.567,0.0002625,no
235,-0.566,0.0002597,no
236,-0.565,0.0002569,no
237,-0.564,0.0002542,no
238,-0.563,0.0002514,no
239,-0.562,0.0002487,no
240,-0.561,0.000246,no
241,-0.56,0.0002433,no
242,-0.559,0.0002407,no
243,-0.558,0.0002381,no
244,-0.557,0.0002355,no
245,-0.556,0.0002329,no
246,-0.555,0.0002303,no
247,-0.554,0.0002278,no
248,-0.553,0.0002253,no
249,-0.552,0.0002228,no
250,-0.551,0.0002203,no
251,-0.55,0.0002179,no
252,-0.549,0.0002154,no
253,-0.548,0.000213,no
254,-0.547,0.0002107,no
255,-0.546,0.0002083,no
256,-0.545,0.000206,no
257,-0.544,0.0002036,no
258,-0.543,0.0002013,no
259,-0.542,0.0001991,no
260,-0.541,0.0001968,no
261,-0.54,0.0001946,no
262,-0.539,0.0001924,no
263,-0.538,0.0001902,no
264,-0.537,0.000188,no
265,-0.536,0.0001858,no
266,-0.535,0.0001837,no
267,-0.534,0.0001816,no
268,-0.533,0.0001795,no
269,-0.532,0.0001774,no
270,-0.531,0.0001754,no
271,-0.53,0.0001733,no
272,-0.529,0.0001713,no
273,-0.528,0.0001693,no
274,-0.527,0.0001673,no
275,-0.526,0.0001654,no
276,-0.525,0.0001634,no
277,-0.524,0.0001615,no
278,-0.523,0.0001596,no
279,-0.522,0.0001577,no
280,-0.521,0.0001558,no
281,-0.52,0.000154,no
282,-0.519,0.0001521,no
283,-0.518,0.0001503,no
284,-0.517,0.0001485,no
285,-0.516,0.0001468,no
286,-0.515,0.000145,no
287,-0.514,0.0001432,no
288,-0.513,0.0001415,no
289,-0.512,0.0001398,no
290,-0.511,0.0001381,no
291,-0.51,0.0001364,no
292,-0.509,0.0001348,no
293,-0.508,0.0001331,no
294,-0.507,0.0001315,no
295,-0.506,0.0001299,no
296,-0.505,0.0001283,no
297,-0.504,0.0001267,no
298,-0.503,0.0001251,no
299,-0.502,0.0001236,no
300,-0.501,0.000122,no
301,-0.5,0.0001205,no
302,-0.499,0.000119,no
303,-0.498,0.0001175,no
304,-0.497,0.000116,no
305,-0.496,0.0001146,no
306,-0.495,0.0001131,no
307,-0.494,0.0001117,no
308,-0.493,0.0001103,no
309,-0.492,0.0001089,no
310,-0.491,0.0001075,no
311,-0.49,0.0001061,no
312,-0.489,0.0001048,no
313,-0.488,0.0001034,no
314,-0.487,0.0001021,no
315,-0.486,0.0001008,no
316,-0.485,9.949e-05,no
317,-0.484,9.82e-05,no
318,-0.483,9.692e-05,no
319,-0.482,9.566e-05,no
320,-0.481,9.442e-05,no
321,-0.48,9.318e-05,no
322,-0.479,9.196e-05,no
323,-0.478,9.075e-05,no
324,-0.477,8.956e-05,no
325,-0.476,8.838e-05,no
326,-0.475,8.721e-05,no
327,-0.474,8.605e-05,no
328,-0.473,8.49e-05,no
329,-0.472,8.377e-05,no
330,-0.471,8.265e-05,no
331,-0.47,8.155e-05,no
332,-0.469,8.045e-05,no
333,-0.468,7.937e-05,no
334,-0.467,7.83e-05,no
335,-0.466,7.724e-05,no
336,-0.465,7.619e-05,no
337,-0.464,7.515e-05,no
338,-0.463,7.413e-05,no
339,-0.462,7.311e-05,no
340,-0.461,7.211e-05,no
341,-0.46,7.112e-05,no
342,-0.459,7.014e-05,no
343,-0.458,6.917e-05,no
344,-0.457,6.822e-05,no
345,-0.456,6.727e-05,no
346,-0.455,6.633e-05,no
347,-0.454,6.541e-05,no
348,-0.453,6.449e-05,no
349,-0.452,6.359e-05,no
350,-0.451,6.27e-05,no
351,-0.45,6.181e-05,no
352,-0.449,6.094e-05,no
353,-0.448,6.008e-05,no
354,-0.447,5.922e-05,no
355,-0.446,5.838e-05,no
356,-0.445,5.755e-05,no
357,-0.444,5.672e-05,no
358,-0.443,5.591e-05,no
359,-0.442,5.51e-05,no
360,-0.441,5.431e-05,no
361,-0.44,5.352e-05,no
362,-0.439,5.275e-05,no
363,-0.438,5.198e-05,no
364,-0.437,5.122e-05,no
365,-0.436,5.047e-05,no
366,-0.435,4.973e-05,no
367,-0.434,4.9e-05,no
368,-0.433,4.828e-05,no
369,-0.432,4.757e-05,no
370,-0.431,4.686e-05,no
371,-0.43,4.617e-05,no
372,-0.429,4.548e-05,no
373,-0.428,4.48e-05,no
374,-0.427,4.413e-05,no
375,-0.426,4.347e-05,no
376,-0.425,4.281e-05,no
377,-0.424,4.217e-05,no
378,-0.423,4.153e-05,no
379,-0.422,4.09e-05,no
380,-0.421,4.028e-05,no
381,-0.42,3.966e-05,no
382,-0.419,3.906e-05,no
383,-0.418,3.846e-05,no
384,-0.417,3.787e-05,no
385,-0.416,3.728e-05,no
386,-0.415,3.671e-05,no
387,-0.414,3.614e-05,no
388,-0.413,3.558e-05,no
389,-0.412,3.502e-05,no
390,-0.411,3.447e-05,no
391,-0.41,3.393e-05,no
392,-0.409,3.34e-05,no
393,-0.408,3.287e-05,no
394,-0.407,3.235e-05,no
395,-0.406,3.184e-05,no
396,-0.405,3.133e-05,no
397,-0.404,3.084e-05,no
398,-0.403,3.034e-05,no
399,-0.402,2.986e-05,no
400,-0.401,2.938e-05,no
401,-0.4,2.89e-05,no
402,-0.399,2.844e-05,no
403,-0.398,2.797e-05,no
404,-0.397,2.752e-05,no
405,-0.396,2.707e-05,no
406,-0.395,2.663e-05,no
407,-0.394,2.619e-05,no
408,-0.393,2.576e-05,no
409,-0.392,2.534e-05,no
410,-0.391,2.492e-05,no
