index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,0.01493,no
2,1.201,0.01499,no
3,1.202,0.01504,no
4,1.203,0.0151,no
5,1.204,0.01516,no
6,1.205,0.01521,no
7,1.206,0.01527,no
8,1.207,0.01533,no
9,1.208,0.01538,no
10,1.209,0.01544,no
11,1.21,0.0155,no
12,1.211,0.01556,no
13,1.212,0.01562,no
14,1.213,0.01567,no
15,1.214,0.01573,no
16,1.215,0.01579,no
17,1.216,0.01585,no
18,1.217,0.01591,no
19,1.218,0.01597,no
20,1.219,0.01603,no
21,1.22,0.01608,no
22,1.221,0.01614,no
23,1.222,0.0162,no
24,1.223,0.01626,no
25,1.224,0.01632,no
26,1.225,0.01638,no
27,1.226,0.01644,no
28,1.227,0.0165,no
29,1.228,0.01656,no
30,1.229,0.01662,no
31,1.23,0.01668,no
32,1.231,0.01674,no
33,1.232,0.0168,no
34,1.233,0.01687,no
35,1.234,0.01693,no
36,1.235,0.01699,no
37,1.236,0.01705,no
38,1.237,0.01711,no
39,1.238,0.01717,no
40,1.239,0.01723,no
41,1.24,0.0173,no
42,1.241,0.01736,no
43,1.242,0.01742,no
44,1.243,0.01748,no
45,1.244,0.01755,no
46,1.245,0.01761,no
47,1.246,0.01767,no
48,1.247,0.01773,no
49,1.248,0.0178,no
50,1.249,0.01786,no
51,1.25,0.01792,no
52,1.251,0.01799,no
53,1.252,0.01805,no
54,1.253,0.01811,no
55,1.254,0.01818,no
56,1.255,0.01824,no
57,1.256,0.01831,no
58,1.257,0.01837,no
59,1.258,0.01844,no
60,1.259,0.0185,no
61,1.26,0.01856,no
62,1.261,0.01863,no
63,1.262,0.01869,no
64,1.263,0.01876,no
65,1.264,0.01883,no
66,1.265,0.01889,no
67,1.266,0.01896,no
68,1.267,0.01902,no
69,1.268,0.01909,no
70,1.269,0.01915,no
71,1.27,0.01922,no
72,1.271,0.01929,no
73,1.272,0.01935,no
74,1.273,0.01942,no
75,1.274,0.01949,no
76,1.275,0.01955,no
77,1.276,0.01962,no
78,1.277,0.01969,no
79,1.278,0.01976,no
80,1.279,0.01982,no
81,1.28,0.01989,no
82,1.281,0.01996,no
83,1.282,0.02003,no
84,1.283,0.0201,no
85,1.284,0.02016,no
86,1.285,0.02023,no
87,1.286,0.0203,no
88,1.287,0.02037,no
89,1.288,0.02044,no
90,1.289,0.02051,no
91,1.29,0.02058,no
92,1.291,0.02065,no
93,1.292,0.02072,no
94,1.293,0.02079,no
95,1.294,0.02086,no
96,1.295,0.02093,no
97,1.296,0.021,no
98,1.297,0.02107,no
99,1.298,0.02114,no
100,1.299,0.02121,no
101,1.3,0.02128,no
102,1.301,0.02135,no
103,1.302,0.02142,no
104,1.303,0.02149,no
105,1.304,0.02156,no
106,1.305,0.02163,no
107,1.306,0.02171,no
108,1.307,0.02178,no
109,1.308,0.02185,no
110,1.309,0.02192,no
111,1.31,0.02199,no
112,1.311,0.02207,no
113,1.312,0.02214,no
114,1.313,0.02221,no
115,1.314,0.02228,no
116,1.315,0.02236,no
117,1.316,0.02243,no
118,1.317,0.0225,no
119,1.318,0.02258,no
120,1.319,0.02265,no
121,1.32,0.02272,no
122,1.321,0.0228,no
123,1.322,0.02287,no
124,1.323,0.02295,no
125,1.324,0.02302,no
126,1.325,0.02309,no
127,1.326,0.02317,no
128,1.327,0.02324,no
129,1.328,0.02332,no
130,1.329,0.02339,no
131,1.33,0.02347,no
132,1.331,0.02354,no
133,1.332,0.02362,no
134,1.333,0.0237,no
135,1.334,0.02377,no
136,1.335,0.02385,no
137,1.336,0.02392,no
138,1.337,0.024,no
139,1.338,0.02408,no
140,1.339,0.02415,no
141,1.34,0.02423,no
142,1.341,0.02431,no
143,1.342,0.02438,no
144,1.343,0.02446,no
145,1.344,0.02454,no
146,1.345,0.02461,no
147,1.346,0.02469,no
148,1.347,0.02477,no
149,1.348,0.02485,no
150,1.349,0.02493,no
151,1.35,0.025,no
152,1.351,0.02508,no
153,1.352,0.02516,no
154,1.353,0.02524,no
155,1.354,0.02532,no
156,1.355,0.0254,no
157,1.356,0.02548,no
158,1.357,0.02556,no
159,1.358,0.02564,no
160,1.359,0.02572,no
161,1.36,0.02579,no
162,1.361,0.02587,no
163,1.362,0.02595,no
164,1.363,0.02603,no
165,1.364,0.02612,no
166,1.365,0.0262,no
167,1.366,0.02628,no
168,1.367,0.02636,no
169,1.368,0.02644,no
170,1.369,0.02652,no
171,1.37,0.0266,no
172,1.371,0.02668,no
173,1.372,0.02676,no
174,1.373,0.02685,no
175,1.374,0.02693,no
176,1.375,0.02701,no
177,1.376,0.02709,no
178,1.377,0.02717,no
179,1.378,0.02726,no
180,1.379,0.02734,no
181,1.38,0.02742,no
182,1.381,0.0275,no
183,1.382,0.02759,no
184,1.383,0.02767,no
185,1.384,0.02775,no
186,1.385,0.02784,no
187,1.386,0.02792,no
188,1.387,0.02801,no
189,1.388,0.02809,no
