index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,0.9,0.003659,no
2,0.9011458298,0.003683,no
3,0.9022785303,0.003707,no
4,0.903398252,0.003731,no
5,0.9045051436,0.003755,no
6,0.9055993521,0.003779,no
7,0.9066810228,0.003803,no
8,0.9077502995,0.003826,no
9,0.908807324,0.00385,no
10,0.9098522369,0.003873,no
11,0.9108851768,0.003896,no
12,0.911906281,0.003918,no
13,0.912915685,0.003941,no
14,0.913913523,0.003963,no
15,0.9148999275,0.003986,no
16,0.9158750295,0.004008,no
17,0.9168389585,0.00403,no
18,0.9177918424,0.004052,no
19,0.918733808,0.004073,no
20,0.9196649802,0.004095,no
21,0.9205854828,0.004116,no
22,0.921495438,0.004137,no
23,0.9223949666,0.004158,no
24,0.9232841882,0.004179,no
25,0.9241632209,0.004199,no
26,0.9250321813,0.00422,no
27,0.9258911848,0.00424,no
28,0.9267403457,0.00426,no
29,0.9275797767,0.00428,no
30,0.9284095891,0.0043,no
31,0.9292298934,0.00432,no
32,0.9300407983,0.004339,no
33,0.9308424117,0.004359,no
34,0.93163484,0.004378,no
35,0.9324181883,0.004397,no
36,0.9331925608,0.004415,no
37,0.9339580604,0.004434,no
38,0.9347147886,0.004453,no
39,0.935462846,0.004471,no
40,0.9362023319,0.004489,no
41,0.9369333446,0.004507,no
42,0.9376559811,0.004525,no
43,0.9383703374,0.004543,no
44,0.9390765085,0.004561,no
45,0.939774588,0.004578,no
46,0.9404646687,0.004595,no
47,0.9411468422,0.004612,no
48,0.9418211993,0.004629,no
49,0.9424878293,0.004646,no
50,0.9431468209,0.004663,no
51,0.9437982615,0.004679,no
52,0.9444422378,0.004696,no
53,0.9450788352,0.004712,no
54,0.9457081382,0.004728,no
55,0.9463302305,0.004744,no
56,0.9469451947,0.00476,no
57,0.9475531125,0.004775,no
58,0.9481540646,0.004791,no
59,0.9487481307,0.004806,no
60,0.9493353899,0.004822,no
61,0.9499159201,0.004837,no
62,0.9504897984,0.004852,no
63,0.951057101,0.004866,no
64,0.9516179034,0.004881,no
65,0.9521722798,0.004896,no
66,0.9527203041,0.00491,no
67,0.9532620489,0.004924,no
68,0.9537975863,0.004938,no
69,0.9543269873,0.004952,no
