index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.005082,yes
2,-0.799,0.005017,no
3,-0.798,0.004953,no
4,-0.797,0.004889,no
5,-0.796,0.004826,no
6,-0.795,0.004764,no
7,-0.794,0.004703,no
8,-0.793,0.004642,no
9,-0.792,0.004582,no
10,-0.791,0.004523,no
11,-0.79,0.004464,no
12,-0.789,0.004406,no
13,-0.788,0.004349,no
14,-0.787,0.004292,no
15,-0.786,0.004236,no
16,-0.785,0.004181,no
17,-0.784,0.004126,no
18,-0.783,0.004072,no
19,-0.782,0.004019,no
20,-0.781,0.003966,no
21,-0.78,0.003914,no
22,-0.779,0.003862,no
23,-0.778,0.003811,no
24,-0.777,0.003761,no
25,-0.776,0.003711,no
26,-0.775,0.003662,no
27,-0.774,0.003614,no
28,-0.773,0.003566,no
29,-0.772,0.003518,no
30,-0.771,0.003472,no
31,-0.77,0.003425,no
32,-0.769,0.00338,no
33,-0.768,0.003334,no
34,-0.767,0.00329,no
35,-0.766,0.003246,no
36,-0.765,0.003202,no
37,-0.764,0.003159,no
38,-0.763,0.003116,no
39,-0.762,0.003074,no
40,-0.761,0.003033,no
41,-0.76,0.002992,no
42,-0.759,0.002951,no
43,-0.758,0.002911,no
44,-0.757,0.002872,no
45,-0.756,0.002833,no
46,-0.755,0.002794,no
47,-0.754,0.002756,no
48,-0.753,0.002719,no
49,-0.752,0.002681,no
50,-0.751,0.002645,no
51,-0.75,0.002608,no
52,-0.749,0.002573,no
53,-0.748,0.002537,no
54,-0.747,0.002502,no
55,-0.746,0.002468,no
56,-0.745,0.002434,no
57,-0.744,0.0024,no
58,-0.743,0.002367,no
59,-0.742,0.002334,no
60,-0.741,0.002302,no
61,-0.74,0.00227,no
62,-0.739,0.002238,no
63,-0.738,0.002207,no
64,-0.737,0.002176,no
65,-0.736,0.002145,no
66,-0.735,0.002115,no
67,-0.734,0.002086,no
68,-0.733,0.002056,no
69,-0.732,0.002027,no
70,-0.731,0.001999,no
71,-0.73,0.001971,no
72,-0.729,0.001943,no
73,-0.728,0.001915,no
74,-0.727,0.001888,no
75,-0.726,0.001861,no
76,-0.725,0.001835,no
77,-0.724,0.001809,no
78,-0.723,0.001783,no
79,-0.722,0.001757,no
80,-0.721,0.001732,no
81,-0.72,0.001707,no
82,-0.719,0.001683,no
83,-0.718,0.001659,no
84,-0.717,0.001635,no
85,-0.716,0.001611,no
86,-0.715,0.001588,no
87,-0.714,0.001565,no
