index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,0.2456,no
2,1.201,0.2468,no
3,1.202,0.2481,no
4,1.203,0.2493,no
5,1.204,0.2505,no
6,1.205,0.2518,no
7,1.206,0.253,no
8,1.207,0.2543,no
9,1.208,0.2556,no
10,1.209,0.2568,no
11,1.21,0.2581,no
12,1.211,0.2594,no
13,1.212,0.2606,no
14,1.213,0.2619,no
15,1.214,0.2632,no
16,1.215,0.2645,no
17,1.216,0.2658,no
18,1.217,0.2671,no
19,1.218,0.2684,no
20,1.219,0.2698,no
21,1.22,0.2711,no
22,1.221,0.2724,no
23,1.222,0.2737,no
24,1.223,0.2751,no
25,1.224,0.2764,no
26,1.225,0.2778,no
27,1.226,0.2791,no
28,1.227,0.2805,no
29,1.228,0.2819,no
30,1.229,0.2832,no
31,1.23,0.2846,no
32,1.231,0.286,no
33,1.232,0.2874,no
34,1.233,0.2888,no
35,1.234,0.2902,no
36,1.235,0.2916,no
37,1.236,0.293,no
38,1.237,0.2944,no
39,1.238,0.2958,no
40,1.239,0.2972,no
41,1.24,0.2986,no
42,1.241,0.3001,no
43,1.242,0.3015,no
44,1.243,0.303,no
45,1.244,0.3044,no
46,1.245,0.3059,no
47,1.246,0.3073,no
48,1.247,0.3088,no
49,1.248,0.3103,no
50,1.249,0.3118,no
51,1.25,0.3133,no
52,1.251,0.3147,no
53,1.252,0.3162,no
54,1.253,0.3177,no
55,1.254,0.3193,no
56,1.255,0.3208,no
57,1.256,0.3223,no
58,1.257,0.3238,no
59,1.258,0.3253,no
60,1.259,0.3269,no
61,1.26,0.3284,no
62,1.261,0.33,no
63,1.262,0.3315,no
64,1.263,0.3331,no
65,1.264,0.3347,no
66,1.265,0.3362,no
67,1.266,0.3378,no
68,1.267,0.3394,no
69,1.268,0.341,no
70,1.269,0.3426,no
71,1.27,0.3442,no
72,1.271,0.3458,no
73,1.272,0.3474,no
74,1.273,0.349,no
75,1.274,0.3507,no
76,1.275,0.3523,no
77,1.276,0.3539,no
78,1.277,0.3556,no
79,1.278,0.3572,no
80,1.279,0.3589,no
81,1.28,0.3606,no
82,1.281,0.3622,no
83,1.282,0.3639,no
84,1.283,0.3656,no
85,1.284,0.3673,no
86,1.285,0.369,no
87,1.286,0.3707,no
88,1.287,0.3724,no
89,1.288,0.3741,no
90,1.289,0.3758,no
91,1.29,0.3775,no
92,1.291,0.3793,no
93,1.292,0.381,no
94,1.293,0.3828,no
95,1.294,0.3845,no
96,1.295,0.3863,no
97,1.296,0.388,no
98,1.297,0.3898,no
99,1.298,0.3916,no
100,1.299,0.3934,no
101,1.3,0.3952,no
102,1.301,0.3969,no
103,1.302,0.3988,no
104,1.303,0.4006,no
105,1.304,0.4024,no
106,1.305,0.4042,no
107,1.306,0.406,no
108,1.307,0.4079,no
109,1.308,0.4097,no
110,1.309,0.4116,no
111,1.31,0.4134,no
112,1.311,0.4153,no
113,1.312,0.4172,no
114,1.313,0.419,no
115,1.314,0.4209,no
116,1.315,0.4228,no
117,1.316,0.4247,no
118,1.317,0.4266,no
119,1.318,0.4285,no
120,1.319,0.4304,no
121,1.32,0.4324,no
122,1.321,0.4343,no
123,1.322,0.4362,no
124,1.323,0.4382,no
125,1.324,0.4401,no
126,1.325,0.4421,no
127,1.326,0.4441,no
128,1.327,0.446,no
129,1.328,0.448,no
130,1.329,0.45,no
131,1.33,0.452,no
132,1.331,0.454,no
