index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,0.9,0.04228,no
2,0.9011458298,0.04262,no
3,0.9022785303,0.04296,no
4,0.903398252,0.04329,no
5,0.9045051436,0.04362,no
6,0.9055993521,0.04395,no
7,0.9066810228,0.04428,no
8,0.9077502995,0.04461,no
9,0.908807324,0.04493,no
10,0.9098522369,0.04526,no
11,0.9108851768,0.04558,no
12,0.911906281,0.0459,no
13,0.912915685,0.04622,no
14,0.913913523,0.04653,no
15,0.9148999275,0.04685,no
16,0.9158750295,0.04716,no
17,0.9168389585,0.04747,no
18,0.9177918424,0.04778,no
19,0.918733808,0.04808,no
20,0.9196649802,0.04839,no
21,0.9205854828,0.04869,no
22,0.921495438,0.04899,no
23,0.9223949666,0.04929,no
24,0.9232841882,0.04959,no
25,0.9241632209,0.04988,no
26,0.9250321813,0.05017,no
27,0.9258911848,0.05046,no
28,0.9267403457,0.05075,no
29,0.9275797767,0.05104,no
30,0.9284095891,0.05132,no
31,0.9292298934,0.05161,no
32,0.9300407983,0.05189,no
33,0.9308424117,0.05217,no
34,0.93163484,0.05244,no
35,0.9324181883,0.05272,no
36,0.9331925608,0.05299,no
37,0.9339580604,0.05326,no
38,0.9347147886,0.05353,no
39,0.935462846,0.0538,no
40,0.9362023319,0.05406,no
41,0.9369333446,0.05433,no
42,0.9376559811,0.05459,no
43,0.9383703374,0.05485,no
44,0.9390765085,0.0551,no
45,0.939774588,0.05536,no
46,0.9404646687,0.05561,no
47,0.9411468422,0.05586,no
48,0.9418211993,0.05611,no
49,0.9424878293,0.05636,no
50,0.9431468209,0.0566,no
51,0.9437982615,0.05684,no
52,0.9444422378,0.05709,no
53,0.9450788352,0.05733,no
54,0.9457081382,0.05756,no
55,0.9463302305,0.0578,no
56,0.9469451947,0.05803,no
57,0.9475531125,0.05826,no
58,0.9481540646,0.05849,no
59,0.9487481307,0.05872,no
60,0.9493353899,0.05895,no
61,0.9499159201,0.05917,no
62,0.9504897984,0.05939,no
63,0.951057101,0.05961,no
64,0.9516179034,0.05983,no
65,0.9521722798,0.06005,no
66,0.9527203041,0.06026,no
67,0.9532620489,0.06047,no
68,0.9537975863,0.06068,no
69,0.9543269873,0.06089,no
70,0.9548503223,0.0611,no
71,0.9553676607,0.06131,no
72,0.9558790714,0.06151,no
73,0.9563846221,0.06171,no
74,0.9568843801,0.06191,no
75,0.9573784117,0.06211,no
76,0.9578667826,0.06231,no
77,0.9583495575,0.0625,no
78,0.9588268007,0.06269,no
79,0.9592985755,0.06288,no
80,0.9597649445,0.06307,no
81,0.9602259698,0.06326,no
82,0.9606817124,0.06345,no
83,0.9611322331,0.06363,no
84,0.9615775915,0.06382,no
85,0.9620178469,0.064,no
86,0.9624530578,0.06418,no
87,0.9628832818,0.06435,no
88,0.9633085762,0.06453,no
89,0.9637289975,0.0647,no
90,0.9641446014,0.06488,no
91,0.9645554433,0.06505,no
92,0.9649615775,0.06522,no
93,0.9653630582,0.06539,no
94,0.9657599386,0.06555,no
95,0.9661522714,0.06572,no
96,0.9665401088,0.06588,no
97,0.9669235022,0.06604,no
98,0.9673025026,0.0662,no
99,0.9676771602,0.06636,no
100,0.9680475249,0.06652,no
101,0.9684136459,0.06667,no
102,0.9687755718,0.06683,no
103,0.9691333506,0.06698,no
104,0.9694870298,0.06713,no
105,0.9698366565,0.06728,no
106,0.9701822771,0.06743,no
107,0.9705239374,0.06758,no
108,0.970861683,0.06772,no
109,0.9711955585,0.06787,no
110,0.9715256083,0.06801,no
111,0.9718518764,0.06815,no
112,0.972174406,0.06829,no
113,0.9724932399,0.06843,no
114,0.9728084206,0.06857,no
115,0.9731199898,0.0687,no
116,0.9734279889,0.06884,no
117,0.973732459,0.06897,no
118,0.9740334403,0.0691,no
119,0.9743309728,0.06923,no
120,0.9746250962,0.06936,no
121,0.9749158494,0.06949,no
122,0.9752032711,0.06961,no
123,0.9754873994,0.06974,no
124,0.9757682721,0.06986,no
125,0.9760459264,0.06999,no
126,0.9763203993,0.07011,no
127,0.9765917272,0.07023,no
128,0.9768599462,0.07035,no
129,0.9771250918,0.07047,no
130,0.9773871993,0.07058,no
131,0.9776463035,0.0707,no
132,0.9779024389,0.07081,no
133,0.9781556393,0.07093,no
134,0.9784059385,0.07104,no
135,0.9786533697,0.07115,no
136,0.9788979657,0.07126,no
137,0.9791397591,0.07137,no
138,0.979378782,0.07148,no
139,0.979615066,0.07158,no
140,0.9798486427,0.07169,no
141,0.9800795429,0.07179,no
142,0.9803077974,0.0719,no
143,0.9805334366,0.072,no
144,0.9807564902,0.0721,no
145,0.9809769881,0.0722,no
146,0.9811949594,0.0723,no
147,0.9814104332,0.0724,no
148,0.981623438,0.07249,no
149,0.9818340021,0.07259,no
150,0.9820421535,0.07268,no
151,0.9822479199,0.07278,no
152,0.9824513285,0.07287,no
153,0.9826524064,0.07296,no
154,0.9828511803,0.07305,no
155,0.9830476766,0.07314,no
156,0.9832419214,0.07323,no
157,0.9834339404,0.07332,no
158,0.9836237593,0.07341,no
159,0.9838114031,0.0735,no
160,0.9839968969,0.07358,no
161,0.9841802652,0.07367,no
162,0.9843615324,0.07375,no
163,0.9845407226,0.07383,no
164,0.9847178596,0.07391,no
165,0.984892967,0.07399,no
166,0.9850660678,0.07408,no
167,0.9852371853,0.07415,no
168,0.985406342,0.07423,no
169,0.9855735605,0.07431,no
170,0.9857388629,0.07439,no
171,0.9859022713,0.07446,no
172,0.9860638073,0.07454,no
173,0.9862234923,0.07461,no
174,0.9863813476,0.07469,no
175,0.9865373942,0.07476,no
176,0.9866916528,0.07483,no
177,0.9868441438,0.0749,no
178,0.9869948875,0.07497,no
179,0.9871439039,0.07504,no
180,0.9872912129,0.07511,no
181,0.987436834,0.07518,no
182,0.9875807865,0.07525,no
183,0.9877230895,0.07532,no
184,0.987863762,0.07538,no
185,0.9880028226,0.07545,no
186,0.9881402899,0.07551,no
187,0.988276182,0.07558,no
188,0.988410517,0.07564,no
189,0.9885433127,0.0757,no
190,0.9886745868,0.07576,no
191,0.9888043568,0.07583,no
192,0.9889326398,0.07589,no
193,0.9890594529,0.07595,no
194,0.989184813,0.07601,no
195,0.9893087366,0.07606,no
196,0.9894312403,0.07612,no
197,0.9895523403,0.07618,no
198,0.9896720527,0.07624,no
199,0.9897903934,0.07629,no
200,0.9899073781,0.07635,no
201,0.9900230224,0.0764,no
202,0.9901373415,0.07646,no
203,0.9902503508,0.07651,no
204,0.9903620652,0.07656,no
205,0.9904724995,0.07662,no
206,0.9905816685,0.07667,no
207,0.9906895865,0.07672,no
208,0.990796268,0.07677,no
209,0.9909017271,0.07682,no
210,0.9910059778,0.07687,no
211,0.991109034,0.07692,no
212,0.9912109093,0.07697,no
213,0.9913116174,0.07702,no
214,0.9914111714,0.07707,no
215,0.9915095848,0.07711,no
216,0.9916068705,0.07716,no
217,0.9917030415,0.07721,no
218,0.9917981105,0.07725,no
219,0.9918920902,0.0773,no
220,0.991984993,0.07734,no
221,0.9920768314,0.07738,no
222,0.9921676174,0.07743,no
223,0.9922573632,0.07747,no
224,0.9923460806,0.07751,no
225,0.9924337815,0.07756,no
226,0.9925204775,0.0776,no
227,0.9926061801,0.07764,no
228,0.9926909007,0.07768,no
229,0.9927746505,0.07772,no
230,0.9928574407,0.07776,no
231,0.9929392823,0.0778,no
232,0.9930201861,0.07784,no
233,0.9931001629,0.07788,no
234,0.9931792233,0.07792,no
235,0.9932573778,0.07795,no
236,0.9933346367,0.07799,no
237,0.9934110104,0.07803,no
238,0.9934865091,0.07806,no
239,0.9935611426,0.0781,no
240,0.9936349209,0.07814,no
241,0.9937078539,0.07817,no
242,0.9937799512,0.07821,no
243,0.9938512223,0.07824,no
244,0.9939216769,0.07828,no
245,0.9939913241,0.07831,no
246,0.9940601733,0.07834,no
247,0.9941282336,0.07838,no
248,0.9941955141,0.07841,no
249,0.9942620236,0.07844,no
250,0.994327771,0.07847,no
251,0.9943927651,0.0785,no
252,0.9944570145,0.07854,no
253,0.9945205277,0.07857,no
254,0.9945833131,0.0786,no
255,0.9946453791,0.07863,no
256,0.9947067339,0.07866,no
257,0.9947673858,0.07869,no
258,0.9948273426,0.07872,no
259,0.9948866125,0.07874,no
260,0.9949452032,0.07877,no
261,0.9950031225,0.0788,no
262,0.9950603783,0.07883,no
263,0.9951169779,0.07886,no
264,0.995172929,0.07888,no
265,0.9952282391,0.07891,no
266,0.9952829153,0.07894,no
267,0.9953369651,0.07896,no
268,0.9953903955,0.07899,no
269,0.9954432137,0.07902,no
270,0.9954954267,0.07904,no
271,0.9955470415,0.07907,no
272,0.9955980648,0.07909,no
273,0.9956485035,0.07912,no
274,0.9956983642,0.07914,no
275,0.9957476537,0.07916,no
276,0.9957963783,0.07919,no
277,0.9958445447,0.07921,no
278,0.9958921591,0.07924,no
279,0.995939228,0.07926,no
280,0.9959857575,0.07928,no
281,0.9960317539,0.0793,no
282,0.9960772232,0.07933,no
283,0.9961221716,0.07935,no
284,0.9961666049,0.07937,no
285,0.9962105291,0.07939,no
286,0.99625395,0.07941,no
287,0.9962968733,0.07943,no
288,0.9963393049,0.07945,no
289,0.9963812502,0.07948,no
290,0.9964227149,0.0795,no
291,0.9964637045,0.07952,no
292,0.9965042244,0.07954,no
293,0.9965442801,0.07956,no
294,0.9965838767,0.07957,no
295,0.9966230197,0.07959,no
296,0.9966617141,0.07961,no
297,0.9966999652,0.07963,no
298,0.996737778,0.07965,no
299,0.9967751575,0.07967,no
300,0.9968121087,0.07969,no
301,0.9968486365,0.07971,no
302,0.9968847458,0.07972,no
303,0.9969204413,0.07974,no
304,0.9969557278,0.07976,no
305,0.99699061,0.07978,no
306,0.9970250925,0.07979,no
307,0.9970591798,0.07981,no
308,0.9970928766,0.07983,no
309,0.9971261873,0.07984,no
310,0.9971591163,0.07986,no
311,0.997191668,0.07987,no
312,0.9972238467,0.07989,no
313,0.9972556567,0.07991,no
314,0.9972871022,0.07992,no
315,0.9973181874,0.07994,no
316,0.9973489164,0.07995,no
317,0.9973792933,0.07997,no
318,0.9974093221,0.07998,no
319,0.9974390069,0.08,no
320,0.9974683515,0.08001,no
321,0.9974973599,0.08002,no
322,0.9975260359,0.08004,no
323,0.9975543833,0.08005,no
324,0.9975824059,0.08007,no
325,0.9976101074,0.08008,no
326,0.9976374915,0.08009,no
327,0.9976645619,0.08011,no
328,0.997691322,0.08012,no
329,0.9977177755,0.08013,no
330,0.9977439259,0.08015,no
331,0.9977697767,0.08016,no
332,0.9977953313,0.08017,no
333,0.997820593,0.08018,no
334,0.9978455653,0.0802,no
335,0.9978702515,0.08021,no
336,0.9978946548,0.08022,no
337,0.9979187784,0.08023,no
338,0.9979426257,0.08025,no
339,0.9979661997,0.08026,no
340,0.9979895036,0.08027,no
341,0.9980125405,0.08028,no
342,0.9980353134,0.08029,no
343,0.9980578253,0.0803,no
344,0.9980800793,0.08031,no
345,0.9981020784,0.08032,no
346,0.9981238253,0.08033,no
347,0.9981453231,0.08035,no
348,0.9981665745,0.08036,no
349,0.9981875825,0.08037,no
350,0.9982083497,0.08038,no
351,0.9982288789,0.08039,no
352,0.998249173,0.0804,no
353,0.9982692345,0.08041,no
354,0.9982890661,0.08042,no
355,0.9983086705,0.08043,no
356,0.9983280502,0.08044,no
357,0.9983472079,0.08045,no
358,0.9983661461,0.08045,no
359,0.9983848673,0.08046,no
360,0.998403374,0.08047,no
361,0.9984216686,0.08048,no
362,0.9984397536,0.08049,no
363,0.9984576314,0.0805,no
364,0.9984753043,0.08051,no
365,0.9984927747,0.08052,no
366,0.9985100449,0.08053,no
367,0.9985271173,0.08053,no
368,0.998543994,0.08054,no
369,0.9985606774,0.08055,no
370,0.9985771695,0.08056,no
371,0.9985934728,0.08057,no
372,0.9986095892,0.08058,no
373,0.9986255209,0.08058,no
374,0.9986412701,0.08059,no
375,0.9986568388,0.0806,no
