index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.0004052,yes
2,-0.799,0.000398,no
3,-0.798,0.0003909,no
4,-0.797,0.000384,no
5,-0.796,0.0003772,no
6,-0.795,0.0003705,no
7,-0.794,0.000364,no
8,-0.793,0.0003576,no
9,-0.792,0.0003513,no
10,-0.791,0.0003451,no
11,-0.79,0.0003391,no
12,-0.789,0.0003332,no
13,-0.788,0.0003274,no
14,-0.787,0.0003217,no
15,-0.786,0.0003161,no
16,-0.785,0.0003106,no
17,-0.784,0.0003052,no
18,-0.783,0.0002999,no
19,-0.782,0.0002948,no
20,-0.781,0.0002897,no
21,-0.78,0.0002847,no
22,-0.779,0.0002798,no
23,-0.778,0.000275,no
24,-0.777,0.0002703,no
25,-0.776,0.0002657,no
26,-0.775,0.0002612,no
27,-0.774,0.0002567,no
28,-0.773,0.0002524,no
29,-0.772,0.0002481,no
30,-0.771,0.0002439,no
31,-0.77,0.0002398,no
32,-0.769,0.0002357,no
33,-0.768,0.0002318,no
34,-0.767,0.0002279,no
35,-0.766,0.000224,no
36,-0.765,0.0002203,no
37,-0.764,0.0002166,no
38,-0.763,0.0002129,no
39,-0.762,0.0002094,no
40,-0.761,0.0002059,no
41,-0.76,0.0002025,no
42,-0.759,0.0001991,no
43,-0.758,0.0001958,no
44,-0.757,0.0001925,no
45,-0.756,0.0001893,no
46,-0.755,0.0001862,no
47,-0.754,0.0001831,no
48,-0.753,0.0001801,no
49,-0.752,0.0001771,no
50,-0.751,0.0001742,no
51,-0.75,0.0001713,no
52,-0.749,0.0001685,no
53,-0.748,0.0001658,no
54,-0.747,0.000163,no
55,-0.746,0.0001604,no
56,-0.745,0.0001577,no
57,-0.744,0.0001552,no
58,-0.743,0.0001526,no
59,-0.742,0.0001501,no
60,-0.741,0.0001477,no
61,-0.74,0.0001453,no
62,-0.739,0.0001429,no
63,-0.738,0.0001406,no
64,-0.737,0.0001383,no
65,-0.736,0.0001361,no
66,-0.735,0.0001339,no
67,-0.734,0.0001317,no
68,-0.733,0.0001296,no
69,-0.732,0.0001275,no
70,-0.731,0.0001254,no
71,-0.73,0.0001234,no
72,-0.729,0.0001214,no
73,-0.728,0.0001195,no
74,-0.727,0.0001175,no
75,-0.726,0.0001157,no
76,-0.725,0.0001138,no
77,-0.724,0.000112,no
78,-0.723,0.0001102,no
79,-0.722,0.0001084,no
80,-0.721,0.0001067,no
81,-0.72,0.000105,no
82,-0.719,0.0001033,no
83,-0.718,0.0001017,no
84,-0.717,0.0001,no
85,-0.716,9.843e-05,no
86,-0.715,9.687e-05,no
87,-0.714,9.532e-05,no
88,-0.713,9.381e-05,no
89,-0.712,9.231e-05,no
90,-0.711,9.085e-05,no
91,-0.71,8.94e-05,no
92,-0.709,8.799e-05,no
93,-0.708,8.659e-05,no
94,-0.707,8.522e-05,no
95,-0.706,8.387e-05,no
96,-0.705,8.254e-05,no
97,-0.704,8.123e-05,no
98,-0.703,7.995e-05,no
99,-0.702,7.868e-05,no
100,-0.701,7.744e-05,no
101,-0.7,7.622e-05,no
102,-0.699,7.502e-05,no
103,-0.698,7.383e-05,no
104,-0.697,7.267e-05,no
105,-0.696,7.152e-05,no
106,-0.695,7.04e-05,no
107,-0.694,6.929e-05,no
108,-0.693,6.82e-05,no
109,-0.692,6.712e-05,no
110,-0.691,6.607e-05,no
111,-0.69,6.503e-05,no
112,-0.689,6.401e-05,no
113,-0.688,6.3e-05,no
114,-0.687,6.201e-05,no
