index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,0.0003029,no
2,1.201,0.0003047,no
3,1.202,0.0003065,no
4,1.203,0.0003082,no
5,1.204,0.0003101,no
6,1.205,0.0003119,no
7,1.206,0.0003137,no
8,1.207,0.0003155,no
9,1.208,0.0003174,no
10,1.209,0.0003192,no
11,1.21,0.0003211,no
12,1.211,0.0003229,no
13,1.212,0.0003248,no
14,1.213,0.0003267,no
15,1.214,0.0003286,no
16,1.215,0.0003305,no
17,1.216,0.0003324,no
18,1.217,0.0003343,no
19,1.218,0.0003363,no
20,1.219,0.0003382,no
21,1.22,0.0003402,no
22,1.221,0.0003422,no
23,1.222,0.0003441,no
24,1.223,0.0003461,no
25,1.224,0.0003481,no
26,1.225,0.0003501,no
27,1.226,0.0003521,no
28,1.227,0.0003542,no
29,1.228,0.0003562,no
30,1.229,0.0003582,no
31,1.23,0.0003603,no
32,1.231,0.0003624,no
33,1.232,0.0003644,no
34,1.233,0.0003665,no
35,1.234,0.0003686,no
36,1.235,0.0003707,no
37,1.236,0.0003728,no
38,1.237,0.000375,no
39,1.238,0.0003771,no
40,1.239,0.0003793,no
41,1.24,0.0003814,no
42,1.241,0.0003836,no
43,1.242,0.0003858,no
44,1.243,0.000388,no
45,1.244,0.0003902,no
46,1.245,0.0003924,no
47,1.246,0.0003946,no
48,1.247,0.0003969,no
49,1.248,0.0003991,no
50,1.249,0.0004014,no
51,1.25,0.0004036,no
52,1.251,0.0004059,no
53,1.252,0.0004082,no
54,1.253,0.0004105,no
55,1.254,0.0004128,no
56,1.255,0.0004152,no
57,1.256,0.0004175,no
58,1.257,0.0004199,no
59,1.258,0.0004222,no
60,1.259,0.0004246,no
61,1.26,0.000427,no
62,1.261,0.0004294,no
63,1.262,0.0004318,no
64,1.263,0.0004342,no
65,1.264,0.0004366,no
66,1.265,0.0004391,no
67,1.266,0.0004415,no
68,1.267,0.000444,no
69,1.268,0.0004465,no
70,1.269,0.000449,no
71,1.27,0.0004515,no
72,1.271,0.000454,no
73,1.272,0.0004565,no
74,1.273,0.0004591,no
75,1.274,0.0004616,no
76,1.275,0.0004642,no
77,1.276,0.0004668,no
78,1.277,0.0004694,no
79,1.278,0.000472,no
80,1.279,0.0004746,no
81,1.28,0.0004772,no
82,1.281,0.0004798,no
83,1.282,0.0004825,no
84,1.283,0.0004852,no
85,1.284,0.0004879,no
86,1.285,0.0004905,no
87,1.286,0.0004933,no
88,1.287,0.000496,no
89,1.288,0.0004987,no
90,1.289,0.0005015,no
91,1.29,0.0005042,no
92,1.291,0.000507,no
93,1.292,0.0005098,no
94,1.293,0.0005126,no
95,1.294,0.0005154,no
96,1.295,0.0005182,no
97,1.296,0.000521,no
98,1.297,0.0005239,no
