index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.9,0.003435,no
2,-0.9011458298,0.003544,no
3,-0.9022785303,0.003656,no
4,-0.903398252,0.00377,no
5,-0.9045051436,0.003888,no
6,-0.9055993521,0.00401,no
7,-0.9066810228,0.004134,no
8,-0.9077502995,0.004263,no
9,-0.908807324,0.004394,no
10,-0.9098522369,0.00453,no
11,-0.9108851768,0.004669,no
12,-0.911906281,0.004812,no
13,-0.912915685,0.004959,no
14,-0.913913523,0.00511,no
15,-0.9148999275,0.005265,no
16,-0.9158750295,0.005424,no
17,-0.9168389585,0.005588,no
18,-0.9177918424,0.005756,no
19,-0.918733808,0.005929,no
20,-0.9196649802,0.006106,no
21,-0.9205854828,0.006288,no
22,-0.921495438,0.006475,no
23,-0.9223949666,0.006667,no
24,-0.9232841882,0.006865,no
25,-0.9241632209,0.007067,no
26,-0.9250321813,0.007275,no
27,-0.9258911848,0.007489,no
28,-0.9267403457,0.007708,no
29,-0.9275797767,0.007934,no
30,-0.9284095891,0.008165,no
31,-0.9292298934,0.008402,no
32,-0.9300407983,0.008646,no
33,-0.9308424117,0.008896,no
34,-0.93163484,0.009153,no
35,-0.9324181883,0.009416,no
36,-0.9331925608,0.009687,no
37,-0.9339580604,0.009964,no
38,-0.9347147886,0.01025,no
39,-0.935462846,0.01054,no
40,-0.9362023319,0.01084,no
41,-0.9369333446,0.01115,no
42,-0.9376559811,0.01147,no
43,-0.9383703374,0.01179,no
44,-0.9390765085,0.01212,no
45,-0.939774588,0.01246,no
46,-0.9404646687,0.01281,no
47,-0.9411468422,0.01317,no
48,-0.9418211993,0.01354,no
49,-0.9424878293,0.01392,no
50,-0.9431468209,0.01431,no
51,-0.9437982615,0.01471,no
52,-0.9444422378,0.01511,no
53,-0.9450788352,0.01553,no
54,-0.9457081382,0.01596,no
55,-0.9463302305,0.0164,no
56,-0.9469451947,0.01686,no
57,-0.9475531125,0.01732,no
58,-0.9481540646,0.0178,no
59,-0.9487481307,0.01828,no
60,-0.9493353899,0.01878,no
61,-0.9499159201,0.0193,no
62,-0.9504897984,0.01982,no
63,-0.951057101,0.02036,no
64,-0.9516179034,0.02091,no
65,-0.9521722798,0.02148,no
66,-0.9527203041,0.02206,no
67,-0.9532620489,0.02266,no
68,-0.9537975863,0.02327,no
69,-0.9543269873,0.0239,no
70,-0.9548503223,0.02454,no
71,-0.9553676607,0.0252,no
72,-0.9558790714,0.02588,no
73,-0.9563846221,0.02657,no
74,-0.9568843801,0.02728,no
75,-0.9573784117,0.02801,no
76,-0.9578667826,0.02876,no
77,-0.9583495575,0.02952,no
78,-0.9588268007,0.03031,no
79,-0.9592985755,0.03111,no
80,-0.9597649445,0.03193,no
81,-0.9602259698,0.03278,no
82,-0.9606817124,0.03365,no
83,-0.9611322331,0.03453,no
84,-0.9615775915,0.03545,no
85,-0.9620178469,0.03638,no
86,-0.9624530578,0.03733,no
87,-0.9628832818,0.03831,no
88,-0.9633085762,0.03932,no
89,-0.9637289975,0.04035,no
90,-0.9641446014,0.0414,no
91,-0.9645554433,0.04249,no
92,-0.9649615775,0.04359,no
93,-0.9653630582,0.04473,no
94,-0.9657599386,0.0459,no
95,-0.9661522714,0.04709,no
96,-0.9665401088,0.04831,no
97,-0.9669235022,0.04956,no
98,-0.9673025026,0.05085,no
99,-0.9676771602,0.05216,no
100,-0.9680475249,0.05351,no
101,-0.9684136459,0.05489,no
102,-0.9687755718,0.05631,no
103,-0.9691333506,0.05776,no
104,-0.9694870298,0.05925,no
105,-0.9698366565,0.06077,no
106,-0.9701822771,0.06233,no
107,-0.9705239374,0.06393,no
108,-0.970861683,0.06557,no
109,-0.9711955585,0.06725,no
110,-0.9715256083,0.06897,no
111,-0.9718518764,0.07073,no
112,-0.972174406,0.07254,no
113,-0.9724932399,0.07439,no
114,-0.9728084206,0.07628,no
115,-0.9731199898,0.07823,no
116,-0.9734279889,0.08021,no
117,-0.973732459,0.08225,no
118,-0.9740334403,0.08434,no
119,-0.9743309728,0.08648,no
120,-0.9746250962,0.08867,no
121,-0.9749158494,0.09092,no
122,-0.9752032711,0.09322,no
123,-0.9754873994,0.09557,no
124,-0.9757682721,0.09799,no
125,-0.9760459264,0.1005,no
126,-0.9763203993,0.103,no
127,-0.9765917272,0.1056,no
128,-0.9768599462,0.1082,no
129,-0.9771250918,0.111,no
130,-0.9773871993,0.1138,no
131,-0.9776463035,0.1166,no
132,-0.9779024389,0.1195,no
133,-0.9781556393,0.1225,no
134,-0.9784059385,0.1256,no
135,-0.9786533697,0.1288,no
136,-0.9788979657,0.132,no
137,-0.9791397591,0.1353,no
138,-0.979378782,0.1387,no
139,-0.979615066,0.1421,no
140,-0.9798486427,0.1457,no
141,-0.9800795429,0.1493,no
142,-0.9803077974,0.153,no
143,-0.9805334366,0.1568,no
144,-0.9807564902,0.1607,no
145,-0.9809769881,0.1647,no
146,-0.9811949594,0.1688,no
147,-0.9814104332,0.173,no
148,-0.981623438,0.1773,no
149,-0.9818340021,0.1817,no
150,-0.9820421535,0.1862,no
151,-0.9822479199,0.1909,no
152,-0.9824513285,0.1956,no
153,-0.9826524064,0.2004,no
154,-0.9828511803,0.2054,no
155,-0.9830476766,0.2105,no
156,-0.9832419214,0.2157,no
157,-0.9834339404,0.221,no
158,-0.9836237593,0.2264,no
159,-0.9838114031,0.232,no
160,-0.9839968969,0.2378,no
161,-0.9841802652,0.2436,no
162,-0.9843615324,0.2496,no
163,-0.9845407226,0.2558,no
164,-0.9847178596,0.2621,no
165,-0.984892967,0.2685,no
166,-0.9850660678,0.2751,no
167,-0.9852371853,0.2819,no
168,-0.985406342,0.2888,no
169,-0.9855735605,0.2959,no
170,-0.9857388629,0.3032,no
171,-0.9859022713,0.3106,no
172,-0.9860638073,0.3182,no
173,-0.9862234923,0.326,no
174,-0.9863813476,0.334,no
175,-0.9865373942,0.3422,no
176,-0.9866916528,0.3506,no
177,-0.9868441438,0.3591,no
178,-0.9869948875,0.3679,no
179,-0.9871439039,0.3769,no
180,-0.9872912129,0.3861,no
181,-0.987436834,0.3956,no
182,-0.9875807865,0.4052,no
183,-0.9877230895,0.4151,no
184,-0.987863762,0.4253,no
185,-0.9880028226,0.4356,no
186,-0.9881402899,0.4463,no
187,-0.988276182,0.4571,no
188,-0.988410517,0.4683,no
189,-0.9885433127,0.4797,no
190,-0.9886745868,0.4914,no
191,-0.9888043568,0.5034,no
192,-0.9889326398,0.5156,no
193,-0.9890594529,0.5282,no
194,-0.989184813,0.541,no
195,-0.9893087366,0.5542,no
196,-0.9894312403,0.5676,no
197,-0.9895523403,0.5814,no
198,-0.9896720527,0.5956,no
199,-0.9897903934,0.61,no
200,-0.9899073781,0.6249,no
201,-0.9900230224,0.64,no
202,-0.9901373415,0.6556,no
203,-0.9902503508,0.6715,no
204,-0.9903620652,0.6878,no
205,-0.9904724995,0.7045,no
206,-0.9905816685,0.7215,no
207,-0.9906895865,0.739,no
208,-0.990796268,0.757,no
209,-0.9909017271,0.7753,no
210,-0.9910059778,0.7941,no
211,-0.991109034,0.8133,no
212,-0.9912109093,0.833,no
213,-0.9913116174,0.8532,no
214,-0.9914111714,0.8739,no
215,-0.9915095848,0.895,no
216,-0.9916068705,0.9167,no
217,-0.9917030415,0.9389,no
218,-0.9917981105,0.9616,no
219,-0.9918920902,0.9849,no
220,-0.991984993,1.009,no
221,-0.9920768314,1.033,no
222,-0.9921676174,1.058,no
223,-0.9922573632,1.084,no
224,-0.9923460806,1.11,no
225,-0.9924337815,1.137,no
226,-0.9925204775,1.164,no
227,-0.9926061801,1.192,no
228,-0.9926909007,1.221,no
229,-0.9927746505,1.251,no
230,-0.9928574407,1.281,no
231,-0.9929392823,1.312,no
232,-0.9930201861,1.343,no
233,-0.9931001629,1.376,no
234,-0.9931792233,1.409,no
235,-0.9932573778,1.443,no
236,-0.9933346367,1.478,no
237,-0.9934110104,1.514,no
238,-0.9934865091,1.55,no
239,-0.9935611426,1.588,no
240,-0.9936349209,1.626,no
241,-0.9937078539,1.665,no
242,-0.9937799512,1.705,no
243,-0.9938512223,1.746,no
244,-0.9939216769,1.789,no
245,-0.9939913241,1.832,no
246,-0.9940601733,1.876,no
247,-0.9941282336,1.921,no
248,-0.9941955141,1.968,no
249,-0.9942620236,2.015,no
250,-0.994327771,2.064,no
251,-0.9943927651,2.113,no
252,-0.9944570145,2.164,no
253,-0.9945205277,2.217,no
254,-0.9945833131,2.27,no
255,-0.9946453791,2.325,no
256,-0.9947067339,2.381,no
257,-0.9947673858,2.439,no
258,-0.9948273426,2.497,no
259,-0.9948866125,2.558,no
260,-0.9949452032,2.619,no
261,-0.9950031225,2.683,no
262,-0.9950603783,2.747,no
263,-0.9951169779,2.814,no
264,-0.995172929,2.881,no
265,-0.9952282391,2.951,no
266,-0.9952829153,3.022,no
267,-0.9953369651,3.095,no
268,-0.9953903955,3.17,no
269,-0.9954432137,3.246,no
270,-0.9954954267,3.325,no
271,-0.9955470415,3.405,no
272,-0.9955980648,3.487,no
273,-0.9956485035,3.572,no
274,-0.9956983642,3.658,no
275,-0.9957476537,3.746,no
276,-0.9957963783,3.837,no
277,-0.9958445447,3.929,no
278,-0.9958921591,4.024,no
279,-0.995939228,4.122,no
280,-0.9959857575,4.221,no
281,-0.9960317539,4.323,no
282,-0.9960772232,4.428,no
283,-0.9961221716,4.535,no
284,-0.9961666049,4.645,no
285,-0.9962105291,4.757,no
286,-0.99625395,4.872,no
287,-0.9962968733,4.99,no
288,-0.9963393049,5.111,no
289,-0.9963812502,5.234,no
290,-0.9964227149,5.361,no
291,-0.9964637045,5.491,no
292,-0.9965042244,5.624,no
293,-0.9965442801,5.76,no
294,-0.9965838767,5.9,no
295,-0.9966230197,6.043,no
296,-0.9966617141,6.189,no
297,-0.9966999652,6.339,no
298,-0.996737778,6.493,no
299,-0.9967751575,6.65,no
300,-0.9968121087,6.812,no
301,-0.9968486365,6.977,no
302,-0.9968847458,7.146,no
303,-0.9969204413,7.32,no
304,-0.9969557278,7.498,no
305,-0.99699061,7.68,no
306,-0.9970250925,7.866,no
307,-0.9970591798,8.057,no
308,-0.9970928766,8.253,no
309,-0.9971261873,8.454,no
310,-0.9971591163,8.66,no
311,-0.997191668,8.87,no
312,-0.9972238467,9.086,no
313,-0.9972556567,9.308,no
314,-0.9972871022,9.534,no
315,-0.9973181874,9.767,no
316,-0.9973489164,10,no
317,-0.9973792933,10.25,no
318,-0.9974093221,10.5,no
319,-0.9974390069,10.75,no
320,-0.9974683515,11.02,no
321,-0.9974973599,11.29,no
322,-0.9975260359,11.56,no
323,-0.9975543833,11.84,no
324,-0.9975824059,12.13,no
325,-0.9976101074,12.43,no
326,-0.9976374915,12.74,no
327,-0.9976645619,13.05,no
328,-0.997691322,13.37,no
329,-0.9977177755,13.69,no
330,-0.9977439259,14.03,no
331,-0.9977697767,14.37,no
332,-0.9977953313,14.73,no
333,-0.997820593,15.09,no
334,-0.9978455653,15.46,no
335,-0.9978702515,15.84,no
336,-0.9978946548,16.23,no
337,-0.9979187784,16.63,no
338,-0.9979426257,17.03,no
339,-0.9979661997,17.45,no
340,-0.9979895036,17.88,no
341,-0.9980125405,18.32,no
342,-0.9980353134,18.78,no
343,-0.9980578253,19.24,no
344,-0.9980800793,19.71,no
345,-0.9981020784,20.2,no
346,-0.9981238253,20.7,no
347,-0.9981453231,21.21,no
348,-0.9981665745,21.74,no
349,-0.9981875825,22.27,no
350,-0.9982083497,22.83,no
351,-0.9982288789,23.39,no
352,-0.998249173,23.97,no
353,-0.9982692345,24.57,no
354,-0.9982890661,25.18,no
355,-0.9983086705,25.8,no
356,-0.9983280502,26.44,no
357,-0.9983472079,27.1,no
358,-0.9983661461,27.78,no
359,-0.9983848673,28.47,no
360,-0.998403374,29.18,no
361,-0.9984216686,29.91,no
362,-0.9984397536,30.65,no
363,-0.9984576314,31.42,no
364,-0.9984753043,32.21,no
365,-0.9984927747,33.01,no
366,-0.9985100449,33.84,no
367,-0.9985271173,34.69,no
368,-0.998543994,35.56,no
369,-0.9985606774,36.45,no
370,-0.9985771695,37.37,no
371,-0.9985934728,38.31,no
372,-0.9986095892,39.27,no
373,-0.9986255209,40.26,no
374,-0.9986412701,41.28,no
375,-0.9986568388,42.32,no
376,-0.9986722292,43.39,no
377,-0.9986874432,44.49,no
378,-0.9987024828,45.61,no
379,-0.9987173502,46.77,no
380,-0.9987320472,47.95,no
381,-0.9987465757,49.17,no
382,-0.9987609378,50.42,no
383,-0.9987751354,51.7,no
384,-0.9987891702,53.02,no
385,-0.9988030443,54.37,no
386,-0.9988167594,55.76,no
387,-0.9988303173,57.18,no
388,-0.9988437199,58.65,no
389,-0.9988569689,60.15,no
390,-0.9988700661,61.69,no
391,-0.9988830132,63.27,no
392,-0.9988958119,64.9,no
393,-0.9989084641,66.57,no
394,-0.9989209712,68.29,no
395,-0.998933335,70.05,no
396,-0.9989455572,71.86,no
397,-0.9989576393,73.71,no
398,-0.998969583,75.62,no
399,-0.9989813898,77.58,no
400,-0.9989930614,79.6,no
401,-0.9990045992,81.67,no
402,-0.9990160048,83.79,no
403,-0.9990272797,85.98,no
404,-0.9990384254,88.22,no
405,-0.9990494434,90.53,no
406,-0.9990603352,92.9,no
407,-0.9990711021,95.34,no
408,-0.9990817457,97.84,no
409,-0.9990922673,100.4,no
410,-0.9991026684,103.1,no
411,-0.9991129503,105.8,no
412,-0.9991231144,108.6,no
413,-0.999133162,111.5,no
414,-0.9991430945,114.4,no
415,-0.9991529132,117.4,no
416,-0.9991626193,120.6,no
417,-0.9991722143,123.8,no
418,-0.9991816993,127.1,no
419,-0.9991910757,130.5,no
420,-0.9992003445,134,no
421,-0.9992095072,137.6,no
422,-0.9992185649,141.3,no
423,-0.9992275189,145.1,no
424,-0.9992363702,149,no
425,-0.9992451201,153.1,no
426,-0.9992537697,157.2,no
427,-0.9992623202,161.5,no
428,-0.9992707728,165.9,no
429,-0.9992791285,170.4,no
430,-0.9992873885,175.1,no
431,-0.9992955538,179.9,no
432,-0.9993036255,184.8,no
433,-0.9993116048,189.9,no
