index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.158,yes
2,-0.799,0.1551,no
3,-0.798,0.1522,no
4,-0.797,0.1494,no
5,-0.796,0.1466,no
6,-0.795,0.1439,no
7,-0.794,0.1412,no
8,-0.793,0.1386,no
9,-0.792,0.136,no
10,-0.791,0.1335,no
11,-0.79,0.131,no
12,-0.789,0.1286,no
13,-0.788,0.1262,no
14,-0.787,0.1239,no
15,-0.786,0.1216,no
16,-0.785,0.1194,no
17,-0.784,0.1171,no
18,-0.783,0.115,no
19,-0.782,0.1129,no
20,-0.781,0.1108,no
21,-0.78,0.1087,no
22,-0.779,0.1067,no
23,-0.778,0.1047,no
24,-0.777,0.1028,no
25,-0.776,0.1009,no
26,-0.775,0.09905,no
27,-0.774,0.09722,no
28,-0.773,0.09542,no
29,-0.772,0.09366,no
30,-0.771,0.09193,no
31,-0.77,0.09024,no
32,-0.769,0.08857,no
33,-0.768,0.08693,no
34,-0.767,0.08533,no
35,-0.766,0.08375,no
36,-0.765,0.08221,no
37,-0.764,0.08069,no
38,-0.763,0.0792,no
39,-0.762,0.07774,no
40,-0.761,0.0763,no
41,-0.76,0.07489,no
42,-0.759,0.07351,no
43,-0.758,0.07215,no
44,-0.757,0.07082,no
45,-0.756,0.06951,no
46,-0.755,0.06823,no
47,-0.754,0.06697,no
48,-0.753,0.06573,no
49,-0.752,0.06451,no
50,-0.751,0.06332,no
51,-0.75,0.06215,no
52,-0.749,0.061,no
53,-0.748,0.05987,no
54,-0.747,0.05876,no
55,-0.746,0.05768,no
56,-0.745,0.05661,no
57,-0.744,0.05556,no
58,-0.743,0.05453,no
59,-0.742,0.05352,no
60,-0.741,0.05253,no
61,-0.74,0.05156,no
62,-0.739,0.0506,no
63,-0.738,0.04966,no
64,-0.737,0.04874,no
65,-0.736,0.04784,no
66,-0.735,0.04695,no
67,-0.734,0.04608,no
68,-0.733,0.04522,no
69,-0.732,0.04438,no
70,-0.731,0.04356,no
71,-0.73,0.04275,no
72,-0.729,0.04195,no
73,-0.728,0.04117,no
74,-0.727,0.0404,no
75,-0.726,0.03965,no
76,-0.725,0.03891,no
77,-0.724,0.03819,no
78,-0.723,0.03748,no
79,-0.722,0.03678,no
80,-0.721,0.03609,no
81,-0.72,0.03542,no
82,-0.719,0.03475,no
83,-0.718,0.03411,no
84,-0.717,0.03347,no
85,-0.716,0.03284,no
86,-0.715,0.03223,no
87,-0.714,0.03162,no
88,-0.713,0.03103,no
89,-0.712,0.03045,no
90,-0.711,0.02988,no
91,-0.71,0.02932,no
92,-0.709,0.02877,no
93,-0.708,0.02823,no
94,-0.707,0.0277,no
95,-0.706,0.02718,no
96,-0.705,0.02667,no
97,-0.704,0.02616,no
98,-0.703,0.02567,no
99,-0.702,0.02519,no
100,-0.701,0.02471,no
101,-0.7,0.02425,no
102,-0.699,0.02379,no
103,-0.698,0.02334,no
104,-0.697,0.0229,no
105,-0.696,0.02247,no
106,-0.695,0.02204,no
107,-0.694,0.02162,no
108,-0.693,0.02121,no
109,-0.692,0.02081,no
110,-0.691,0.02042,no
111,-0.69,0.02003,no
112,-0.689,0.01965,no
113,-0.688,0.01928,no
114,-0.687,0.01891,no
115,-0.686,0.01855,no
116,-0.685,0.0182,no
117,-0.684,0.01785,no
118,-0.683,0.01751,no
119,-0.682,0.01718,no
120,-0.681,0.01685,no
121,-0.68,0.01653,no
122,-0.679,0.01621,no
123,-0.678,0.0159,no
124,-0.677,0.01559,no
125,-0.676,0.0153,no
126,-0.675,0.015,no
127,-0.674,0.01471,no
128,-0.673,0.01443,no
129,-0.672,0.01415,no
130,-0.671,0.01388,no
131,-0.67,0.01361,no
132,-0.669,0.01335,no
133,-0.668,0.0131,no
134,-0.667,0.01284,no
135,-0.666,0.01259,no
136,-0.665,0.01235,no
137,-0.664,0.01211,no
138,-0.663,0.01188,no
139,-0.662,0.01165,no
140,-0.661,0.01142,no
141,-0.66,0.0112,no
142,-0.659,0.01098,no
143,-0.658,0.01077,no
144,-0.657,0.01056,no
145,-0.656,0.01035,no
146,-0.655,0.01015,no
147,-0.654,0.009954,no
148,-0.653,0.009759,no
149,-0.652,0.009569,no
150,-0.651,0.009381,no
151,-0.65,0.009198,no
152,-0.649,0.009018,no
153,-0.648,0.008841,no
154,-0.647,0.008667,no
155,-0.646,0.008497,no
156,-0.645,0.00833,no
157,-0.644,0.008166,no
158,-0.643,0.008005,no
159,-0.642,0.007847,no
160,-0.641,0.007692,no
161,-0.64,0.00754,no
162,-0.639,0.007391,no
163,-0.638,0.007245,no
164,-0.637,0.007101,no
165,-0.636,0.00696,no
166,-0.635,0.006822,no
167,-0.634,0.006687,no
168,-0.633,0.006554,no
169,-0.632,0.006423,no
170,-0.631,0.006295,no
171,-0.63,0.006169,no
172,-0.629,0.006046,no
173,-0.628,0.005925,no
174,-0.627,0.005807,no
175,-0.626,0.005691,no
176,-0.625,0.005576,no
177,-0.624,0.005464,no
178,-0.623,0.005355,no
179,-0.622,0.005247,no
180,-0.621,0.005141,no
181,-0.62,0.005038,no
182,-0.619,0.004936,no
183,-0.618,0.004836,no
184,-0.617,0.004739,no
185,-0.616,0.004643,no
186,-0.615,0.004549,no
187,-0.614,0.004456,no
188,-0.613,0.004366,no
189,-0.612,0.004277,no
190,-0.611,0.00419,no
191,-0.61,0.004105,no
192,-0.609,0.004021,no
193,-0.608,0.003939,no
194,-0.607,0.003858,no
195,-0.606,0.003779,no
196,-0.605,0.003702,no
197,-0.604,0.003626,no
198,-0.603,0.003551,no
199,-0.602,0.003478,no
200,-0.601,0.003407,no
201,-0.6,0.003337,no
202,-0.599,0.003268,no
203,-0.598,0.0032,no
204,-0.597,0.003134,no
205,-0.596,0.003069,no
206,-0.595,0.003006,no
207,-0.594,0.002943,no
208,-0.593,0.002882,no
209,-0.592,0.002822,no
210,-0.591,0.002763,no
211,-0.59,0.002706,no
212,-0.589,0.002649,no
213,-0.588,0.002594,no
214,-0.587,0.00254,no
215,-0.586,0.002486,no
216,-0.585,0.002434,no
217,-0.584,0.002383,no
218,-0.583,0.002333,no
219,-0.582,0.002284,no
220,-0.581,0.002236,no
221,-0.58,0.002189,no
222,-0.579,0.002142,no
223,-0.578,0.002097,no
224,-0.577,0.002053,no
225,-0.576,0.002009,no
226,-0.575,0.001966,no
227,-0.574,0.001925,no
228,-0.573,0.001884,no
229,-0.572,0.001843,no
230,-0.571,0.001804,no
231,-0.57,0.001765,no
232,-0.569,0.001728,no
233,-0.568,0.001691,no
234,-0.567,0.001654,no
235,-0.566,0.001619,no
236,-0.565,0.001584,no
237,-0.564,0.00155,no
238,-0.563,0.001516,no
239,-0.562,0.001484,no
240,-0.561,0.001452,no
241,-0.56,0.00142,no
242,-0.559,0.001389,no
243,-0.558,0.001359,no
244,-0.557,0.00133,no
245,-0.556,0.001301,no
246,-0.555,0.001272,no
247,-0.554,0.001244,no
248,-0.553,0.001217,no
249,-0.552,0.001191,no
250,-0.551,0.001164,no
251,-0.55,0.001139,no
252,-0.549,0.001114,no
253,-0.548,0.001089,no
254,-0.547,0.001065,no
255,-0.546,0.001042,no
256,-0.545,0.001019,no
257,-0.544,0.0009962,no
258,-0.543,0.0009741,no
259,-0.542,0.0009524,no
260,-0.541,0.0009312,no
261,-0.54,0.0009105,no
262,-0.539,0.0008902,no
263,-0.538,0.0008703,no
264,-0.537,0.0008508,no
265,-0.536,0.0008318,no
266,-0.535,0.0008131,no
267,-0.534,0.0007948,no
268,-0.533,0.0007769,no
269,-0.532,0.0007594,no
270,-0.531,0.0007423,no
271,-0.53,0.0007255,no
272,-0.529,0.0007091,no
273,-0.528,0.000693,no
274,-0.527,0.0006773,no
275,-0.526,0.0006619,no
276,-0.525,0.0006468,no
277,-0.524,0.000632,no
278,-0.523,0.0006176,no
279,-0.522,0.0006035,no
280,-0.521,0.0005896,no
281,-0.52,0.0005761,no
282,-0.519,0.0005629,no
283,-0.518,0.0005499,no
284,-0.517,0.0005372,no
285,-0.516,0.0005248,no
286,-0.515,0.0005127,no
287,-0.514,0.0005008,no
288,-0.513,0.0004892,no
289,-0.512,0.0004778,no
290,-0.511,0.0004667,no
291,-0.51,0.0004558,no
292,-0.509,0.0004452,no
293,-0.508,0.0004348,no
294,-0.507,0.0004246,no
295,-0.506,0.0004146,no
296,-0.505,0.0004049,no
297,-0.504,0.0003953,no
298,-0.503,0.000386,no
299,-0.502,0.0003769,no
300,-0.501,0.000368,no
301,-0.5,0.0003593,no
302,-0.499,0.0003507,no
303,-0.498,0.0003424,no
304,-0.497,0.0003342,no
305,-0.496,0.0003263,no
306,-0.495,0.0003185,no
307,-0.494,0.0003109,no
308,-0.493,0.0003034,no
309,-0.492,0.0002961,no
310,-0.491,0.000289,no
311,-0.49,0.000282,no
312,-0.489,0.0002752,no
313,-0.488,0.0002686,no
314,-0.487,0.0002621,no
315,-0.486,0.0002557,no
316,-0.485,0.0002495,no
317,-0.484,0.0002434,no
318,-0.483,0.0002375,no
319,-0.482,0.0002317,no
320,-0.481,0.000226,no
321,-0.48,0.0002205,no
322,-0.479,0.0002151,no
323,-0.478,0.0002098,no
324,-0.477,0.0002046,no
325,-0.476,0.0001995,no
326,-0.475,0.0001946,no
327,-0.474,0.0001898,no
328,-0.473,0.0001851,no
329,-0.472,0.0001805,no
330,-0.471,0.000176,no
331,-0.47,0.0001716,no
