index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,1.242,no
2,1.201,1.253,no
3,1.202,1.264,no
4,1.203,1.275,no
5,1.204,1.286,no
6,1.205,1.298,no
7,1.206,1.309,no
8,1.207,1.32,no
9,1.208,1.332,no
10,1.209,1.343,no
11,1.21,1.355,no
12,1.211,1.367,no
13,1.212,1.379,no
14,1.213,1.391,no
15,1.214,1.403,no
16,1.215,1.415,no
17,1.216,1.427,no
18,1.217,1.439,no
19,1.218,1.452,no
20,1.219,1.464,no
21,1.22,1.477,no
22,1.221,1.489,no
23,1.222,1.502,no
24,1.223,1.515,no
25,1.224,1.528,no
26,1.225,1.541,no
27,1.226,1.554,no
28,1.227,1.568,no
29,1.228,1.581,no
30,1.229,1.595,no
31,1.23,1.608,no
32,1.231,1.622,no
33,1.232,1.636,no
34,1.233,1.65,no
35,1.234,1.664,no
36,1.235,1.678,no
37,1.236,1.692,no
38,1.237,1.706,no
39,1.238,1.721,no
40,1.239,1.736,no
41,1.24,1.75,no
42,1.241,1.765,no
43,1.242,1.78,no
44,1.243,1.795,no
45,1.244,1.81,no
46,1.245,1.825,no
47,1.246,1.841,no
48,1.247,1.856,no
49,1.248,1.872,no
50,1.249,1.888,no
51,1.25,1.903,no
52,1.251,1.919,no
53,1.252,1.935,no
54,1.253,1.952,no
55,1.254,1.968,no
56,1.255,1.984,no
57,1.256,2.001,no
58,1.257,2.018,no
59,1.258,2.035,no
60,1.259,2.052,no
61,1.26,2.069,no
62,1.261,2.086,no
63,1.262,2.103,no
64,1.263,2.121,no
65,1.264,2.138,no
66,1.265,2.156,no
67,1.266,2.174,no
68,1.267,2.192,no
69,1.268,2.21,no
70,1.269,2.228,no
71,1.27,2.247,no
72,1.271,2.265,no
73,1.272,2.284,no
74,1.273,2.303,no
75,1.274,2.322,no
76,1.275,2.341,no
77,1.276,2.36,no
78,1.277,2.379,no
79,1.278,2.399,no
80,1.279,2.418,no
81,1.28,2.438,no
82,1.281,2.458,no
83,1.282,2.478,no
84,1.283,2.499,no
85,1.284,2.519,no
86,1.285,2.54,no
87,1.286,2.56,no
88,1.287,2.581,no
89,1.288,2.602,no
90,1.289,2.623,no
91,1.29,2.645,no
92,1.291,2.666,no
93,1.292,2.688,no
94,1.293,2.709,no
95,1.294,2.731,no
96,1.295,2.754,no
97,1.296,2.776,no
98,1.297,2.798,no
99,1.298,2.821,no
100,1.299,2.844,no
101,1.3,2.867,no
102,1.301,2.89,no
103,1.302,2.913,no
104,1.303,2.936,no
105,1.304,2.96,no
106,1.305,2.984,no
107,1.306,3.008,no
108,1.307,3.032,no
109,1.308,3.056,no
110,1.309,3.08,no
111,1.31,3.105,no
112,1.311,3.13,no
113,1.312,3.155,no
114,1.313,3.18,no
115,1.314,3.205,no
116,1.315,3.231,no
117,1.316,3.257,no
118,1.317,3.283,no
119,1.318,3.309,no
120,1.319,3.335,no
121,1.32,3.361,no
122,1.321,3.388,no
123,1.322,3.415,no
124,1.323,3.442,no
125,1.324,3.469,no
126,1.325,3.497,no
127,1.326,3.524,no
128,1.327,3.552,no
129,1.328,3.58,no
130,1.329,3.608,no
131,1.33,3.637,no
132,1.331,3.665,no
133,1.332,3.694,no
134,1.333,3.723,no
