index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.9,1.76,no
2,-0.9011458298,1.796,no
3,-0.9022785303,1.833,no
4,-0.903398252,1.87,no
5,-0.9045051436,1.908,no
6,-0.9055993521,1.947,no
7,-0.9066810228,1.986,no
8,-0.9077502995,2.025,no
9,-0.908807324,2.066,no
10,-0.9098522369,2.106,no
11,-0.9108851768,2.148,no
12,-0.911906281,2.19,no
13,-0.912915685,2.232,no
14,-0.913913523,2.276,no
15,-0.9148999275,2.319,no
16,-0.9158750295,2.364,no
17,-0.9168389585,2.409,no
18,-0.9177918424,2.455,no
19,-0.918733808,2.501,no
20,-0.9196649802,2.548,no
21,-0.9205854828,2.596,no
22,-0.921495438,2.644,no
23,-0.9223949666,2.693,no
24,-0.9232841882,2.743,no
25,-0.9241632209,2.793,no
26,-0.9250321813,2.844,no
27,-0.9258911848,2.896,no
28,-0.9267403457,2.948,no
29,-0.9275797767,3.001,no
30,-0.9284095891,3.055,no
31,-0.9292298934,3.11,no
32,-0.9300407983,3.165,no
33,-0.9308424117,3.221,no
34,-0.93163484,3.278,no
35,-0.9324181883,3.335,no
36,-0.9331925608,3.394,no
37,-0.9339580604,3.453,no
38,-0.9347147886,3.513,no
39,-0.935462846,3.573,no
40,-0.9362023319,3.635,no
41,-0.9369333446,3.697,no
42,-0.9376559811,3.76,no
43,-0.9383703374,3.824,no
44,-0.9390765085,3.889,no
45,-0.939774588,3.954,no
46,-0.9404646687,4.021,no
47,-0.9411468422,4.088,no
48,-0.9418211993,4.156,no
49,-0.9424878293,4.225,no
50,-0.9431468209,4.295,no
51,-0.9437982615,4.366,no
52,-0.9444422378,4.438,no
53,-0.9450788352,4.511,no
54,-0.9457081382,4.584,no
55,-0.9463302305,4.659,no
56,-0.9469451947,4.734,no
57,-0.9475531125,4.811,no
58,-0.9481540646,4.888,no
59,-0.9487481307,4.967,no
60,-0.9493353899,5.046,no
61,-0.9499159201,5.126,no
62,-0.9504897984,5.208,no
63,-0.951057101,5.29,no
64,-0.9516179034,5.374,no
65,-0.9521722798,5.458,no
66,-0.9527203041,5.544,no
67,-0.9532620489,5.63,no
68,-0.9537975863,5.718,no
69,-0.9543269873,5.807,no
70,-0.9548503223,5.897,no
71,-0.9553676607,5.988,no
72,-0.9558790714,6.08,no
73,-0.9563846221,6.173,no
74,-0.9568843801,6.267,no
75,-0.9573784117,6.363,no
76,-0.9578667826,6.46,no
77,-0.9583495575,6.558,no
78,-0.9588268007,6.657,no
79,-0.9592985755,6.757,no
80,-0.9597649445,6.859,no
81,-0.9602259698,6.962,no
82,-0.9606817124,7.066,no
