index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
1,-0.9,0.1,0.1838,0.004302,-1.6937030738,-5.4486793726
2,-0.9011458298,0.0988541702,0.1879,0.004495,-1.6719435557,-5.4047428822
3,-0.9022785303,0.0977214697,0.192,0.004696,-1.6503794116,-5.3611210507
4,-0.903398252,0.096601748,0.1961,0.004903,-1.6290081695,-5.3178110209
5,-0.9045051436,0.0954948564,0.2003,0.005119,-1.6078273969,-5.2748099751
6,-0.9055993521,0.0944006479,0.2046,0.005342,-1.5868347004,-5.232115134
7,-0.9066810228,0.0933189772,0.2089,0.005574,-1.5660277245,-5.1897237564
8,-0.9077502995,0.0922497005,0.2132,0.005813,-1.5454041508,-5.147633138
9,-0.908807324,0.091192676,0.2176,0.006061,-1.5249616979,-5.1058406112
10,-0.9098522369,0.0901477631,0.2221,0.006318,-1.5046981199,-5.0643435437
11,-0.9108851768,0.0891148232,0.2266,0.006584,-1.4846112062,-5.0231393384
12,-0.911906281,0.088093719,0.2311,0.006859,-1.4646987808,-4.9822254323
13,-0.912915685,0.087084315,0.2358,0.007143,-1.4449587012,-4.9415992964
14,-0.913913523,0.086086477,0.2404,0.007437,-1.4253888584,-4.9012584342
15,-0.9148999275,0.0851000725,0.2451,0.007741,-1.4059871757,-4.861200382
16,-0.9158750295,0.0841249705,0.2499,0.008055,-1.3867516085,-4.8214227074
17,-0.9168389585,0.0831610415,0.2547,0.00838,-1.3676801435,-4.7819230094
18,-0.9177918424,0.0822081576,0.2596,0.008715,-1.3487707979,-4.7426989174
19,-0.918733808,0.081266192,0.2645,0.009061,-1.3300216193,-4.7037480909
20,-0.9196649802,0.0803350198,0.2694,0.009419,-1.3114306847,-4.6650682185
21,-0.9205854828,0.0794145172,0.2744,0.009787,-1.2929961004,-4.626657018
22,-0.921495438,0.078504562,0.2795,0.01017,-1.274716001,-4.5885122351
23,-0.9223949666,0.0776050334,0.2846,0.01056,-1.256588549,-4.5506316435
24,-0.9232841882,0.0767158118,0.2898,0.01097,-1.2386119345,-4.5130130441
25,-0.9241632209,0.0758367791,0.295,0.01138,-1.2207843745,-4.4756542645
26,-0.9250321813,0.0749678187,0.3003,0.01181,-1.2031041125,-4.4385531585
27,-0.9258911848,0.0741088152,0.3056,0.01226,-1.1855694179,-4.4017076059
28,-0.9267403457,0.0732596543,0.3109,0.01271,-1.1681785858,-4.3651155116
29,-0.9275797767,0.0724202233,0.3163,0.01318,-1.150929936,-4.3287748051
30,-0.9284095891,0.0715904109,0.3218,0.01367,-1.1338218133,-4.2926834408
31,-0.9292298934,0.0707701066,0.3273,0.01417,-1.1168525863,-4.2568393965
32,-0.9300407983,0.0699592017,0.3329,0.01468,-1.1000206477,-4.2212406739
33,-0.9308424117,0.0691575883,0.3385,0.01521,-1.0833244131,-4.1858852975
34,-0.93163484,0.06836516,0.3441,0.01575,-1.0667623214,-4.1507713147
35,-0.9324181883,0.0675818117,0.3498,0.01631,-1.0503328338,-4.1158967949
36,-0.9331925608,0.0668074392,0.3556,0.01689,-1.0340344334,-4.0812598295
37,-0.9339580604,0.0660419396,0.3614,0.01748,-1.0178656255,-4.0468585314
38,-0.9347147886,0.0652852114,0.3672,0.01808,-1.0018249362,-4.0126910345
39,-0.935462846,0.064537154,0.3731,0.01871,-0.9859109129,-3.9787554935
40,-0.9362023319,0.0637976681,0.379,0.01935,-0.9701221235,-3.9450500833
41,-0.9369333446,0.0630666554,0.385,0.02001,-0.9544571562,-3.911572999
42,-0.9376559811,0.0623440189,0.3911,0.02069,-0.938914619,-3.8783224551
43,-0.9383703374,0.0616296626,0.3971,0.02138,-0.9234931396,-3.8452966857
44,-0.9390765085,0.0609234915,0.4033,0.02209,-0.9081913647,-3.8124939437
45,-0.939774588,0.060225412,0.4094,0.02282,-0.8930079601,-3.7799125005
46,-0.9404646687,0.0595353313,0.4156,0.02358,-0.8779416101,-3.7475506461
47,-0.9411468422,0.0588531578,0.4219,0.02435,-0.8629910173,-3.7154066883
48,-0.9418211993,0.0581788007,0.4282,0.02514,-0.8481549022,-3.6834789528
49,-0.9424878293,0.0575121707,0.4346,0.02595,-0.833432003,-3.6517657824
50,-0.9431468209,0.0568531791,0.441,0.02678,-0.8188210752,-3.6202655372
51,-0.9437982615,0.0562017385,0.4474,0.02763,-0.8043208915,-3.5889765942
52,-0.9444422378,0.0555577622,0.4539,0.0285,-0.7899302411,-3.5578973468
53,-0.9450788352,0.0549211648,0.4604,0.02939,-0.7756479302,-3.5270262045
54,-0.9457081382,0.0542918618,0.467,0.03031,-0.7614727807,-3.4963615931
55,-0.9463302305,0.0536697695,0.4736,0.03124,-0.7474036308,-3.4659019539
56,-0.9469451947,0.0530548053,0.4803,0.0322,-0.7334393344,-3.4356457438
57,-0.9475531125,0.0524468875,0.487,0.03319,-0.7195787608,-3.4055914347
58,-0.9481540646,0.0518459354,0.4937,0.03419,-0.7058207943,-3.3757375136
59,-0.9487481307,0.0512518693,0.5005,0.03522,-0.6921643346,-3.3460824822
60,-0.9493353899,0.0506646101,0.5073,0.03628,-0.6786082956,-3.3166248566
61,-0.9499159201,0.0500840799,0.5142,0.03735,-0.6651516061,-3.2873631672
62,-0.9504897984,0.0495102016,0.5211,0.03845,-0.651793209,-3.2582959584
63,-0.951057101,0.048942899,0.5281,0.03958,-0.6385320611,-3.2294217883
64,-0.9516179034,0.0483820966,0.5351,0.04073,-0.6253671331,-3.2007392286
65,-0.9521722798,0.0478277202,0.5421,0.04191,-0.6122974093,-3.1722468644
66,-0.9527203041,0.0472796959,0.5492,0.04311,-0.5993218873,-3.1439432939
67,-0.9532620489,0.0467379511,0.5563,0.04434,-0.5864395779,-3.1158271282
68,-0.9537975863,0.0462024137,0.5635,0.0456,-0.5736495048,-3.0878969911
69,-0.9543269873,0.0456730127,0.5707,0.04688,-0.5609507044,-3.0601515189
70,-0.9548503223,0.0451496777,0.5779,0.04819,-0.5483422257,-3.0325893603
71,-0.9553676607,0.0446323393,0.5852,0.04953,-0.53582313,-3.0052091762
72,-0.9558790714,0.0441209286,0.5925,0.05089,-0.5233924909,-2.9780096393
73,-0.9563846221,0.0436153779,0.5999,0.05229,-0.5110493937,-2.9509894342
74,-0.9568843801,0.0431156199,0.6073,0.05371,-0.4987929357,-2.9241472569
75,-0.9573784117,0.0426215883,0.6147,0.05516,-0.4866222256,-2.897481815
76,-0.9578667826,0.0421332174,0.6222,0.05664,-0.4745363837,-2.8709918274
77,-0.9583495575,0.0416504425,0.6297,0.05815,-0.4625345415,-2.8446760238
78,-0.9588268007,0.0411731993,0.6372,0.05969,-0.4506158414,-2.818533145
79,-0.9592985755,0.0407014245,0.6448,0.06126,-0.4387794369,-2.7925619426
80,-0.9597649445,0.0402350555,0.6524,0.06287,-0.4270244921,-2.7667611787
81,-0.9602259698,0.0397740302,0.6601,0.0645,-0.4153501818,-2.7411296258
82,-0.9606817124,0.0393182876,0.6678,0.06616,-0.4037556911,-2.7156660668
83,-0.9611322331,0.0388677669,0.6755,0.06786,-0.3922402155,-2.6903692947
84,-0.9615775915,0.0384224085,0.6833,0.06958,-0.3808029603,-2.6652381124
85,-0.9620178469,0.0379821531,0.6911,0.07134,-0.3694431411,-2.6402713329
86,-0.9624530578,0.0375469422,0.699,0.07313,-0.3581599831,-2.6154677786
87,-0.9628832818,0.0371167182,0.7068,0.07496,-0.3469527211,-2.5908262817
88,-0.9633085762,0.0366914238,0.7148,0.07682,-0.3358205997,-2.5663456838
89,-0.9637289975,0.0362710025,0.7227,0.07871,-0.3247628725,-2.5420248358
90,-0.9641446014,0.0358553986,0.7307,0.08063,-0.3137788026,-2.5178625977
91,-0.9645554433,0.0354445567,0.7387,0.08259,-0.302867662,-2.4938578387
92,-0.9649615775,0.0350384225,0.7467,0.08458,-0.2920287319,-2.470009437
93,-0.9653630582,0.0346369418,0.7548,0.08661,-0.2812613021,-2.4463162795
94,-0.9657599386,0.0342400614,0.7629,0.08868,-0.2705646711,-2.4227772617
95,-0.9661522714,0.0338477286,0.7711,0.09077,-0.2599381462,-2.399391288
96,-0.9665401088,0.0334598912,0.7793,0.09291,-0.249381043,-2.3761572709
97,-0.9669235022,0.0330764978,0.7875,0.09508,-0.2388926853,-2.3530741317
98,-0.9673025026,0.0326974974,0.7957,0.09728,-0.2284724054,-2.3301407997
99,-0.9676771602,0.0323228398,0.804,0.09952,-0.2181195434,-2.3073562123
100,-0.9680475249,0.0319524751,0.8123,0.1018,-0.2078334475,-2.2847193152
101,-0.9684136459,0.0315863541,0.8207,0.1041,-0.1976134738,-2.2622290619
102,-0.9687755718,0.0312244282,0.8291,0.1065,-0.187458986,-2.2398844137
103,-0.9691333506,0.0308666494,0.8375,0.1089,-0.1773693556,-2.2176843398
104,-0.9694870298,0.0305129702,0.8459,0.1113,-0.1673439614,-2.1956278171
105,-0.9698366565,0.0301633435,0.8544,0.1138,-0.15738219,-2.1737138299
106,-0.9701822771,0.0298177229,0.8629,0.1163,-0.1474834348,-2.1519413702
107,-0.9705239374,0.0294760626,0.8714,0.1188,-0.1376470969,-2.1303094372
108,-0.970861683,0.029138317,0.88,0.1214,-0.1278725841,-2.1088170375
109,-0.9711955585,0.0288044415,0.8886,0.124,-0.1181593114,-2.0874631851
110,-0.9715256083,0.0284743917,0.8972,0.1267,-0.1085067008,-2.0662469007
111,-0.9718518764,0.0281481236,0.9058,0.1294,-0.098914181,-2.0451672127
112,-0.972174406,0.027825594,0.9145,0.1321,-0.0893811872,-2.0242231559
113,-0.9724932399,0.0275067601,0.9232,0.1349,-0.0799071617,-2.0034137723
114,-0.9728084206,0.0271915794,0.9319,0.1377,-0.0704915528,-1.9827381108
115,-0.9731199898,0.0268800102,0.9407,0.1405,-0.0611338157,-1.9621952269
116,-0.9734279889,0.0265720111,0.9495,0.1434,-0.0518334117,-1.9417841828
117,-0.973732459,0.026267541,0.9583,0.1464,-0.0425898084,-1.9215040475
118,-0.9740334403,0.0259665597,0.9671,0.1494,-0.0334024795,-1.9013538963
119,-0.9743309728,0.0256690272,0.976,0.1524,-0.024270905,-1.8813328112
120,-0.9746250962,0.0253749038,0.9849,0.1554,-0.0151945707,-1.8614398806
121,-0.9749158494,0.0250841506,0.9938,0.1586,-0.0061729685,-1.841674199
122,-0.9752032711,0.0247967289,1.003,0.1617,0.0027944041,-1.8220348675
123,-0.9754873994,0.0245126006,1.012,0.1649,0.0117080436,-1.8025209933
124,-0.9757682721,0.0242317279,1.021,0.1681,0.0205684409,-1.7831316898
125,-0.9760459264,0.0239540736,1.03,0.1714,0.0293760814,-1.7638660764
126,-0.9763203993,0.0236796007,1.039,0.1747,0.0381314447,-1.7447232788
127,-0.9765917272,0.0234082728,1.048,0.178,0.0468350052,-1.7257024284
128,-0.9768599462,0.0231400538,1.057,0.1814,0.0554872319,-1.7068026627
129,-0.9771250918,0.0228749082,1.066,0.1849,0.0640885882,-1.6880231251
130,-0.9773871993,0.0226128007,1.075,0.1884,0.0726395327,-1.6693629647
131,-0.9776463035,0.0223536965,1.085,0.1919,0.0811405184,-1.6508213366
132,-0.9779024389,0.0220975611,1.094,0.1955,0.0895919936,-1.6323974015
133,-0.9781556393,0.0218443607,1.103,0.1991,0.0979944012,-1.6140903258
134,-0.9784059385,0.0215940615,1.112,0.2027,0.1063481794,-1.5958992814
135,-0.9786533697,0.0213466303,1.121,0.2064,0.1146537613,-1.577823446
136,-0.9788979657,0.0211020343,1.131,0.2102,0.1229115754,-1.5598620027
137,-0.9791397591,0.0208602409,1.14,0.2139,0.1311220452,-1.5420141402
138,-0.979378782,0.020621218,1.149,0.2178,0.1392855896,-1.5242790525
139,-0.979615066,0.020384934,1.159,0.2216,0.1474026228,-1.5066559391
140,-0.9798486427,0.0201513573,1.168,0.2256,0.1554735545,-1.4891440049
141,-0.9800795429,0.0199204571,1.178,0.2295,0.1634987899,-1.47174246
142,-0.9803077974,0.0196922026,1.187,0.2335,0.1714787295,-1.4544505198
143,-0.9805334366,0.0194665634,1.197,0.2376,0.1794137696,-1.4372674051
144,-0.9807564902,0.0192435098,1.206,0.2417,0.1873043021,-1.4201923416
145,-0.9809769881,0.0190230119,1.215,0.2458,0.1951507147,-1.4032245605
146,-0.9811949594,0.0188050406,1.225,0.25,0.2029533906,-1.3863632979
147,-0.9814104332,0.0185895668,1.235,0.2542,0.2107127091,-1.3696077949
148,-0.981623438,0.018376562,1.244,0.2585,0.2184290452,-1.3529572979
149,-0.9818340021,0.0181659979,1.254,0.2628,0.2261027699,-1.3364110582
150,-0.9820421535,0.0179578465,1.263,0.2671,0.2337342502,-1.3199683319
151,-0.9822479199,0.0177520801,1.273,0.2715,0.2413238489,-1.3036283803
152,-0.9824513285,0.0175486715,1.283,0.276,0.2488719252,-1.2873904695
153,-0.9826524064,0.0173475936,1.292,0.2805,0.2563788342,-1.2712538705
154,-0.9828511803,0.0171488197,1.302,0.285,0.2638449273,-1.2552178589
155,-0.9830476766,0.0169523234,1.312,0.2896,0.2712705521,-1.2392817156
