index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.006744,yes
2,-0.799,0.006615,no
3,-0.798,0.006488,no
4,-0.797,0.006364,no
5,-0.796,0.006243,no
6,-0.795,0.006124,no
7,-0.794,0.006007,no
8,-0.793,0.005893,no
9,-0.792,0.00578,no
10,-0.791,0.005671,no
11,-0.79,0.005563,no
12,-0.789,0.005458,no
13,-0.788,0.005354,no
14,-0.787,0.005253,no
15,-0.786,0.005154,no
16,-0.785,0.005056,no
17,-0.784,0.004961,no
18,-0.783,0.004867,no
19,-0.782,0.004776,no
20,-0.781,0.004686,no
21,-0.78,0.004598,no
22,-0.779,0.004511,no
23,-0.778,0.004427,no
24,-0.777,0.004344,no
25,-0.776,0.004262,no
26,-0.775,0.004183,no
27,-0.774,0.004105,no
28,-0.773,0.004028,no
29,-0.772,0.003953,no
30,-0.771,0.003879,no
31,-0.77,0.003807,no
32,-0.769,0.003736,no
33,-0.768,0.003666,no
34,-0.767,0.003598,no
35,-0.766,0.003531,no
36,-0.765,0.003466,no
37,-0.764,0.003401,no
38,-0.763,0.003338,no
39,-0.762,0.003277,no
40,-0.761,0.003216,no
41,-0.76,0.003157,no
42,-0.759,0.003098,no
43,-0.758,0.003041,no
44,-0.757,0.002985,no
45,-0.756,0.00293,no
46,-0.755,0.002876,no
47,-0.754,0.002823,no
48,-0.753,0.002771,no
49,-0.752,0.00272,no
50,-0.751,0.00267,no
51,-0.75,0.002621,no
52,-0.749,0.002573,no
53,-0.748,0.002526,no
54,-0.747,0.002479,no
55,-0.746,0.002434,no
56,-0.745,0.002389,no
57,-0.744,0.002346,no
58,-0.743,0.002303,no
59,-0.742,0.00226,no
60,-0.741,0.002219,no
61,-0.74,0.002179,no
62,-0.739,0.002139,no
63,-0.738,0.0021,no
64,-0.737,0.002062,no
65,-0.736,0.002024,no
66,-0.735,0.001987,no
67,-0.734,0.001951,no
68,-0.733,0.001915,no
69,-0.732,0.001881,no
70,-0.731,0.001846,no
71,-0.73,0.001813,no
72,-0.729,0.00178,no
73,-0.728,0.001747,no
74,-0.727,0.001716,no
75,-0.726,0.001685,no
76,-0.725,0.001654,no
77,-0.724,0.001624,no
78,-0.723,0.001595,no
79,-0.722,0.001566,no
80,-0.721,0.001537,no
81,-0.72,0.00151,no
82,-0.719,0.001482,no
83,-0.718,0.001455,no
84,-0.717,0.001429,no
85,-0.716,0.001403,no
86,-0.715,0.001378,no
87,-0.714,0.001353,no
88,-0.713,0.001329,no
89,-0.712,0.001305,no
90,-0.711,0.001281,no
91,-0.71,0.001258,no
92,-0.709,0.001235,no
93,-0.708,0.001213,no
94,-0.707,0.001191,no
95,-0.706,0.00117,no
96,-0.705,0.001148,no
97,-0.704,0.001128,no
98,-0.703,0.001107,no
99,-0.702,0.001088,no
100,-0.701,0.001068,no
101,-0.7,0.001049,no
102,-0.699,0.00103,no
103,-0.698,0.001011,no
104,-0.697,0.0009931,no
105,-0.696,0.0009752,no
106,-0.695,0.0009577,no
107,-0.694,0.0009405,no
108,-0.693,0.0009235,no
109,-0.692,0.0009069,no
110,-0.691,0.0008906,no
111,-0.69,0.0008746,no
112,-0.689,0.0008589,no
113,-0.688,0.0008435,no
114,-0.687,0.0008283,no
115,-0.686,0.0008134,no
116,-0.685,0.0007988,no
117,-0.684,0.0007845,no
118,-0.683,0.0007704,no
119,-0.682,0.0007566,no
120,-0.681,0.000743,no
121,-0.68,0.0007296,no
122,-0.679,0.0007165,no
123,-0.678,0.0007037,no
124,-0.677,0.000691,no
125,-0.676,0.0006786,no
126,-0.675,0.0006664,no
127,-0.674,0.0006545,no
128,-0.673,0.0006427,no
129,-0.672,0.0006312,no
130,-0.671,0.0006199,no
