index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,6.146e-05,no
2,1.201,6.17e-05,no
3,1.202,6.194e-05,no
4,1.203,6.218e-05,no
5,1.204,6.243e-05,no
6,1.205,6.267e-05,no
7,1.206,6.292e-05,no
8,1.207,6.316e-05,no
9,1.208,6.341e-05,no
10,1.209,6.366e-05,no
11,1.21,6.39e-05,no
12,1.211,6.415e-05,no
13,1.212,6.44e-05,no
14,1.213,6.465e-05,no
15,1.214,6.49e-05,no
16,1.215,6.515e-05,no
17,1.216,6.54e-05,no
18,1.217,6.566e-05,no
19,1.218,6.591e-05,no
20,1.219,6.617e-05,no
21,1.22,6.642e-05,no
22,1.221,6.668e-05,no
23,1.222,6.693e-05,no
24,1.223,6.719e-05,no
25,1.224,6.745e-05,no
26,1.225,6.771e-05,no
27,1.226,6.796e-05,no
28,1.227,6.822e-05,no
29,1.228,6.849e-05,no
30,1.229,6.875e-05,no
31,1.23,6.901e-05,no
32,1.231,6.927e-05,no
33,1.232,6.954e-05,no
34,1.233,6.98e-05,no
35,1.234,7.006e-05,no
36,1.235,7.033e-05,no
37,1.236,7.06e-05,no
38,1.237,7.086e-05,no
39,1.238,7.113e-05,no
40,1.239,7.14e-05,no
41,1.24,7.167e-05,no
42,1.241,7.194e-05,no
43,1.242,7.221e-05,no
44,1.243,7.248e-05,no
45,1.244,7.276e-05,no
46,1.245,7.303e-05,no
47,1.246,7.33e-05,no
48,1.247,7.358e-05,no
49,1.248,7.385e-05,no
50,1.249,7.413e-05,no
51,1.25,7.441e-05,no
52,1.251,7.468e-05,no
53,1.252,7.496e-05,no
54,1.253,7.524e-05,no
55,1.254,7.552e-05,no
56,1.255,7.58e-05,no
57,1.256,7.608e-05,no
58,1.257,7.636e-05,no
59,1.258,7.665e-05,no
60,1.259,7.693e-05,no
61,1.26,7.722e-05,no
62,1.261,7.75e-05,no
63,1.262,7.779e-05,no
64,1.263,7.807e-05,no
65,1.264,7.836e-05,no
66,1.265,7.865e-05,no
67,1.266,7.894e-05,no
68,1.267,7.923e-05,no
69,1.268,7.952e-05,no
70,1.269,7.981e-05,no
71,1.27,8.01e-05,no
72,1.271,8.039e-05,no
73,1.272,8.069e-05,no
74,1.273,8.098e-05,no
75,1.274,8.128e-05,no
76,1.275,8.157e-05,no
77,1.276,8.187e-05,no
78,1.277,8.217e-05,no
79,1.278,8.247e-05,no
80,1.279,8.276e-05,no
81,1.28,8.306e-05,no
82,1.281,8.336e-05,no
83,1.282,8.367e-05,no
84,1.283,8.397e-05,no
85,1.284,8.427e-05,no
86,1.285,8.458e-05,no
87,1.286,8.488e-05,no
88,1.287,8.519e-05,no
89,1.288,8.549e-05,no
