index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.9,0.004302,no
2,-0.9011458298,0.004495,no
3,-0.9022785303,0.004696,no
4,-0.903398252,0.004903,no
5,-0.9045051436,0.005119,no
6,-0.9055993521,0.005342,no
7,-0.9066810228,0.005574,no
8,-0.9077502995,0.005813,no
9,-0.908807324,0.006061,no
10,-0.9098522369,0.006318,no
11,-0.9108851768,0.006584,no
12,-0.911906281,0.006859,no
13,-0.912915685,0.007143,no
14,-0.913913523,0.007437,no
15,-0.9148999275,0.007741,no
16,-0.9158750295,0.008055,no
17,-0.9168389585,0.00838,no
18,-0.9177918424,0.008715,no
19,-0.918733808,0.009061,no
20,-0.9196649802,0.009419,no
21,-0.9205854828,0.009787,no
22,-0.921495438,0.01017,no
23,-0.9223949666,0.01056,no
24,-0.9232841882,0.01097,no
25,-0.9241632209,0.01138,no
26,-0.9250321813,0.01181,no
27,-0.9258911848,0.01226,no
28,-0.9267403457,0.01271,no
29,-0.9275797767,0.01318,no
30,-0.9284095891,0.01367,no
31,-0.9292298934,0.01417,no
32,-0.9300407983,0.01468,no
33,-0.9308424117,0.01521,no
34,-0.93163484,0.01575,no
35,-0.9324181883,0.01631,no
36,-0.9331925608,0.01689,no
37,-0.9339580604,0.01748,no
38,-0.9347147886,0.01808,no
39,-0.935462846,0.01871,no
40,-0.9362023319,0.01935,no
41,-0.9369333446,0.02001,no
42,-0.9376559811,0.02069,no
43,-0.9383703374,0.02138,no
44,-0.9390765085,0.02209,no
45,-0.939774588,0.02282,no
46,-0.9404646687,0.02358,no
47,-0.9411468422,0.02435,no
48,-0.9418211993,0.02514,no
49,-0.9424878293,0.02595,no
50,-0.9431468209,0.02678,no
51,-0.9437982615,0.02763,no
52,-0.9444422378,0.0285,no
53,-0.9450788352,0.02939,no
54,-0.9457081382,0.03031,no
55,-0.9463302305,0.03124,no
56,-0.9469451947,0.0322,no
57,-0.9475531125,0.03319,no
58,-0.9481540646,0.03419,no
59,-0.9487481307,0.03522,no
60,-0.9493353899,0.03628,no
61,-0.9499159201,0.03735,no
62,-0.9504897984,0.03845,no
63,-0.951057101,0.03958,no
64,-0.9516179034,0.04073,no
65,-0.9521722798,0.04191,no
66,-0.9527203041,0.04311,no
67,-0.9532620489,0.04434,no
68,-0.9537975863,0.0456,no
69,-0.9543269873,0.04688,no
70,-0.9548503223,0.04819,no
71,-0.9553676607,0.04953,no
72,-0.9558790714,0.05089,no
73,-0.9563846221,0.05229,no
74,-0.9568843801,0.05371,no
75,-0.9573784117,0.05516,no
76,-0.9578667826,0.05664,no
77,-0.9583495575,0.05815,no
78,-0.9588268007,0.05969,no
79,-0.9592985755,0.06126,no
80,-0.9597649445,0.06287,no
81,-0.9602259698,0.0645,no
82,-0.9606817124,0.06616,no
83,-0.9611322331,0.06786,no
84,-0.9615775915,0.06958,no
85,-0.9620178469,0.07134,no
86,-0.9624530578,0.07313,no
87,-0.9628832818,0.07496,no
88,-0.9633085762,0.07682,no
89,-0.9637289975,0.07871,no
90,-0.9641446014,0.08063,no
91,-0.9645554433,0.08259,no
92,-0.9649615775,0.08458,no
93,-0.9653630582,0.08661,no
94,-0.9657599386,0.08868,no
95,-0.9661522714,0.09077,no
96,-0.9665401088,0.09291,no
97,-0.9669235022,0.09508,no
98,-0.9673025026,0.09728,no
99,-0.9676771602,0.09952,no
100,-0.9680475249,0.1018,no
101,-0.9684136459,0.1041,no
102,-0.9687755718,0.1065,no
103,-0.9691333506,0.1089,no
104,-0.9694870298,0.1113,no
105,-0.9698366565,0.1138,no
106,-0.9701822771,0.1163,no
107,-0.9705239374,0.1188,no
108,-0.970861683,0.1214,no
109,-0.9711955585,0.124,no
110,-0.9715256083,0.1267,no
111,-0.9718518764,0.1294,no
112,-0.972174406,0.1321,no
113,-0.9724932399,0.1349,no
114,-0.9728084206,0.1377,no
115,-0.9731199898,0.1405,no
116,-0.9734279889,0.1434,no
117,-0.973732459,0.1464,no
118,-0.9740334403,0.1494,no
119,-0.9743309728,0.1524,no
120,-0.9746250962,0.1554,no
121,-0.9749158494,0.1586,no
122,-0.9752032711,0.1617,no
123,-0.9754873994,0.1649,no
124,-0.9757682721,0.1681,no
125,-0.9760459264,0.1714,no
126,-0.9763203993,0.1747,no
127,-0.9765917272,0.178,no
128,-0.9768599462,0.1814,no
129,-0.9771250918,0.1849,no
130,-0.9773871993,0.1884,no
131,-0.9776463035,0.1919,no
132,-0.9779024389,0.1955,no
133,-0.9781556393,0.1991,no
134,-0.9784059385,0.2027,no
135,-0.9786533697,0.2064,no
136,-0.9788979657,0.2102,no
137,-0.9791397591,0.2139,no
138,-0.979378782,0.2178,no
139,-0.979615066,0.2216,no
140,-0.9798486427,0.2256,no
141,-0.9800795429,0.2295,no
142,-0.9803077974,0.2335,no
143,-0.9805334366,0.2376,no
144,-0.9807564902,0.2417,no
145,-0.9809769881,0.2458,no
146,-0.9811949594,0.25,no
147,-0.9814104332,0.2542,no
148,-0.981623438,0.2585,no
149,-0.9818340021,0.2628,no
150,-0.9820421535,0.2671,no
151,-0.9822479199,0.2715,no
152,-0.9824513285,0.276,no
153,-0.9826524064,0.2805,no
154,-0.9828511803,0.285,no
155,-0.9830476766,0.2896,no
156,-0.9832419214,0.2942,no
157,-0.9834339404,0.2989,no
158,-0.9836237593,0.3036,no
159,-0.9838114031,0.3083,no
160,-0.9839968969,0.3131,no
161,-0.9841802652,0.318,no
162,-0.9843615324,0.3229,no
163,-0.9845407226,0.3278,no
164,-0.9847178596,0.3328,no
165,-0.984892967,0.3378,no
166,-0.9850660678,0.3429,no
167,-0.9852371853,0.348,no
168,-0.985406342,0.3531,no
169,-0.9855735605,0.3583,no
170,-0.9857388629,0.3636,no
171,-0.9859022713,0.3689,no
172,-0.9860638073,0.3742,no
173,-0.9862234923,0.3796,no
174,-0.9863813476,0.385,no
175,-0.9865373942,0.3904,no
176,-0.9866916528,0.3959,no
177,-0.9868441438,0.4015,no
178,-0.9869948875,0.4071,no
179,-0.9871439039,0.4127,no
180,-0.9872912129,0.4184,no
181,-0.987436834,0.4241,no
182,-0.9875807865,0.4299,no
183,-0.9877230895,0.4357,no
184,-0.987863762,0.4415,no
185,-0.9880028226,0.4474,no
186,-0.9881402899,0.4534,no
187,-0.988276182,0.4593,no
188,-0.988410517,0.4653,no
189,-0.9885433127,0.4714,no
190,-0.9886745868,0.4775,no
191,-0.9888043568,0.4836,no
192,-0.9889326398,0.4898,no
193,-0.9890594529,0.4961,no
194,-0.989184813,0.5023,no
195,-0.9893087366,0.5086,no
196,-0.9894312403,0.515,no
197,-0.9895523403,0.5214,no
198,-0.9896720527,0.5278,no
199,-0.9897903934,0.5343,no
200,-0.9899073781,0.5408,no
201,-0.9900230224,0.5473,no
202,-0.9901373415,0.5539,no
203,-0.9902503508,0.5606,no
204,-0.9903620652,0.5672,no
205,-0.9904724995,0.5739,no
206,-0.9905816685,0.5807,no
207,-0.9906895865,0.5875,no
208,-0.990796268,0.5943,no
209,-0.9909017271,0.6012,no
210,-0.9910059778,0.6081,no
211,-0.991109034,0.615,no
212,-0.9912109093,0.622,no
213,-0.9913116174,0.629,no
214,-0.9914111714,0.6361,no
215,-0.9915095848,0.6432,no
216,-0.9916068705,0.6503,no
217,-0.9917030415,0.6575,no
218,-0.9917981105,0.6647,no
219,-0.9918920902,0.6719,no
220,-0.991984993,0.6792,no
221,-0.9920768314,0.6866,no
222,-0.9921676174,0.6939,no
223,-0.9922573632,0.7013,no
224,-0.9923460806,0.7087,no
225,-0.9924337815,0.7162,no
226,-0.9925204775,0.7237,no
227,-0.9926061801,0.7312,no
228,-0.9926909007,0.7388,no
229,-0.9927746505,0.7464,no
230,-0.9928574407,0.754,no
231,-0.9929392823,0.7617,no
232,-0.9930201861,0.7694,no
233,-0.9931001629,0.7772,no
234,-0.9931792233,0.7849,no
235,-0.9932573778,0.7927,no
236,-0.9933346367,0.8006,no
237,-0.9934110104,0.8085,no
238,-0.9934865091,0.8164,no
239,-0.9935611426,0.8243,no
240,-0.9936349209,0.8323,no
241,-0.9937078539,0.8403,no
242,-0.9937799512,0.8483,no
243,-0.9938512223,0.8564,no
244,-0.9939216769,0.8645,no
245,-0.9939913241,0.8726,no
246,-0.9940601733,0.8808,no
247,-0.9941282336,0.889,no
248,-0.9941955141,0.8972,no
249,-0.9942620236,0.9055,no
250,-0.994327771,0.9138,no
251,-0.9943927651,0.9221,no
252,-0.9944570145,0.9304,no
253,-0.9945205277,0.9388,no
254,-0.9945833131,0.9472,no
255,-0.9946453791,0.9557,no
256,-0.9947067339,0.9641,no
257,-0.9947673858,0.9726,no
258,-0.9948273426,0.9812,no
259,-0.9948866125,0.9897,no
260,-0.9949452032,0.9983,no
261,-0.9950031225,1.007,no
262,-0.9950603783,1.016,no
263,-0.9951169779,1.024,no
264,-0.995172929,1.033,no
265,-0.9952282391,1.042,no
266,-0.9952829153,1.05,no
267,-0.9953369651,1.059,no
268,-0.9953903955,1.068,no
269,-0.9954432137,1.077,no
270,-0.9954954267,1.086,no
271,-0.9955470415,1.094,no
272,-0.9955980648,1.103,no
273,-0.9956485035,1.112,no
274,-0.9956983642,1.121,no
275,-0.9957476537,1.13,no
276,-0.9957963783,1.139,no
277,-0.9958445447,1.148,no
278,-0.9958921591,1.157,no
279,-0.995939228,1.166,no
280,-0.9959857575,1.176,no
281,-0.9960317539,1.185,no
282,-0.9960772232,1.194,no
283,-0.9961221716,1.203,no
284,-0.9961666049,1.212,no
285,-0.9962105291,1.221,no
286,-0.99625395,1.231,no
287,-0.9962968733,1.24,no
288,-0.9963393049,1.249,no
289,-0.9963812502,1.259,no
290,-0.9964227149,1.268,no
291,-0.9964637045,1.277,no
292,-0.9965042244,1.287,no
293,-0.9965442801,1.296,no
294,-0.9965838767,1.305,no
295,-0.9966230197,1.315,no
296,-0.9966617141,1.324,no
297,-0.9966999652,1.334,no
298,-0.996737778,1.343,no
299,-0.9967751575,1.353,no
300,-0.9968121087,1.362,no
301,-0.9968486365,1.372,no
302,-0.9968847458,1.382,no
303,-0.9969204413,1.391,no
304,-0.9969557278,1.401,no
305,-0.99699061,1.41,no
306,-0.9970250925,1.42,no
307,-0.9970591798,1.43,no
308,-0.9970928766,1.439,no
309,-0.9971261873,1.449,no
310,-0.9971591163,1.459,no
311,-0.997191668,1.469,no
312,-0.9972238467,1.478,no
313,-0.9972556567,1.488,no
314,-0.9972871022,1.498,no
315,-0.9973181874,1.508,no
316,-0.9973489164,1.518,no
317,-0.9973792933,1.528,no
318,-0.9974093221,1.538,no
319,-0.9974390069,1.547,no
320,-0.9974683515,1.557,no
321,-0.9974973599,1.567,no
322,-0.9975260359,1.577,no
323,-0.9975543833,1.587,no
324,-0.9975824059,1.597,no
325,-0.9976101074,1.607,no
326,-0.9976374915,1.617,no
327,-0.9976645619,1.627,no
328,-0.997691322,1.637,no
329,-0.9977177755,1.647,no
330,-0.9977439259,1.657,no
331,-0.9977697767,1.668,no
332,-0.9977953313,1.678,no
333,-0.997820593,1.688,no
334,-0.9978455653,1.698,no
335,-0.9978702515,1.708,no
336,-0.9978946548,1.718,no
337,-0.9979187784,1.728,no
338,-0.9979426257,1.739,no
339,-0.9979661997,1.749,no
340,-0.9979895036,1.759,no
341,-0.9980125405,1.769,no
342,-0.9980353134,1.78,no
343,-0.9980578253,1.79,no
344,-0.9980800793,1.8,no
345,-0.9981020784,1.81,no
346,-0.9981238253,1.821,no
347,-0.9981453231,1.831,no
348,-0.9981665745,1.841,no
349,-0.9981875825,1.852,no
