index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.03056,yes
2,-0.799,0.03003,no
3,-0.798,0.02951,no
4,-0.797,0.02899,no
5,-0.796,0.02849,no
6,-0.795,0.02799,no
7,-0.794,0.02751,no
8,-0.793,0.02703,no
9,-0.792,0.02656,no
10,-0.791,0.02609,no
11,-0.79,0.02564,no
12,-0.789,0.02519,no
13,-0.788,0.02475,no
14,-0.787,0.02432,no
15,-0.786,0.0239,no
16,-0.785,0.02348,no
17,-0.784,0.02307,no
18,-0.783,0.02267,no
19,-0.782,0.02227,no
20,-0.781,0.02188,no
21,-0.78,0.0215,no
22,-0.779,0.02112,no
23,-0.778,0.02075,no
24,-0.777,0.02039,no
25,-0.776,0.02003,no
26,-0.775,0.01968,no
27,-0.774,0.01934,no
28,-0.773,0.019,no
29,-0.772,0.01867,no
30,-0.771,0.01834,no
31,-0.77,0.01802,no
32,-0.769,0.0177,no
33,-0.768,0.01739,no
34,-0.767,0.01709,no
35,-0.766,0.01679,no
36,-0.765,0.0165,no
37,-0.764,0.01621,no
38,-0.763,0.01592,no
39,-0.762,0.01564,no
40,-0.761,0.01537,no
41,-0.76,0.0151,no
42,-0.759,0.01483,no
43,-0.758,0.01457,no
44,-0.757,0.01431,no
45,-0.756,0.01406,no
46,-0.755,0.01381,no
47,-0.754,0.01357,no
48,-0.753,0.01333,no
49,-0.752,0.01309,no
50,-0.751,0.01286,no
51,-0.75,0.01264,no
52,-0.749,0.01241,no
53,-0.748,0.01219,no
54,-0.747,0.01198,no
55,-0.746,0.01177,no
56,-0.745,0.01156,no
57,-0.744,0.01135,no
58,-0.743,0.01115,no
59,-0.742,0.01095,no
60,-0.741,0.01076,no
61,-0.74,0.01057,no
62,-0.739,0.01038,no
63,-0.738,0.0102,no
64,-0.737,0.01001,no
65,-0.736,0.009837,no
66,-0.735,0.009661,no
67,-0.734,0.009489,no
68,-0.733,0.00932,no
69,-0.732,0.009154,no
70,-0.731,0.00899,no
71,-0.73,0.00883,no
72,-0.729,0.008672,no
73,-0.728,0.008517,no
74,-0.727,0.008365,no
75,-0.726,0.008215,no
76,-0.725,0.008068,no
77,-0.724,0.007923,no
78,-0.723,0.007781,no
79,-0.722,0.007641,no
80,-0.721,0.007504,no
81,-0.72,0.007369,no
82,-0.719,0.007237,no
83,-0.718,0.007106,no
84,-0.717,0.006978,no
85,-0.716,0.006853,no
86,-0.715,0.006729,no
87,-0.714,0.006607,no
88,-0.713,0.006488,no
89,-0.712,0.006371,no
90,-0.711,0.006256,no
91,-0.71,0.006142,no
92,-0.709,0.006031,no
93,-0.708,0.005922,no
94,-0.707,0.005814,no
95,-0.706,0.005709,no
96,-0.705,0.005605,no
97,-0.704,0.005503,no
98,-0.703,0.005403,no
99,-0.702,0.005305,no
100,-0.701,0.005208,no
101,-0.7,0.005113,no
102,-0.699,0.00502,no
103,-0.698,0.004928,no
104,-0.697,0.004838,no
105,-0.696,0.004749,no
106,-0.695,0.004662,no
107,-0.694,0.004577,no
108,-0.693,0.004493,no
109,-0.692,0.00441,no
110,-0.691,0.004329,no
111,-0.69,0.00425,no
112,-0.689,0.004172,no
113,-0.688,0.004095,no
114,-0.687,0.004019,no
115,-0.686,0.003945,no
116,-0.685,0.003872,no
117,-0.684,0.003801,no
118,-0.683,0.00373,no
119,-0.682,0.003661,no
120,-0.681,0.003593,no
121,-0.68,0.003527,no
122,-0.679,0.003461,no
123,-0.678,0.003397,no
124,-0.677,0.003334,no
125,-0.676,0.003272,no
126,-0.675,0.003211,no
127,-0.674,0.003151,no
128,-0.673,0.003092,no
129,-0.672,0.003034,no
130,-0.671,0.002978,no
131,-0.67,0.002922,no
132,-0.669,0.002867,no
133,-0.668,0.002813,no
134,-0.667,0.00276,no
135,-0.666,0.002709,no
136,-0.665,0.002658,no
137,-0.664,0.002608,no
138,-0.663,0.002558,no
139,-0.662,0.00251,no
140,-0.661,0.002463,no
141,-0.66,0.002416,no
142,-0.659,0.002371,no
143,-0.658,0.002326,no
144,-0.657,0.002282,no
145,-0.656,0.002238,no
146,-0.655,0.002196,no
147,-0.654,0.002154,no
148,-0.653,0.002113,no
149,-0.652,0.002073,no
150,-0.651,0.002033,no
151,-0.65,0.001994,no
152,-0.649,0.001956,no
153,-0.648,0.001919,no
154,-0.647,0.001882,no
155,-0.646,0.001846,no
156,-0.645,0.001811,no
157,-0.644,0.001776,no
158,-0.643,0.001742,no
159,-0.642,0.001708,no
160,-0.641,0.001675,no
161,-0.64,0.001643,no
162,-0.639,0.001611,no
163,-0.638,0.00158,no
164,-0.637,0.001549,no
165,-0.636,0.001519,no
166,-0.635,0.00149,no
167,-0.634,0.001461,no
168,-0.633,0.001433,no
169,-0.632,0.001405,no
170,-0.631,0.001377,no
171,-0.63,0.00135,no
172,-0.629,0.001324,no
173,-0.628,0.001298,no
174,-0.627,0.001273,no
175,-0.626,0.001248,no
176,-0.625,0.001223,no
177,-0.624,0.001199,no
178,-0.623,0.001176,no
179,-0.622,0.001153,no
180,-0.621,0.00113,no
181,-0.62,0.001108,no
182,-0.619,0.001086,no
183,-0.618,0.001064,no
184,-0.617,0.001043,no
185,-0.616,0.001022,no
186,-0.615,0.001002,no
187,-0.614,0.0009823,no
188,-0.613,0.0009627,no
189,-0.612,0.0009436,no
