index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,0.2509,no
2,1.201,0.2522,no
3,1.202,0.2536,no
4,1.203,0.255,no
5,1.204,0.2563,no
6,1.205,0.2577,no
7,1.206,0.2591,no
8,1.207,0.2605,no
9,1.208,0.2619,no
10,1.209,0.2633,no
11,1.21,0.2647,no
12,1.211,0.2662,no
13,1.212,0.2676,no
14,1.213,0.269,no
15,1.214,0.2705,no
16,1.215,0.2719,no
17,1.216,0.2734,no
18,1.217,0.2748,no
19,1.218,0.2763,no
20,1.219,0.2778,no
21,1.22,0.2793,no
22,1.221,0.2808,no
23,1.222,0.2823,no
24,1.223,0.2838,no
25,1.224,0.2853,no
26,1.225,0.2868,no
27,1.226,0.2883,no
28,1.227,0.2898,no
29,1.228,0.2914,no
30,1.229,0.2929,no
31,1.23,0.2945,no
32,1.231,0.296,no
33,1.232,0.2976,no
34,1.233,0.2991,no
35,1.234,0.3007,no
36,1.235,0.3023,no
37,1.236,0.3039,no
38,1.237,0.3055,no
39,1.238,0.3071,no
40,1.239,0.3087,no
41,1.24,0.3103,no
42,1.241,0.312,no
43,1.242,0.3136,no
44,1.243,0.3152,no
45,1.244,0.3169,no
46,1.245,0.3185,no
47,1.246,0.3202,no
48,1.247,0.3219,no
49,1.248,0.3235,no
50,1.249,0.3252,no
51,1.25,0.3269,no
52,1.251,0.3286,no
53,1.252,0.3303,no
54,1.253,0.332,no
55,1.254,0.3338,no
56,1.255,0.3355,no
57,1.256,0.3372,no
58,1.257,0.339,no
59,1.258,0.3407,no
60,1.259,0.3425,no
61,1.26,0.3442,no
62,1.261,0.346,no
63,1.262,0.3478,no
64,1.263,0.3496,no
65,1.264,0.3514,no
66,1.265,0.3532,no
67,1.266,0.355,no
68,1.267,0.3568,no
69,1.268,0.3587,no
70,1.269,0.3605,no
71,1.27,0.3623,no
72,1.271,0.3642,no
73,1.272,0.3661,no
74,1.273,0.3679,no
75,1.274,0.3698,no
76,1.275,0.3717,no
77,1.276,0.3736,no
78,1.277,0.3755,no
79,1.278,0.3774,no
80,1.279,0.3793,no
81,1.28,0.3812,no
82,1.281,0.3832,no
83,1.282,0.3851,no
84,1.283,0.3871,no
85,1.284,0.389,no
86,1.285,0.391,no
87,1.286,0.3929,no
88,1.287,0.3949,no
89,1.288,0.3969,no
90,1.289,0.3989,no
91,1.29,0.4009,no
92,1.291,0.4029,no
93,1.292,0.405,no
94,1.293,0.407,no
95,1.294,0.409,no
96,1.295,0.4111,no
97,1.296,0.4132,no
98,1.297,0.4152,no
99,1.298,0.4173,no
100,1.299,0.4194,no
101,1.3,0.4215,no
102,1.301,0.4236,no
103,1.302,0.4257,no
104,1.303,0.4278,no
105,1.304,0.4299,no
106,1.305,0.4321,no
107,1.306,0.4342,no
108,1.307,0.4364,no
109,1.308,0.4386,no
110,1.309,0.4407,no
111,1.31,0.4429,no
112,1.311,0.4451,no
113,1.312,0.4473,no
114,1.313,0.4495,no
115,1.314,0.4517,no
116,1.315,0.454,no
117,1.316,0.4562,no
118,1.317,0.4585,no
119,1.318,0.4607,no
120,1.319,0.463,no
121,1.32,0.4652,no
122,1.321,0.4675,no
123,1.322,0.4698,no
124,1.323,0.4721,no
125,1.324,0.4744,no
126,1.325,0.4768,no
127,1.326,0.4791,no
128,1.327,0.4814,no
129,1.328,0.4838,no
130,1.329,0.4862,no
131,1.33,0.4885,no
132,1.331,0.4909,no
133,1.332,0.4933,no
134,1.333,0.4957,no
135,1.334,0.4981,no
136,1.335,0.5005,no
137,1.336,0.503,no
138,1.337,0.5054,no
139,1.338,0.5078,no
140,1.339,0.5103,no
141,1.34,0.5128,no
142,1.341,0.5152,no
143,1.342,0.5177,no
144,1.343,0.5202,no
145,1.344,0.5227,no
146,1.345,0.5253,no
147,1.346,0.5278,no
148,1.347,0.5303,no
149,1.348,0.5329,no
150,1.349,0.5354,no
151,1.35,0.538,no
152,1.351,0.5406,no
153,1.352,0.5432,no
154,1.353,0.5458,no
155,1.354,0.5484,no
156,1.355,0.551,no
157,1.356,0.5537,no
158,1.357,0.5563,no
159,1.358,0.559,no
160,1.359,0.5616,no
161,1.36,0.5643,no
162,1.361,0.567,no
163,1.362,0.5697,no
164,1.363,0.5724,no
165,1.364,0.5751,no
166,1.365,0.5778,no
167,1.366,0.5806,no
168,1.367,0.5833,no
169,1.368,0.5861,no
170,1.369,0.5889,no
171,1.37,0.5917,no
172,1.371,0.5944,no
173,1.372,0.5973,no
174,1.373,0.6001,no
175,1.374,0.6029,no
176,1.375,0.6057,no
177,1.376,0.6086,no
178,1.377,0.6115,no
179,1.378,0.6143,no
180,1.379,0.6172,no
181,1.38,0.6201,no
