index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.9,0.1838,no
2,-0.9011458298,0.1879,no
3,-0.9022785303,0.192,no
4,-0.903398252,0.1961,no
5,-0.9045051436,0.2003,no
6,-0.9055993521,0.2046,no
7,-0.9066810228,0.2089,no
8,-0.9077502995,0.2132,no
9,-0.908807324,0.2176,no
10,-0.9098522369,0.2221,no
11,-0.9108851768,0.2266,no
12,-0.911906281,0.2311,no
13,-0.912915685,0.2358,no
14,-0.913913523,0.2404,no
15,-0.9148999275,0.2451,no
16,-0.9158750295,0.2499,no
17,-0.9168389585,0.2547,no
18,-0.9177918424,0.2596,no
19,-0.918733808,0.2645,no
20,-0.9196649802,0.2694,no
21,-0.9205854828,0.2744,no
22,-0.921495438,0.2795,no
23,-0.9223949666,0.2846,no
24,-0.9232841882,0.2898,no
25,-0.9241632209,0.295,no
26,-0.9250321813,0.3003,no
27,-0.9258911848,0.3056,no
28,-0.9267403457,0.3109,no
29,-0.9275797767,0.3163,no
30,-0.9284095891,0.3218,no
31,-0.9292298934,0.3273,no
32,-0.9300407983,0.3329,no
33,-0.9308424117,0.3385,no
34,-0.93163484,0.3441,no
35,-0.9324181883,0.3498,no
36,-0.9331925608,0.3556,no
37,-0.9339580604,0.3614,no
38,-0.9347147886,0.3672,no
39,-0.935462846,0.3731,no
40,-0.9362023319,0.379,no
41,-0.9369333446,0.385,no
42,-0.9376559811,0.3911,no
43,-0.9383703374,0.3971,no
44,-0.9390765085,0.4033,no
45,-0.939774588,0.4094,no
46,-0.9404646687,0.4156,no
47,-0.9411468422,0.4219,no
48,-0.9418211993,0.4282,no
49,-0.9424878293,0.4346,no
50,-0.9431468209,0.441,no
51,-0.9437982615,0.4474,no
52,-0.9444422378,0.4539,no
53,-0.9450788352,0.4604,no
54,-0.9457081382,0.467,no
55,-0.9463302305,0.4736,no
56,-0.9469451947,0.4803,no
57,-0.9475531125,0.487,no
58,-0.9481540646,0.4937,no
59,-0.9487481307,0.5005,no
60,-0.9493353899,0.5073,no
61,-0.9499159201,0.5142,no
62,-0.9504897984,0.5211,no
63,-0.951057101,0.5281,no
64,-0.9516179034,0.5351,no
65,-0.9521722798,0.5421,no
66,-0.9527203041,0.5492,no
67,-0.9532620489,0.5563,no
68,-0.9537975863,0.5635,no
69,-0.9543269873,0.5707,no
70,-0.9548503223,0.5779,no
71,-0.9553676607,0.5852,no
72,-0.9558790714,0.5925,no
73,-0.9563846221,0.5999,no
74,-0.9568843801,0.6073,no
75,-0.9573784117,0.6147,no
76,-0.9578667826,0.6222,no
77,-0.9583495575,0.6297,no
78,-0.9588268007,0.6372,no
79,-0.9592985755,0.6448,no
80,-0.9597649445,0.6524,no
81,-0.9602259698,0.6601,no
82,-0.9606817124,0.6678,no
83,-0.9611322331,0.6755,no
84,-0.9615775915,0.6833,no
85,-0.9620178469,0.6911,no
86,-0.9624530578,0.699,no
87,-0.9628832818,0.7068,no
88,-0.9633085762,0.7148,no
89,-0.9637289975,0.7227,no
90,-0.9641446014,0.7307,no
91,-0.9645554433,0.7387,no
92,-0.9649615775,0.7467,no
93,-0.9653630582,0.7548,no
94,-0.9657599386,0.7629,no
