index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
1,1.4137166941,0.1570796327,3.205,0.2042,1.1648044369,-1.5888855697
2,1.4155165593,0.1552797675,3.269,0.2104,1.1846319978,-1.5586295963
3,1.4172958011,0.1535005256,3.335,0.2169,1.2043536519,-1.5284822605
4,1.4190546559,0.1517416709,3.401,0.2235,1.2239708848,-1.4984422289
5,1.4207933571,0.1500029697,3.468,0.2303,1.243485158,-1.468508192
6,1.4225121358,0.148284191,3.536,0.2372,1.2628979092,-1.4386788634
7,1.4242112203,0.1465851065,3.605,0.2444,1.282210553,-1.4089529795
8,1.4258908361,0.1449054907,3.675,0.2517,1.3014244808,-1.3793292992
9,1.4275512063,0.1432451205,3.745,0.2593,1.3205410619,-1.3498066032
10,1.4291925516,0.1416037752,3.817,0.267,1.3395616436,-1.3203836938
11,1.4308150898,0.139981237,3.89,0.275,1.3584875517,-1.2910593943
12,1.4324190365,0.1383772903,3.964,0.2831,1.3773200907,-1.2618325489
13,1.4340046047,0.1367917221,4.039,0.2915,1.3960605448,-1.232702022
14,1.435572005,0.1352243218,4.115,0.3001,1.4147101775,-1.2036666982
15,1.4371214455,0.1336748812,4.192,0.3089,1.4332702326,-1.1747254814
16,1.4386531321,0.1321431946,4.271,0.3179,1.4517419342,-1.1458772949
17,1.4401672682,0.1306290586,4.35,0.3272,1.4701264876,-1.1171210811
18,1.4416640549,0.1291322719,4.43,0.3367,1.4884250789,-1.0884558005
19,1.4431436909,0.1276526359,4.512,0.3465,1.5066388758,-1.0598804323
20,1.4446063728,0.126189954,4.594,0.3565,1.5247690282,-1.0313939733
21,1.4460522949,0.1247440319,4.678,0.3668,1.5428166678,-1.0029954381
22,1.4474816492,0.1233146776,4.763,0.3773,1.5607829092,-0.9746838583
23,1.4488946255,0.1219017013,4.848,0.3881,1.5786688497,-0.9464582826
24,1.4502914115,0.1205049153,4.936,0.3992,1.5964755699,-0.9183177766
25,1.4516721927,0.1191241341,5.024,0.4105,1.6142041338,-0.8902614219
26,1.4530371525,0.1177591743,5.113,0.4222,1.6318555893,-0.8622883164
27,1.4543864722,0.1164098546,5.204,0.4341,1.6494309682,-0.8343975739
28,1.4557203309,0.1150759958,5.296,0.4464,1.666931287,-0.8065883236
29,1.457038906,0.1137574208,5.389,0.4589,1.6843575465,-0.77885971
30,1.4583423724,0.1124539544,5.483,0.4718,1.7017107327,-0.7512108926
31,1.4596309033,0.1111654235,5.579,0.485,1.7189918168,-0.7236410459
32,1.4609046698,0.109891657,5.676,0.4985,1.7362017553,-0.6961493586
33,1.4621638411,0.1086324857,5.774,0.5124,1.7533414906,-0.6687350339
34,1.4634085845,0.1073877423,5.873,0.5266,1.7704119509,-0.641397289
35,1.4646390652,0.1061572615,5.974,0.5411,1.7874140508,-0.6141353547
36,1.4658554468,0.10494088,6.076,0.556,1.8043486912,-0.5869484758
37,1.4670578906,0.1037384362,6.179,0.5713,1.8212167599,-0.55983591
38,1.4682465565,0.1025497703,6.284,0.587,1.8380191315,-0.5327969285
39,1.4694216023,0.1013747245,6.39,0.603,1.8547566677,-0.5058308151
40,1.4705831841,0.1002131427,6.498,0.6194,1.8714302178,-0.4789368666
41,1.4717314561,0.0990648707,6.606,0.6363,1.8880406184,-0.4521143922
42,1.4728665709,0.0979297559,6.717,0.6535,1.9045886942,-0.4253627133
43,1.4739886792,0.0968076476,6.828,0.6712,1.9210752577,-0.3986811636
44,1.4750979301,0.0956983967,6.941,0.6893,1.9375011098,-0.3720690885
45,1.4761944708,0.094601856,7.056,0.7078,1.9538670397,-0.3455258453
46,1.4772784471,0.0935178797,7.172,0.7268,1.9701738252,-0.3190508027
47,1.4783500028,0.092446324,7.289,0.7463,1.9864222329,-0.2926433409
48,1.4794092803,0.0913870465,7.408,0.7662,2.0026130186,-0.2663028511
49,1.4804564203,0.0903399065,7.529,0.7866,2.0187469271,-0.2400287357
50,1.4814915618,0.089304765,7.651,0.8075,2.0348246924,-0.2138204078
51,1.4825148424,0.0882814844,7.774,0.8289,2.0508470385,-0.1876772911
52,1.483526398,0.0872699288,7.9,0.8508,2.0668146786,-0.1615988199
53,1.4845263628,0.086269964,8.026,0.8732,2.0827283161,-0.135584439
54,1.4855148697,0.0852814571,8.155,0.8962,2.0985886444,-0.1096336029
55,1.4864920501,0.0843042767,8.285,0.9197,2.114396347,-0.0837457766
56,1.4874580336,0.0833382932,8.416,0.9437,2.1301520978,-0.0579204346
57,1.4884129486,0.0823833782,8.549,0.9684,2.1458565613,-0.0321570614
58,1.4893569218,0.0814394049,8.684,0.9936,2.1615103927,-0.0064551508
59,1.4902900788,0.080506248,8.821,1.019,2.1771142378,0.0191857937
60,1.4912125434,0.0795837834,8.959,1.046,2.1926687336,0.0447662597
61,1.4921244381,0.0786718887,9.099,1.073,2.2081745082,0.0702867253
62,1.493025884,0.0777704428,9.241,1.1,2.2236321808,0.0957476597
63,1.4939170009,0.0768793259,9.384,1.129,2.2390423622,0.1211495235
64,1.4947979071,0.0759984197,9.53,1.158,2.2544056547,0.1464927682
65,1.4956687196,0.0751276072,9.677,1.187,2.2697226522,0.171777837
66,1.4965295541,0.0742667727,9.826,1.218,2.2849939403,0.1970051645
67,1.4973805249,0.0734158019,9.976,1.249,2.3002200969,0.2221751769
68,1.498221745,0.0725745818,10.13,1.281,2.3154016915,0.2472882923
69,1.4990533262,0.0717430006,10.28,1.313,2.3305392862,0.2723449207
70,1.4998753789,0.0709209479,10.44,1.346,2.3456334351,0.2973454642
71,1.5006880122,0.0701083146,10.6,1.38,2.3606846849,0.3222903167
72,1.5014913342,0.0693049926,10.76,1.415,2.3756935747,0.3471798649
73,1.5022854514,0.0685108754,10.92,1.451,2.3906606365,0.3720144874
74,1.5030704694,0.0677258574,11.08,1.487,2.4055863948,0.3967945556
75,1.5038464925,0.0669498343,11.25,1.524,2.4204713672,0.4215204334
76,1.5046136236,0.0661827032,11.42,1.562,2.4353160642,0.4461924774
77,1.5053719647,0.0654243621,11.59,1.601,2.4501209893,0.470811037
78,1.5061216166,0.0646747102,11.76,1.641,2.4648866393,0.4953764546
79,1.5068626786,0.0639336482,11.94,1.682,2.4796135045,0.5198890657
80,1.5075952494,0.0632010774,12.11,1.723,2.4943020683,0.5443491987
81,1.5083194262,0.0624769006,12.29,1.766,2.5089528077,0.5687571755
82,1.5090353051,0.0617610217,12.47,1.81,2.5235661935,0.5931133112
83,1.5097429813,0.0610533455,12.66,1.854,2.5381426899,0.6174179143
84,1.5104425487,0.0603537781,12.84,1.9,2.5526827551,0.6416712871
85,1.5111341003,0.0596622265,13.03,1.946,2.5671868412,0.6658737251
