index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-1.2566370614,1.132e-05,yes
2,-1.2556370614,1.116e-05,no
3,-1.2546370614,1.1e-05,no
4,-1.2536370614,1.084e-05,no
5,-1.2526370614,1.068e-05,no
6,-1.2516370614,1.052e-05,no
7,-1.2506370614,1.037e-05,no
8,-1.2496370614,1.022e-05,no
9,-1.2486370614,1.007e-05,no
10,-1.2476370614,9.929e-06,no
11,-1.2466370614,9.786e-06,no
12,-1.2456370614,9.644e-06,no
13,-1.2446370614,9.505e-06,no
14,-1.2436370614,9.368e-06,no
15,-1.2426370614,9.234e-06,no
16,-1.2416370614,9.101e-06,no
17,-1.2406370614,8.97e-06,no
18,-1.2396370614,8.841e-06,no
19,-1.2386370614,8.715e-06,no
20,-1.2376370614,8.59e-06,no
21,-1.2366370614,8.467e-06,no
22,-1.2356370614,8.346e-06,no
23,-1.2346370614,8.226e-06,no
24,-1.2336370614,8.109e-06,no
25,-1.2326370614,7.993e-06,no
26,-1.2316370614,7.879e-06,no
27,-1.2306370614,7.767e-06,no
28,-1.2296370614,7.656e-06,no
29,-1.2286370614,7.547e-06,no
30,-1.2276370614,7.44e-06,no
31,-1.2266370614,7.334e-06,no
32,-1.2256370614,7.23e-06,no
33,-1.2246370614,7.127e-06,no
34,-1.2236370614,7.026e-06,no
35,-1.2226370614,6.926e-06,no
36,-1.2216370614,6.828e-06,no
37,-1.2206370614,6.731e-06,no
38,-1.2196370614,6.636e-06,no
39,-1.2186370614,6.542e-06,no
40,-1.2176370614,6.45e-06,no
41,-1.2166370614,6.359e-06,no
42,-1.2156370614,6.269e-06,no
43,-1.2146370614,6.181e-06,no
44,-1.2136370614,6.094e-06,no
45,-1.2126370614,6.008e-06,no
46,-1.2116370614,5.923e-06,no
47,-1.2106370614,5.84e-06,no
48,-1.2096370614,5.758e-06,no
49,-1.2086370614,5.677e-06,no
50,-1.2076370614,5.597e-06,no
51,-1.2066370614,5.518e-06,no
52,-1.2056370614,5.441e-06,no
53,-1.2046370614,5.365e-06,no
54,-1.2036370614,5.29e-06,no
55,-1.2026370614,5.216e-06,no
56,-1.2016370614,5.143e-06,no
57,-1.2006370614,5.071e-06,no
58,-1.1996370614,5e-06,no
59,-1.1986370614,4.93e-06,no
60,-1.1976370614,4.861e-06,no
61,-1.1966370614,4.793e-06,no
62,-1.1956370614,4.726e-06,no
63,-1.1946370614,4.66e-06,no
64,-1.1936370614,4.595e-06,no
65,-1.1926370614,4.531e-06,no
66,-1.1916370614,4.468e-06,no
67,-1.1906370614,4.406e-06,no
68,-1.1896370614,4.345e-06,no
69,-1.1886370614,4.284e-06,no
70,-1.1876370614,4.225e-06,no
71,-1.1866370614,4.166e-06,no
72,-1.1856370614,4.108e-06,no
73,-1.1846370614,4.051e-06,no
74,-1.1836370614,3.995e-06,no
75,-1.1826370614,3.939e-06,no
76,-1.1816370614,3.885e-06,no
77,-1.1806370614,3.831e-06,no
78,-1.1796370614,3.778e-06,no
79,-1.1786370614,3.726e-06,no
80,-1.1776370614,3.674e-06,no
81,-1.1766370614,3.623e-06,no
82,-1.1756370614,3.573e-06,no
83,-1.1746370614,3.524e-06,no
84,-1.1736370614,3.475e-06,no
85,-1.1726370614,3.427e-06,no
86,-1.1716370614,3.38e-06,no
87,-1.1706370614,3.333e-06,no
88,-1.1696370614,3.287e-06,no
89,-1.1686370614,3.242e-06,no
90,-1.1676370614,3.197e-06,no
91,-1.1666370614,3.153e-06,no
92,-1.1656370614,3.109e-06,no
93,-1.1646370614,3.066e-06,no
94,-1.1636370614,3.024e-06,no
95,-1.1626370614,2.983e-06,no
96,-1.1616370614,2.941e-06,no
97,-1.1606370614,2.901e-06,no
98,-1.1596370614,2.861e-06,no
99,-1.1586370614,2.822e-06,no
