index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.8849555922,0.0008088,no
2,1.8859555922,0.0008082,no
3,1.8869555922,0.0008077,no
4,1.8879555922,0.0008071,no
5,1.8889555922,0.0008066,no
6,1.8899555922,0.0008061,no
7,1.8909555922,0.0008057,no
8,1.8919555922,0.0008052,no
9,1.8929555922,0.0008047,no
10,1.8939555922,0.0008043,no
11,1.8949555922,0.0008039,no
12,1.8959555922,0.0008035,no
13,1.8969555922,0.0008031,no
14,1.8979555922,0.0008027,no
15,1.8989555922,0.0008023,no
16,1.8999555922,0.000802,no
17,1.9009555922,0.0008016,no
18,1.9019555922,0.0008013,no
19,1.9029555922,0.000801,no
20,1.9039555922,0.0008006,no
21,1.9049555922,0.0008003,no
22,1.9059555922,0.0008001,no
23,1.9069555922,0.0007998,no
24,1.9079555922,0.0007995,no
25,1.9089555922,0.0007993,no
26,1.9099555922,0.0007991,no
27,1.9109555922,0.0007988,no
28,1.9119555922,0.0007986,no
29,1.9129555922,0.0007984,no
30,1.9139555922,0.0007982,no
31,1.9149555922,0.0007981,no
32,1.9159555922,0.0007979,no
33,1.9169555922,0.0007977,no
34,1.9179555922,0.0007976,no
35,1.9189555922,0.0007975,no
36,1.9199555922,0.0007973,no
37,1.9209555922,0.0007972,no
38,1.9219555922,0.0007971,no
39,1.9229555922,0.0007971,no
40,1.9239555922,0.000797,no
41,1.9249555922,0.0007969,no
42,1.9259555922,0.0007969,no
43,1.9269555922,0.0007968,no
44,1.9279555922,0.0007968,no
45,1.9289555922,0.0007968,no
46,1.9299555922,0.0007968,no
47,1.9309555922,0.0007967,no
48,1.9319555922,0.0007968,no
49,1.9329555922,0.0007968,no
50,1.9339555922,0.0007968,no
51,1.9349555922,0.0007968,no
52,1.9359555922,0.0007969,no
53,1.9369555922,0.000797,no
54,1.9379555922,0.000797,no
55,1.9389555922,0.0007971,no
56,1.9399555922,0.0007972,no
57,1.9409555922,0.0007973,no
58,1.9419555922,0.0007974,no
59,1.9429555922,0.0007975,no
60,1.9439555922,0.0007976,no
61,1.9449555922,0.0007978,no
62,1.9459555922,0.0007979,no
63,1.9469555922,0.0007981,no
64,1.9479555922,0.0007983,no
65,1.9489555922,0.0007984,no
66,1.9499555922,0.0007986,no
67,1.9509555922,0.0007988,no
68,1.9519555922,0.000799,no
69,1.9529555922,0.0007992,no
70,1.9539555922,0.0007994,no
71,1.9549555922,0.0007997,no
72,1.9559555922,0.0007999,no
73,1.9569555922,0.0008002,no
74,1.9579555922,0.0008004,no
75,1.9589555922,0.0008007,no
76,1.9599555922,0.0008009,no
77,1.9609555922,0.0008012,no
78,1.9619555922,0.0008015,no
79,1.9629555922,0.0008018,no
80,1.9639555922,0.0008021,no
81,1.9649555922,0.0008025,no
82,1.9659555922,0.0008028,no
83,1.9669555922,0.0008031,no
84,1.9679555922,0.0008035,no
85,1.9689555922,0.0008038,no
86,1.9699555922,0.0008042,no
87,1.9709555922,0.0008045,no
88,1.9719555922,0.0008049,no
89,1.9729555922,0.0008053,no
90,1.9739555922,0.0008057,no
91,1.9749555922,0.0008061,no
92,1.9759555922,0.0008065,no
93,1.9769555922,0.0008069,no
94,1.9779555922,0.0008073,no
95,1.9789555922,0.0008078,no
96,1.9799555922,0.0008082,no
97,1.9809555922,0.0008087,no
98,1.9819555922,0.0008091,no
99,1.9829555922,0.0008096,no
100,1.9839555922,0.0008101,no
101,1.9849555922,0.0008105,no
102,1.9859555922,0.000811,no
103,1.9869555922,0.0008115,no
104,1.9879555922,0.000812,no
105,1.9889555922,0.0008125,no
106,1.9899555922,0.0008131,no
107,1.9909555922,0.0008136,no
108,1.9919555922,0.0008141,no
109,1.9929555922,0.0008147,no
110,1.9939555922,0.0008152,no
111,1.9949555922,0.0008158,no
112,1.9959555922,0.0008164,no
113,1.9969555922,0.0008169,no
114,1.9979555922,0.0008175,no
115,1.9989555922,0.0008181,no
116,1.9999555922,0.0008187,no
117,2.0009555922,0.0008193,no
118,2.0019555922,0.0008199,no
119,2.0029555922,0.0008205,no
120,2.0039555922,0.0008212,no
121,2.0049555922,0.0008218,no
122,2.0059555922,0.0008224,no
123,2.0069555922,0.0008231,no
124,2.0079555922,0.0008237,no
125,2.0089555922,0.0008244,no
126,2.0099555922,0.0008251,no
127,2.0109555922,0.0008257,no
128,2.0119555922,0.0008264,no
129,2.0129555922,0.0008271,no
130,2.0139555922,0.0008278,no
131,2.0149555922,0.0008285,no
132,2.0159555922,0.0008292,no
133,2.0169555922,0.00083,no
134,2.0179555922,0.0008307,no
135,2.0189555922,0.0008314,no
136,2.0199555922,0.0008322,no
137,2.0209555922,0.0008329,no
138,2.0219555922,0.0008337,no
139,2.0229555922,0.0008344,no
140,2.0239555922,0.0008352,no
141,2.0249555922,0.000836,no
142,2.0259555922,0.0008368,no
143,2.0269555922,0.0008376,no
144,2.0279555922,0.0008384,no
145,2.0289555922,0.0008392,no
