index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.4137166941,0.2042,no
2,1.4155165593,0.2104,no
3,1.4172958011,0.2169,no
4,1.4190546559,0.2235,no
5,1.4207933571,0.2303,no
6,1.4225121358,0.2372,no
7,1.4242112203,0.2444,no
8,1.4258908361,0.2517,no
9,1.4275512063,0.2593,no
10,1.4291925516,0.267,no
11,1.4308150898,0.275,no
12,1.4324190365,0.2831,no
13,1.4340046047,0.2915,no
14,1.435572005,0.3001,no
15,1.4371214455,0.3089,no
16,1.4386531321,0.3179,no
17,1.4401672682,0.3272,no
18,1.4416640549,0.3367,no
19,1.4431436909,0.3465,no
20,1.4446063728,0.3565,no
21,1.4460522949,0.3668,no
22,1.4474816492,0.3773,no
23,1.4488946255,0.3881,no
24,1.4502914115,0.3992,no
25,1.4516721927,0.4105,no
26,1.4530371525,0.4222,no
27,1.4543864722,0.4341,no
28,1.4557203309,0.4464,no
29,1.457038906,0.4589,no
30,1.4583423724,0.4718,no
31,1.4596309033,0.485,no
32,1.4609046698,0.4985,no
33,1.4621638411,0.5124,no
34,1.4634085845,0.5266,no
35,1.4646390652,0.5411,no
36,1.4658554468,0.556,no
37,1.4670578906,0.5713,no
38,1.4682465565,0.587,no
39,1.4694216023,0.603,no
40,1.4705831841,0.6194,no
41,1.4717314561,0.6363,no
42,1.4728665709,0.6535,no
43,1.4739886792,0.6712,no
44,1.4750979301,0.6893,no
45,1.4761944708,0.7078,no
46,1.4772784471,0.7268,no
47,1.4783500028,0.7463,no
48,1.4794092803,0.7662,no
49,1.4804564203,0.7866,no
50,1.4814915618,0.8075,no
51,1.4825148424,0.8289,no
52,1.483526398,0.8508,no
53,1.4845263628,0.8732,no
54,1.4855148697,0.8962,no
55,1.4864920501,0.9197,no
56,1.4874580336,0.9437,no
57,1.4884129486,0.9684,no
58,1.4893569218,0.9936,no
59,1.4902900788,1.019,no
60,1.4912125434,1.046,no
61,1.4921244381,1.073,no
62,1.493025884,1.1,no
63,1.4939170009,1.129,no
64,1.4947979071,1.158,no
65,1.4956687196,1.187,no
66,1.4965295541,1.218,no
67,1.4973805249,1.249,no
68,1.498221745,1.281,no
69,1.4990533262,1.313,no
70,1.4998753789,1.346,no
71,1.5006880122,1.38,no
72,1.5014913342,1.415,no
73,1.5022854514,1.451,no
74,1.5030704694,1.487,no
75,1.5038464925,1.524,no
76,1.5046136236,1.562,no
77,1.5053719647,1.601,no
78,1.5061216166,1.641,no
79,1.5068626786,1.682,no
80,1.5075952494,1.723,no
81,1.5083194262,1.766,no
82,1.5090353051,1.81,no
83,1.5097429813,1.854,no
84,1.5104425487,1.9,no
85,1.5111341003,1.946,no
86,1.5118177278,1.994,no
87,1.5124935222,2.042,no
88,1.5131615731,2.092,no
89,1.5138219693,2.143,no
90,1.5144747984,2.195,no
91,1.5151201473,2.248,no
92,1.5157581015,2.302,no
93,1.5163887459,2.358,no
94,1.5170121642,2.414,no
95,1.5176284391,2.472,no
96,1.5182376526,2.532,no
97,1.5188398855,2.592,no
98,1.5194352179,2.654,no
99,1.5200237288,2.717,no
100,1.5206054963,2.781,no
101,1.5211805978,2.847,no
102,1.5217491096,2.915,no
103,1.5223111072,2.984,no
104,1.5228666653,3.054,no
105,1.5234158577,3.126,no
106,1.5239587572,3.199,no
107,1.524495436,3.274,no
108,1.5250259654,3.35,no
109,1.5255504158,3.428,no
110,1.526068857,3.508,no
111,1.5265813576,3.59,no
112,1.5270879859,3.673,no
113,1.5275888091,3.758,no
114,1.5280838937,3.845,no
115,1.5285733055,3.933,no
116,1.5290571094,4.024,no
117,1.5295353698,4.116,no
118,1.5300081502,4.21,no
119,1.5304755132,4.307,no
120,1.5309375211,4.405,no
121,1.5313942352,4.505,no
122,1.5318457161,4.608,no
123,1.5322920238,4.712,no
124,1.5327332176,4.819,no
125,1.533169356,4.928,no
126,1.533600497,5.039,no
127,1.5340266979,5.152,no
128,1.5344480153,5.268,no
129,1.5348645051,5.386,no
130,1.5352762226,5.507,no
131,1.5356832225,5.63,no
132,1.5360855589,5.755,no
133,1.5364832852,5.883,no
