index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-1.2566370614,0.7418,yes
2,-1.2556370614,0.7356,no
3,-1.2546370614,0.7294,no
4,-1.2536370614,0.7233,no
5,-1.2526370614,0.7173,no
6,-1.2516370614,0.7113,no
7,-1.2506370614,0.7054,no
8,-1.2496370614,0.6995,no
9,-1.2486370614,0.6937,no
10,-1.2476370614,0.6879,no
11,-1.2466370614,0.6822,no
12,-1.2456370614,0.6765,no
13,-1.2446370614,0.6709,no
14,-1.2436370614,0.6653,no
15,-1.2426370614,0.6598,no
16,-1.2416370614,0.6544,no
17,-1.2406370614,0.6489,no
18,-1.2396370614,0.6436,no
19,-1.2386370614,0.6382,no
20,-1.2376370614,0.633,no
21,-1.2366370614,0.6277,no
22,-1.2356370614,0.6225,no
23,-1.2346370614,0.6174,no
24,-1.2336370614,0.6123,no
25,-1.2326370614,0.6073,no
26,-1.2316370614,0.6023,no
27,-1.2306370614,0.5973,no
28,-1.2296370614,0.5924,no
29,-1.2286370614,0.5875,no
30,-1.2276370614,0.5827,no
31,-1.2266370614,0.5779,no
32,-1.2256370614,0.5731,no
33,-1.2246370614,0.5684,no
34,-1.2236370614,0.5637,no
35,-1.2226370614,0.5591,no
36,-1.2216370614,0.5545,no
37,-1.2206370614,0.55,no
38,-1.2196370614,0.5455,no
39,-1.2186370614,0.541,no
40,-1.2176370614,0.5366,no
41,-1.2166370614,0.5322,no
42,-1.2156370614,0.5278,no
43,-1.2146370614,0.5235,no
44,-1.2136370614,0.5192,no
45,-1.2126370614,0.515,no
46,-1.2116370614,0.5108,no
47,-1.2106370614,0.5066,no
48,-1.2096370614,0.5025,no
49,-1.2086370614,0.4984,no
50,-1.2076370614,0.4943,no
51,-1.2066370614,0.4903,no
52,-1.2056370614,0.4863,no
53,-1.2046370614,0.4823,no
54,-1.2036370614,0.4784,no
55,-1.2026370614,0.4745,no
56,-1.2016370614,0.4706,no
57,-1.2006370614,0.4668,no
58,-1.1996370614,0.463,no
59,-1.1986370614,0.4592,no
60,-1.1976370614,0.4555,no
61,-1.1966370614,0.4518,no
62,-1.1956370614,0.4481,no
63,-1.1946370614,0.4445,no
64,-1.1936370614,0.4409,no
65,-1.1926370614,0.4373,no
66,-1.1916370614,0.4337,no
67,-1.1906370614,0.4302,no
68,-1.1896370614,0.4267,no
69,-1.1886370614,0.4233,no
70,-1.1876370614,0.4198,no
71,-1.1866370614,0.4164,no
72,-1.1856370614,0.4131,no
73,-1.1846370614,0.4097,no
74,-1.1836370614,0.4064,no
75,-1.1826370614,0.4031,no
76,-1.1816370614,0.3998,no
77,-1.1806370614,0.3966,no
78,-1.1796370614,0.3934,no
79,-1.1786370614,0.3902,no
80,-1.1776370614,0.3871,no
81,-1.1766370614,0.3839,no
82,-1.1756370614,0.3808,no
83,-1.1746370614,0.3777,no
84,-1.1736370614,0.3747,no
85,-1.1726370614,0.3717,no
86,-1.1716370614,0.3686,no
87,-1.1706370614,0.3657,no
88,-1.1696370614,0.3627,no
89,-1.1686370614,0.3598,no
90,-1.1676370614,0.3569,no
91,-1.1666370614,0.354,no
92,-1.1656370614,0.3511,no
93,-1.1646370614,0.3483,no
94,-1.1636370614,0.3455,no
95,-1.1626370614,0.3427,no
96,-1.1616370614,0.3399,no
97,-1.1606370614,0.3372,no
98,-1.1596370614,0.3345,no
99,-1.1586370614,0.3318,no
100,-1.1576370614,0.3291,no
101,-1.1566370614,0.3264,no
102,-1.1556370614,0.3238,no
103,-1.1546370614,0.3212,no
104,-1.1536370614,0.3186,no
105,-1.1526370614,0.316,no
106,-1.1516370614,0.3135,no
107,-1.1506370614,0.311,no
108,-1.1496370614,0.3085,no
109,-1.1486370614,0.306,no
110,-1.1476370614,0.3035,no
111,-1.1466370614,0.301,no
112,-1.1456370614,0.2986,no
113,-1.1446370614,0.2962,no
114,-1.1436370614,0.2938,no
115,-1.1426370614,0.2915,no
116,-1.1416370614,0.2891,no
117,-1.1406370614,0.2868,no
118,-1.1396370614,0.2845,no
119,-1.1386370614,0.2822,no
120,-1.1376370614,0.2799,no
121,-1.1366370614,0.2776,no
122,-1.1356370614,0.2754,no
123,-1.1346370614,0.2732,no
124,-1.1336370614,0.271,no
125,-1.1326370614,0.2688,no
126,-1.1316370614,0.2666,no
127,-1.1306370614,0.2645,no
128,-1.1296370614,0.2624,no
129,-1.1286370614,0.2602,no
130,-1.1276370614,0.2581,no
131,-1.1266370614,0.2561,no
132,-1.1256370614,0.254,no
133,-1.1246370614,0.2519,no
134,-1.1236370614,0.2499,no
135,-1.1226370614,0.2479,no
136,-1.1216370614,0.2459,no
137,-1.1206370614,0.2439,no
138,-1.1196370614,0.242,no
139,-1.1186370614,0.24,no
140,-1.1176370614,0.2381,no
141,-1.1166370614,0.2361,no
142,-1.1156370614,0.2342,no
143,-1.1146370614,0.2324,no
144,-1.1136370614,0.2305,no
145,-1.1126370614,0.2286,no
146,-1.1116370614,0.2268,no
147,-1.1106370614,0.2249,no
148,-1.1096370614,0.2231,no
149,-1.1086370614,0.2213,no
150,-1.1076370614,0.2195,no
151,-1.1066370614,0.2178,no
152,-1.1056370614,0.216,no
153,-1.1046370614,0.2143,no
154,-1.1036370614,0.2125,no
155,-1.1026370614,0.2108,no
156,-1.1016370614,0.2091,no
157,-1.1006370614,0.2074,no
158,-1.0996370614,0.2058,no
159,-1.0986370614,0.2041,no
160,-1.0976370614,0.2024,no
161,-1.0966370614,0.2008,no
162,-1.0956370614,0.1992,no
163,-1.0946370614,0.1976,no
164,-1.0936370614,0.196,no
165,-1.0926370614,0.1944,no
166,-1.0916370614,0.1928,no
167,-1.0906370614,0.1913,no
168,-1.0896370614,0.1897,no
169,-1.0886370614,0.1882,no
170,-1.0876370614,0.1866,no
171,-1.0866370614,0.1851,no
172,-1.0856370614,0.1836,no
173,-1.0846370614,0.1821,no
174,-1.0836370614,0.1807,no
175,-1.0826370614,0.1792,no
176,-1.0816370614,0.1778,no
177,-1.0806370614,0.1763,no
178,-1.0796370614,0.1749,no
179,-1.0786370614,0.1735,no
180,-1.0776370614,0.1721,no
181,-1.0766370614,0.1707,no
182,-1.0756370614,0.1693,no
183,-1.0746370614,0.1679,no
184,-1.0736370614,0.1665,no
185,-1.0726370614,0.1652,no
186,-1.0716370614,0.1638,no
187,-1.0706370614,0.1625,no
188,-1.0696370614,0.1612,no
189,-1.0686370614,0.1599,no
190,-1.0676370614,0.1586,no
191,-1.0666370614,0.1573,no
192,-1.0656370614,0.156,no
193,-1.0646370614,0.1547,no
194,-1.0636370614,0.1535,no
195,-1.0626370614,0.1522,no
196,-1.0616370614,0.151,no
197,-1.0606370614,0.1498,no
198,-1.0596370614,0.1485,no
199,-1.0586370614,0.1473,no
200,-1.0576370614,0.1461,no
201,-1.0566370614,0.1449,no
202,-1.0556370614,0.1438,no
203,-1.0546370614,0.1426,no
204,-1.0536370614,0.1414,no
205,-1.0526370614,0.1403,no
206,-1.0516370614,0.1391,no
207,-1.0506370614,0.138,no
208,-1.0496370614,0.1369,no
209,-1.0486370614,0.1357,no
210,-1.0476370614,0.1346,no
211,-1.0466370614,0.1335,no
212,-1.0456370614,0.1324,no
213,-1.0446370614,0.1314,no
214,-1.0436370614,0.1303,no
215,-1.0426370614,0.1292,no
216,-1.0416370614,0.1282,no
217,-1.0406370614,0.1271,no
218,-1.0396370614,0.1261,no
219,-1.0386370614,0.125,no
220,-1.0376370614,0.124,no
221,-1.0366370614,0.123,no
222,-1.0356370614,0.122,no
223,-1.0346370614,0.121,no
224,-1.0336370614,0.12,no
225,-1.0326370614,0.119,no
226,-1.0316370614,0.118,no
227,-1.0306370614,0.117,no
228,-1.0296370614,0.1161,no
229,-1.0286370614,0.1151,no
230,-1.0276370614,0.1142,no
231,-1.0266370614,0.1132,no
232,-1.0256370614,0.1123,no
233,-1.0246370614,0.1114,no
234,-1.0236370614,0.1105,no
235,-1.0226370614,0.1096,no
236,-1.0216370614,0.1086,no
237,-1.0206370614,0.1078,no
238,-1.0196370614,0.1069,no
239,-1.0186370614,0.106,no
240,-1.0176370614,0.1051,no
241,-1.0166370614,0.1042,no
242,-1.0156370614,0.1034,no
243,-1.0146370614,0.1025,no
244,-1.0136370614,0.1017,no
245,-1.0126370614,0.1008,no
246,-1.0116370614,0.09999,no
247,-1.0106370614,0.09916,no
248,-1.0096370614,0.09834,no
249,-1.0086370614,0.09752,no
250,-1.0076370614,0.09672,no
251,-1.0066370614,0.09591,no
252,-1.0056370614,0.09512,no
253,-1.0046370614,0.09433,no
254,-1.0036370614,0.09354,no
255,-1.0026370614,0.09276,no
256,-1.0016370614,0.09199,no
257,-1.0006370614,0.09123,no
258,-0.9996370614,0.09047,no
259,-0.9986370614,0.08971,no
260,-0.9976370614,0.08896,no
261,-0.9966370614,0.08822,no
262,-0.9956370614,0.08749,no
263,-0.9946370614,0.08676,no
264,-0.9936370614,0.08603,no
265,-0.9926370614,0.08531,no
266,-0.9916370614,0.0846,no
267,-0.9906370614,0.08389,no
268,-0.9896370614,0.08319,no
269,-0.9886370614,0.08249,no
270,-0.9876370614,0.0818,no
271,-0.9866370614,0.08112,no
272,-0.9856370614,0.08044,no
273,-0.9846370614,0.07976,no
274,-0.9836370614,0.07909,no
275,-0.9826370614,0.07843,no
276,-0.9816370614,0.07777,no
277,-0.9806370614,0.07712,no
278,-0.9796370614,0.07647,no
279,-0.9786370614,0.07583,no
280,-0.9776370614,0.07519,no
281,-0.9766370614,0.07456,no
282,-0.9756370614,0.07393,no
283,-0.9746370614,0.0733,no
284,-0.9736370614,0.07269,no
285,-0.9726370614,0.07207,no
286,-0.9716370614,0.07146,no
287,-0.9706370614,0.07086,no
288,-0.9696370614,0.07026,no
289,-0.9686370614,0.06967,no
290,-0.9676370614,0.06908,no
291,-0.9666370614,0.06849,no
292,-0.9656370614,0.06791,no
293,-0.9646370614,0.06734,no
294,-0.9636370614,0.06677,no
295,-0.9626370614,0.0662,no
296,-0.9616370614,0.06564,no
297,-0.9606370614,0.06508,no
298,-0.9596370614,0.06453,no
299,-0.9586370614,0.06398,no
300,-0.9576370614,0.06344,no
301,-0.9566370614,0.0629,no
