index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.8849555922,21.5,no
2,1.8859555922,21.55,no
3,1.8869555922,21.6,no
4,1.8879555922,21.65,no
5,1.8889555922,21.71,no
6,1.8899555922,21.76,no
7,1.8909555922,21.81,no
8,1.8919555922,21.86,no
9,1.8929555922,21.92,no
10,1.8939555922,21.97,no
11,1.8949555922,22.02,no
12,1.8959555922,22.08,no
13,1.8969555922,22.13,no
14,1.8979555922,22.18,no
15,1.8989555922,22.24,no
16,1.8999555922,22.29,no
17,1.9009555922,22.35,no
18,1.9019555922,22.4,no
19,1.9029555922,22.46,no
20,1.9039555922,22.52,no
21,1.9049555922,22.57,no
22,1.9059555922,22.63,no
23,1.9069555922,22.68,no
24,1.9079555922,22.74,no
25,1.9089555922,22.8,no
26,1.9099555922,22.86,no
27,1.9109555922,22.91,no
28,1.9119555922,22.97,no
29,1.9129555922,23.03,no
30,1.9139555922,23.09,no
31,1.9149555922,23.15,no
32,1.9159555922,23.21,no
33,1.9169555922,23.27,no
34,1.9179555922,23.33,no
35,1.9189555922,23.39,no
36,1.9199555922,23.45,no
37,1.9209555922,23.51,no
38,1.9219555922,23.57,no
39,1.9229555922,23.63,no
40,1.9239555922,23.69,no
41,1.9249555922,23.75,no
42,1.9259555922,23.82,no
43,1.9269555922,23.88,no
44,1.9279555922,23.94,no
45,1.9289555922,24,no
46,1.9299555922,24.07,no
47,1.9309555922,24.13,no
48,1.9319555922,24.19,no
49,1.9329555922,24.26,no
50,1.9339555922,24.32,no
51,1.9349555922,24.39,no
52,1.9359555922,24.45,no
53,1.9369555922,24.52,no
54,1.9379555922,24.58,no
55,1.9389555922,24.65,no
56,1.9399555922,24.71,no
57,1.9409555922,24.78,no
58,1.9419555922,24.85,no
59,1.9429555922,24.91,no
60,1.9439555922,24.98,no
61,1.9449555922,25.05,no
62,1.9459555922,25.12,no
63,1.9469555922,25.18,no
64,1.9479555922,25.25,no
65,1.9489555922,25.32,no
66,1.9499555922,25.39,no
67,1.9509555922,25.46,no
68,1.9519555922,25.53,no
69,1.9529555922,25.6,no
70,1.9539555922,25.67,no
71,1.9549555922,25.74,no
72,1.9559555922,25.81,no
73,1.9569555922,25.88,no
74,1.9579555922,25.95,no
75,1.9589555922,26.02,no
76,1.9599555922,26.09,no
77,1.9609555922,26.17,no
78,1.9619555922,26.24,no
79,1.9629555922,26.31,no
80,1.9639555922,26.38,no
81,1.9649555922,26.46,no
82,1.9659555922,26.53,no
83,1.9669555922,26.61,no
84,1.9679555922,26.68,no
85,1.9689555922,26.75,no
86,1.9699555922,26.83,no
87,1.9709555922,26.9,no
88,1.9719555922,26.98,no
89,1.9729555922,27.06,no
90,1.9739555922,27.13,no
91,1.9749555922,27.21,no
92,1.9759555922,27.28,no
93,1.9769555922,27.36,no
94,1.9779555922,27.44,no
95,1.9789555922,27.52,no
96,1.9799555922,27.59,no
97,1.9809555922,27.67,no
98,1.9819555922,27.75,no
99,1.9829555922,27.83,no
100,1.9839555922,27.91,no
101,1.9849555922,27.99,no
102,1.9859555922,28.07,no
103,1.9869555922,28.15,no
104,1.9879555922,28.23,no
105,1.9889555922,28.31,no
106,1.9899555922,28.39,no
107,1.9909555922,28.47,no
108,1.9919555922,28.55,no
109,1.9929555922,28.64,no
110,1.9939555922,28.72,no
111,1.9949555922,28.8,no
112,1.9959555922,28.88,no
113,1.9969555922,28.97,no
114,1.9979555922,29.05,no
115,1.9989555922,29.14,no
116,1.9999555922,29.22,no
117,2.0009555922,29.3,no
118,2.0019555922,29.39,no
119,2.0029555922,29.47,no
120,2.0039555922,29.56,no
121,2.0049555922,29.65,no
122,2.0059555922,29.73,no
123,2.0069555922,29.82,no
124,2.0079555922,29.91,no
125,2.0089555922,29.99,no
126,2.0099555922,30.08,no
127,2.0109555922,30.17,no
128,2.0119555922,30.26,no
129,2.0129555922,30.35,no
130,2.0139555922,30.43,no
131,2.0149555922,30.52,no
132,2.0159555922,30.61,no
133,2.0169555922,30.7,no
134,2.0179555922,30.79,no
135,2.0189555922,30.88,no
136,2.0199555922,30.97,no
137,2.0209555922,31.07,no
138,2.0219555922,31.16,no
139,2.0229555922,31.25,no
140,2.0239555922,31.34,no
141,2.0249555922,31.43,no
142,2.0259555922,31.53,no
143,2.0269555922,31.62,no
144,2.0279555922,31.71,no
145,2.0289555922,31.81,no
146,2.0299555922,31.9,no
147,2.0309555922,32,no
148,2.0319555922,32.09,no
149,2.0329555922,32.19,no
150,2.0339555922,32.28,no
151,2.0349555922,32.38,no
152,2.0359555922,32.48,no
153,2.0369555922,32.57,no
154,2.0379555922,32.67,no
155,2.0389555922,32.77,no
156,2.0399555922,32.87,no
157,2.0409555922,32.96,no
158,2.0419555922,33.06,no
159,2.0429555922,33.16,no
160,2.0439555922,33.26,no
161,2.0449555922,33.36,no
162,2.0459555922,33.46,no
163,2.0469555922,33.56,no
164,2.0479555922,33.66,no
165,2.0489555922,33.76,no
166,2.0499555922,33.86,no
167,2.0509555922,33.97,no
168,2.0519555922,34.07,no
169,2.0529555922,34.17,no
170,2.0539555922,34.27,no
171,2.0549555922,34.38,no
172,2.0559555922,34.48,no
173,2.0569555922,34.59,no
174,2.0579555922,34.69,no
175,2.0589555922,34.79,no
176,2.0599555922,34.9,no
177,2.0609555922,35.01,no
178,2.0619555922,35.11,no
179,2.0629555922,35.22,no
180,2.0639555922,35.32,no
181,2.0649555922,35.43,no
182,2.0659555922,35.54,no
183,2.0669555922,35.65,no
184,2.0679555922,35.75,no
185,2.0689555922,35.86,no
186,2.0699555922,35.97,no
187,2.0709555922,36.08,no
188,2.0719555922,36.19,no
189,2.0729555922,36.3,no
190,2.0739555922,36.41,no
191,2.0749555922,36.52,no
192,2.0759555922,36.63,no
193,2.0769555922,36.75,no
194,2.0779555922,36.86,no
195,2.0789555922,36.97,no
196,2.0799555922,37.08,no
197,2.0809555922,37.2,no
198,2.0819555922,37.31,no
199,2.0829555922,37.43,no
200,2.0839555922,37.54,no
201,2.0849555922,37.65,no
202,2.0859555922,37.77,no
203,2.0869555922,37.89,no
204,2.0879555922,38,no
205,2.0889555922,38.12,no
206,2.0899555922,38.24,no
207,2.0909555922,38.35,no
208,2.0919555922,38.47,no
209,2.0929555922,38.59,no
210,2.0939555922,38.71,no
211,2.0949555922,38.83,no
212,2.0959555922,38.95,no
213,2.0969555922,39.07,no
214,2.0979555922,39.19,no
215,2.0989555922,39.31,no
216,2.0999555922,39.43,no
217,2.1009555922,39.55,no
218,2.1019555922,39.67,no
219,2.1029555922,39.79,no
220,2.1039555922,39.92,no
221,2.1049555922,40.04,no
222,2.1059555922,40.16,no
223,2.1069555922,40.29,no
224,2.1079555922,40.41,no
225,2.1089555922,40.54,no
226,2.1099555922,40.66,no
227,2.1109555922,40.79,no
228,2.1119555922,40.91,no
229,2.1129555922,41.04,no
230,2.1139555922,41.17,no
231,2.1149555922,41.29,no
232,2.1159555922,41.42,no
233,2.1169555922,41.55,no
234,2.1179555922,41.68,no
235,2.1189555922,41.81,no
236,2.1199555922,41.94,no
237,2.1209555922,42.07,no
238,2.1219555922,42.2,no
239,2.1229555922,42.33,no
240,2.1239555922,42.46,no
241,2.1249555922,42.59,no
242,2.1259555922,42.73,no
243,2.1269555922,42.86,no
244,2.1279555922,42.99,no
245,2.1289555922,43.13,no
246,2.1299555922,43.26,no
247,2.1309555922,43.39,no
248,2.1319555922,43.53,no
249,2.1329555922,43.66,no
250,2.1339555922,43.8,no
251,2.1349555922,43.94,no
252,2.1359555922,44.07,no
253,2.1369555922,44.21,no
254,2.1379555922,44.35,no
255,2.1389555922,44.49,no
256,2.1399555922,44.63,no
257,2.1409555922,44.77,no
258,2.1419555922,44.9,no
259,2.1429555922,45.04,no
260,2.1439555922,45.19,no
261,2.1449555922,45.33,no
262,2.1459555922,45.47,no
263,2.1469555922,45.61,no
264,2.1479555922,45.75,no
265,2.1489555922,45.9,no
266,2.1499555922,46.04,no
267,2.1509555922,46.18,no
