index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.4137166941,3.205,no
2,1.4155165593,3.269,no
3,1.4172958011,3.335,no
4,1.4190546559,3.401,no
5,1.4207933571,3.468,no
6,1.4225121358,3.536,no
7,1.4242112203,3.605,no
8,1.4258908361,3.675,no
9,1.4275512063,3.745,no
10,1.4291925516,3.817,no
11,1.4308150898,3.89,no
12,1.4324190365,3.964,no
13,1.4340046047,4.039,no
14,1.435572005,4.115,no
15,1.4371214455,4.192,no
16,1.4386531321,4.271,no
17,1.4401672682,4.35,no
18,1.4416640549,4.43,no
19,1.4431436909,4.512,no
20,1.4446063728,4.594,no
21,1.4460522949,4.678,no
22,1.4474816492,4.763,no
23,1.4488946255,4.848,no
24,1.4502914115,4.936,no
25,1.4516721927,5.024,no
26,1.4530371525,5.113,no
27,1.4543864722,5.204,no
28,1.4557203309,5.296,no
29,1.457038906,5.389,no
30,1.4583423724,5.483,no
31,1.4596309033,5.579,no
32,1.4609046698,5.676,no
33,1.4621638411,5.774,no
34,1.4634085845,5.873,no
35,1.4646390652,5.974,no
36,1.4658554468,6.076,no
37,1.4670578906,6.179,no
38,1.4682465565,6.284,no
39,1.4694216023,6.39,no
40,1.4705831841,6.498,no
41,1.4717314561,6.606,no
42,1.4728665709,6.717,no
43,1.4739886792,6.828,no
44,1.4750979301,6.941,no
45,1.4761944708,7.056,no
46,1.4772784471,7.172,no
47,1.4783500028,7.289,no
48,1.4794092803,7.408,no
49,1.4804564203,7.529,no
50,1.4814915618,7.651,no
51,1.4825148424,7.774,no
52,1.483526398,7.9,no
53,1.4845263628,8.026,no
54,1.4855148697,8.155,no
55,1.4864920501,8.285,no
56,1.4874580336,8.416,no
57,1.4884129486,8.549,no
58,1.4893569218,8.684,no
59,1.4902900788,8.821,no
60,1.4912125434,8.959,no
61,1.4921244381,9.099,no
62,1.493025884,9.241,no
63,1.4939170009,9.384,no
64,1.4947979071,9.53,no
65,1.4956687196,9.677,no
66,1.4965295541,9.826,no
67,1.4973805249,9.976,no
68,1.498221745,10.13,no
69,1.4990533262,10.28,no
70,1.4998753789,10.44,no
71,1.5006880122,10.6,no
72,1.5014913342,10.76,no
73,1.5022854514,10.92,no
