index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
1,1.4137166941,0.1570796327,2.103,0.000155,0.7433304036,-8.7717924416
2,1.4155165593,0.1552797675,2.156,0.0001608,0.7682476416,-8.7354269542
3,1.4172958011,0.1535005256,2.21,0.0001667,0.7929942979,-8.6992300644
4,1.4190546559,0.1517416709,2.265,0.0001728,0.8175727596,-8.6631994339
5,1.4207933571,0.1500029697,2.321,0.0001791,0.8419853751,-8.6273327618
6,1.4225121358,0.148284191,2.378,0.0001857,0.8662344548,-8.5916277841
7,1.4242112203,0.1465851065,2.436,0.0001924,0.8903222717,-8.5560822732
8,1.4258908361,0.1449054907,2.495,0.0001993,0.9142510622,-8.5206940368
9,1.4275512063,0.1432451205,2.555,0.0002064,0.9380230271,-8.4854609175
10,1.4291925516,0.1416037752,2.616,0.0002138,0.9616403317,-8.450380792
11,1.4308150898,0.139981237,2.678,0.0002214,0.9851051072,-8.4154515704
12,1.4324190365,0.1383772903,2.741,0.0002293,1.0084194508,-8.380671196
13,1.4340046047,0.1367917221,2.806,0.0002373,1.0315854264,-8.3460376438
14,1.435572005,0.1352243218,2.871,0.0002457,1.0546050657,-8.3115489207
15,1.4371214455,0.1336748812,2.937,0.0002542,1.0774803682,-8.2772030647
16,1.4386531321,0.1321431946,3.005,0.0002631,1.1002133022,-8.242998144
17,1.4401672682,0.1306290586,3.073,0.0002722,1.1228058054,-8.2089322568
18,1.4416640549,0.1291322719,3.143,0.0002816,1.1452597852,-8.1750035304
19,1.4431436909,0.1276526359,3.214,0.0002913,1.1675771196,-8.1412101211
20,1.4446063728,0.126189954,3.286,0.0003013,1.1897596572,-8.1075502133
21,1.4460522949,0.1247440319,3.36,0.0003115,1.2118092186,-8.0740220192
22,1.4474816492,0.1233146776,3.434,0.0003221,1.2337275961,-8.040623778
23,1.4488946255,0.1219017013,3.51,0.000333,1.2555165546,-8.0073537559
24,1.4502914115,0.1205049153,3.587,0.0003442,1.2771778323,-7.974210245
25,1.4516721927,0.1191241341,3.665,0.0003558,1.2987131405,-7.9411915634
26,1.4530371525,0.1177591743,3.744,0.0003677,1.3201241648,-7.9082960544
27,1.4543864722,0.1164098546,3.824,0.0003799,1.3414125654,-7.8755220861
28,1.4557203309,0.1150759958,3.906,0.0003925,1.3625799772,-7.8428680509
29,1.457038906,0.1137574208,3.989,0.0004055,1.3836280107,-7.8103323654
30,1.4583423724,0.1124539544,4.074,0.0004189,1.404558252,-7.7779134695
31,1.4596309033,0.1111654235,4.159,0.0004326,1.4253722636,-7.7456098264
32,1.4609046698,0.109891657,4.246,0.0004468,1.4460715849,-7.7134199218
33,1.4621638411,0.1086324857,4.335,0.0004614,1.466657732,-7.6813422638
34,1.4634085845,0.1073877423,4.424,0.0004763,1.4871321987,-7.6493753825
35,1.4646390652,0.1061572615,4.515,0.0004918,1.5074964568,-7.6175178296
36,1.4658554468,0.10494088,4.608,0.0005076,1.5277519562,-7.5857681777
37,1.4670578906,0.1037384362,4.702,0.0005239,1.5479001255,-7.5541250203
38,1.4682465565,0.1025497703,4.797,0.0005407,1.5679423725,-7.5225869716
39,1.4694216023,0.1013747245,4.893,0.000558,1.5878800841,-7.4911526657
40,1.4705831841,0.1002131427,4.991,0.0005758,1.6077146271,-7.4598207562
41,1.4717314561,0.0990648707,5.091,0.000594,1.6274473485,-7.4285899167
42,1.4728665709,0.0979297559,5.192,0.0006128,1.6470795755,-7.3974588394
43,1.4739886792,0.0968076476,5.294,0.0006321,1.6666126162,-7.3664262355
44,1.4750979301,0.0956983967,5.398,0.000652,1.6860477598,-7.3354908347
45,1.4761944708,0.094601856,5.504,0.0006724,1.7053862768,-7.3046513845
46,1.4772784471,0.0935178797,5.61,0.0006934,1.7246294196,-7.2739066508
47,1.4783500028,0.092446324,5.719,0.000715,1.7437784224,-7.2432554166
48,1.4794092803,0.0913870465,5.829,0.0007372,1.7628345019,-7.2126964823
49,1.4804564203,0.0903399065,5.941,0.00076,1.7817988575,-7.1822286653
50,1.4814915618,0.089304765,6.054,0.0007834,1.8006726711,-7.1518507998
51,1.4825148424,0.0882814844,6.169,0.0008075,1.8194571083,-7.1215617361
52,1.483526398,0.0872699288,6.285,0.0008323,1.8381533178,-7.091360341
53,1.4845263628,0.086269964,6.403,0.0008577,1.8567624323,-7.0612454972
54,1.4855148697,0.0852814571,6.523,0.0008839,1.8752855683,-7.0312161025
55,1.4864920501,0.0843042767,6.644,0.0009107,1.8937238267,-7.0012710708
